based on the 1960s tv series that i had never seen or heard of before this movie ( be happy , i won't bore you with any lame and unnecessary comparisons ) , this film allows will smith to take a third stab at the independence day weekend box-office , after scoring huge successes with men in black ( 7/10 ) , directed by the same man who controlled this one , and independence day ( 6/10 ) . 	Translation	Positive	Negative	EmotionRationale
can you say . . . the 	can you say .<br> .<br> .<br> the	1	-1	 can[0] you[0] say[0] [[Sentence=-1,1=word max, 1-5]] the[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
third times not a charm ? 	third times not a charm ?	1	-2	 third[0] times[0] not[0] a[0] charm[1][NegatedDueToPreviousWord] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plot : james west and artemus gordon are chosen by the president to find the man responsible for the kidnapping of the nation's top scientists , and threatening to take over the united states within a week . 	plot : james west and artemus gordon are chosen by the president to find the man responsible for the kidnapping of the nation's top scientists , and threatening to take over the united states within a week .	1	-3	 plot[0] james[0] west[0] and[0] artemus[0] gordon[0] are[0] chosen[0] by[0] the[0] president[0] to[0] find[0] the[0] man[0] responsible[0] for[0] the[0] kidnapping[0] of[0] the[0] nation's[0] top[0] scientists[0] and[0] threatening[-2] to[0] take[0] over[0] the[0] united[0] states[0] within[0] a[0] week[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
critique : i did not laugh once during this entire picture . 	critique : i did not laugh once during this entire picture .	1	-2	 critique[0] i[0] did[0] not[0] laugh[1][NegatedDueToPreviousWord] once[0] during[0] this[0] entire[0] picture[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when you consider that this film is a part-comedy , that's not a very good sign . 	when you consider that this film is a part-comedy , that's not a very good sign .	1	-3	 when[0] you[0] consider[0] that[0] this[0] film[0] is[0] a[0] part[0] comedy[0] that's[0] not[0] a[0] very[0] good[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] sign[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i also did not tense up or particularly enjoy any of its unenergetic action sequences which provided me with little more than a few minutes time to think back to the lovely salma hayek scenes . 	i also did not tense up or particularly enjoy any of its unenergetic action sequences which provided me with little more than a few minutes time to think back to the lovely salma hayek scenes .	3	-1	 i[0] also[0] did[0] not[0] tense[-2][NegatedDueToPreviousWord] up[0] or[0] particularly[0] enjoy[2] any[0] of[0] its[0] unenergetic[0] action[0] sequences[0] which[0] provided[0] me[0] with[0] little[0] more[0] than[0] a[0] few[0] minutes[0] time[0] to[0] think[0] back[0] to[0] the[0] lovely[1] salma[0] hayek[0] scenes[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
when you consider that the other " part " of this film is geared as an action/adventure , i would say that this another negative sign . 	when you consider that the other " part " of this film is geared as an action/adventure , i would say that this another negative sign .	1	-2	 when[0] you[0] consider[0] that[0] the[0] other[0] part[0] of[0] this[0] film[0] is[0] geared[0] as[0] an[0] action/adventure[0] i[0] would[0] say[0] that[0] this[0] another[0] negative[-1] sign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and when you consider that the first hour of the film was boring and a little slow , the story-line tired , reminiscent of swiss cheese and uninvolving , and the special effects interesting but worth very little inside a plot filled with lame one-liners , weak characterizations and an anti-climactic end , you pretty much have the gist of my impression of this " big " summer blockbuster . 	and when you consider that the first hour of the film was boring and a little slow , the story-line tired , reminiscent of swiss cheese and uninvolving , and the special effects interesting but worth very little inside a plot filled with lame one-liners , weak characterizations and an anti-climactic end , you pretty much have the gist of my impression of this " big " summer blockbuster .	3	-3	 and[0] when[0] you[0] consider[0] that[0] the[0] first[0] hour[0] of[0] the[0] film[0] was[0] boring[-1] and[0] a[0] little[0] slow[0] the[0] story[0] line[0] tired[-1] reminiscent[0] of[0] swiss[0] cheese[0] and[0] uninvolving[0] and[0] the[0] special[1] effects[0] interesting[1] but[0] worth[0] very[0] little[0] inside[0] a[0] plot[0] filled[0] with[0] lame[-2] one[0] liners[0] weak[-1] characterizations[0] and[0] an[0] anti[0] climactic[0] end[0] you[0] pretty[2] much[0] have[0] the[0] gist[0] of[0] my[0] impression[0] of[0] this[0] big[0] summer[0] blockbuster[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
it blows . 	it blows .	1	-1	 it[0] blows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or as they say in french , " eet blows " . 	or as they say in french , " eet blows " .	1	-1	 or[0] as[0] they[0] say[0] in[0] french[0] eet[0] blows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
