susan granger's review of " ghosts of mars " ( sony pictures entertainment ) 	Translation	Positive	Negative	EmotionRationale
horror auteur john carpenter ( " halloween , " " vampires " ) strikes out with this sci-fi eco-fable that's so bad it boggles the mind to imagine how the project ever got green-lit . 	horror auteur john carpenter ( " halloween , " " vampires " ) strikes out with this sci-fi eco-fable that's so bad it boggles the mind to imagine how the project ever got green-lit .	1	-4	 horror[-3] auteur[0] john[0] carpenter[0] halloween[0] vampires[0] strikes[0] out[0] with[0] this[0] sci[0] fi[0] eco[0] fable[0] that's[0] so[0] bad[-1] it[0] boggles[0] the[0] mind[0] to[0] imagine[0] how[0] the[0] project[0] ever[0] got[0] green[0] lit[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the script by carpenter and larry sulkis appears to have been lifted directly from last year's " pitch black , " involving a violent prisoner who must be released from bondage so that he can help a small band of humans protect themselves from blood-thirsty , marauding aliens . 	the script by carpenter and larry sulkis appears to have been lifted directly from last year's " pitch black , " involving a violent prisoner who must be released from bondage so that he can help a small band of humans protect themselves from blood-thirsty , marauding aliens .	1	-3	 the[0] script[0] by[0] carpenter[0] and[0] larry[0] sulkis[0] appears[0] to[0] have[0] been[0] lifted[0] directly[0] from[0] last[0] year's[0] pitch[0] black[0] involving[0] a[0] violent[-2] prisoner[-1] who[0] must[0] be[0] released[0] from[0] bondage[-1] so[0] that[0] he[0] can[0] help[0] a[0] small[0] band[0] of[0] humans[0] protect[0] themselves[0] from[0] blood[0] thirsty[-1] marauding[0] aliens[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the year 2176 , there are 640 , 000 earthlings on mars , living in a matriarchal society led by a commander , played by pam grier . 	in the year 2176 , there are 640 , 00 earthlings on mars , living in a matriarchal society led by a commander , played by pam grier .	1	-1	 in[0] the[0] year[0] 2176[0] there[0] are[0] 640[0] 000/00[0] earthlings[0] on[0] mars[0] living[0] in[0] a[0] matriarchal[0] society[0] led[0] by[0] a[0] commander[0] played[0] by[0] pam[0] grier[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
grier , pill-poppin' natasha henstridge , and some rookie mars police officers ( clea duvall , jason statham ) travel to the remote mining town of shining canyon to fetch " desolation " williams - that's ice cube - to bring him back to chryse city to stand trial for murder . 	grier , pill-poppin' natasha henstridge , and some rookie mars police officers ( clea duvall , jason statham ) travel to the remote mining town of shining canyon to fetch " desolation " williams - that's ice cube - to bring him back to chryse city to stand trial for murder .	1	-4	 grier[0] pill[0] poppin'[0] natasha[0] henstridge[0] and[0] some[0] rookie[0] mars[0] police[0] officers[0] clea[0] duvall[0] jason[0] statham[0] travel[0] to[0] the[0] remote[0] mining[0] town[0] of[0] shining[0] canyon[0] to[0] fetch[0] desolation[-1] williams[0] that's[0] ice[0] cube[0] to[0] bring[0] him[0] back[0] to[0] chryse[0] city[0] to[0] stand[0] trial[0] for[0] murder[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but when they're besieged by demented , zombie-like , body-snatching miners , they readily free the scowling ice cube since they need him for protection . 	but when they're besieged by demented , zombie-like , body-snatching miners , they readily free the scowling ice cube since they need him for protection .	2	-2	 but[0] when[0] they're[0] besieged[-1] by[0] demented[0] zombie[0] like[1] body[0] snatching[-1] miners[0] they[0] readily[0] free[0] the[0] scowling[-1] ice[0] cube[0] since[0] they[0] need[0] him[0] for[0] protection[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it seems a red cloud was released from a shining canyon cave and , soon after , most of the miners went bonkers as long-dormant remnants of an ancient martian civilization took over their minds and bodies , lopping off heads as " vengeance for anything that tries to lay claim to their planet , " according to a scientist ( joanna cassidy ) . 	it seems a red cloud was released from a shining canyon cave and , soon after , most of the miners went bonkers as long-dormant remnants of an ancient martian civilization took over their minds and bodies , lopping off heads as " vengeance for anything that tries to lay claim to their planet , " according to a scientist ( joanna cassidy ) .	1	-3	 it[0] seems[0] a[0] red[0] cloud[0] was[0] released[0] from[0] a[0] shining[0] canyon[0] cave[0] and[0] soon[0] after[0] most[0] of[0] the[0] miners[0] went[0] bonkers[0] as[0] long[0] dormant[0] remnants[0] of[0] an[0] ancient[0] martian[0] civilization[0] took[0] over[0] their[0] minds[0] and[0] bodies[0] lopping[0] off[0] heads[0] as[0] vengeance[-2] for[0] anything[0] that[0] tries[0] to[0] lay[0] claim[0] to[0] their[0] planet[0] according[0] to[0] a[0] scientist[0] joanna[0] cassidy[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
carpenter uses so many flashbacks to tell the " night of the living dead " -like story that the idiotic plot gets incomprehensibly confusing . 	carpenter uses so many flashbacks to tell the " night of the living dead " -like story that the idiotic plot gets incomprehensibly confusing .	2	-3	 carpenter[0] uses[0] so[0] many[0] flashbacks[0] to[0] tell[0] the[0] night[0] of[0] the[0] living[0] dead[-2] like[1] story[0] that[0] the[0] idiotic[-2] plot[0] gets[0] incomprehensibly[0] confusing[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
but you can easily predict each of the supporting characters who will be killed , along with the order of their elimination . 	but you can easily predict each of the supporting characters who will be killed , along with the order of their elimination .	2	-4	 but[0] you[0] can[0] easily[0] predict[0] each[0] of[0] the[0] supporting[1] characters[0] who[0] will[0] be[0] killed[-3] along[0] with[0] the[0] order[0] of[0] their[0] elimination[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
on the granger movie gauge of 1 to 10 , " ghosts of mars " thuds to a laborious , bottom-of-the-barrel 1 . 	on the granger movie gauge of 1 to 10 , " ghosts of mars " thuds to a laborious , bottom-of-the-barrel 1 .	1	-1	 on[0] the[0] granger[0] movie[0] gauge[0] of[0] 1[0] to[0] 10[0] ghosts[0] of[0] mars[0] thuds[0] to[0] a[0] laborious[0] bottom[0] of[0] the[0] barrel[0] 1[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps , indeed , there is a curse on mars films , if you recall two other duds : " mission to mars " and " red planet . " 	perhaps , indeed , there is a curse on mars films , if you recall two other duds : " mission to mars " and " red planet .<br> "	1	-2	 perhaps[0] indeed[0] there[0] is[0] a[0] curse[-1] on[0] mars[0] films[0] if[0] you[0] recall[0] two[0] other[0] duds[0] mission[0] to[0] mars[0] and[0] red[0] planet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
