seen may 2 , 1998 at 3 : 40 p . m . at the crossgates cinema 18 , theater #13 , with chris wessell and sean o'shea for $5 . 	Translation	Positive	Negative	EmotionRationale
[theater rating : * * * 1/2 : very good sound , picture , and seats] 	[theater rating : * * * 1/2 : very good sound , picture , and seats]	3	-1	 [theater[0] rating[0] 1/2[0] very[0] good[1][1 LastWordBoosterStrength] sound[0] picture[0] and[0] seats][0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the big-budget , mega-hype " event " movie is becoming so trendy now it is becoming a weekly routine instead of a seasonal one . 	the big-budget , mega-hype " event " movie is becoming so trendy now it is becoming a weekly routine instead of a seasonal one .	1	-1	 the[0] big[0] budget[0] mega[0] hype[0] event[0] movie[0] is[0] becoming[0] so[0] trendy[0] now[0] it[0] is[0] becoming[0] a[0] weekly[0] routine[0] instead[0] of[0] a[0] seasonal[0] one[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gluttony is hollywood's favorite sin , but it is the movie-goers who pay the price by being dealt the same things over and over on an ever-worsening basis . 	gluttony is hollywood's favorite sin , but it is the movie-goers who pay the price by being dealt the same things over and over on an ever-worsening basis .	2	-3	 gluttony[0] is[0] hollywood's[0] favorite[1] sin[-1] but[0] it[0] is[0] the[0] movie[0] goers[0] who[0] pay[0] the[0] price[0] by[0] being[0] dealt[0] the[0] same[0] things[0] over[0] and[0] over[0] on[0] an[0] ever[0] worsening[-2] basis[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " lost in space " is the latest such offering - a film so poor it would be twice as good if it were mediocre . 	 " lost in space " is the latest such offering - a film so poor it would be twice as good if it were mediocre .	2	-2	 lost[0] in[0] space[0] is[0] the[0] latest[0] such[0] offering[0] a[0] film[0] so[0] poor[-1] it[0] would[0] be[0] twice[0] as[0] good[1] if[0] it[0] were[0] mediocre[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
it's made up of every element of science fiction , but at no time does it evoke the slightest amount of wonderment the genre was meant for . 	it's made up of every element of science fiction , but at no time does it evoke the slightest amount of wonderment the genre was meant for .	1	-1	 it's[0] made[0] up[0] of[0] every[0] element[0] of[0] science[0] fiction[0] but[0] at[0] no[0] time[0] does[0] it[0] evoke[0] the[0] slightest[0] amount[0] of[0] wonderment[0] the[0] genre[0] was[0] meant[0] for[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
audiences' attention spans are rapidly decreasing and as is the trend with such films , this one opens with a fast-paced space battle which serves not only as the most interesting scene in the film ( probably because it has " star wars " written all over it ) , but as the producers' way of showing off their budget through the special effects . 	audiences' attention spans are rapidly decreasing and as is the trend with such films , this one opens with a fast-paced space battle which serves not only as the most interesting scene in the film ( probably because it has " star wars " written all over it ) , but as the producers' way of showing off their budget through the special effects .	2	-3	 audiences'[0] attention[0] spans[0] are[0] rapidly[0] decreasing[0] and[0] as[0] is[0] the[0] trend[0] with[0] such[0] films[0] this[0] one[0] opens[0] with[0] a[0] fast[0] paced[0] space[0] battle[-1] which[0] serves[0] not[0] only[0] as[0] the[0] most[0] interesting[1] scene[0] in[0] the[0] film[0] probably[0] because[0] it[0] has[0] star[0] wars[-2] written[0] all[0] over[0] it[0] but[0] as[0] the[0] producers'[0] way[0] of[0] showing[0] off[0] their[0] budget[0] through[0] the[0] special[1] effects[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
battle scenes are worthless without tension , and since we have no idea what the setting is it's impossible to care about anything that happens . 	battle scenes are worthless without tension , and since we have no idea what the setting is it's impossible to care about anything that happens .	2	-3	 battle[-1] scenes[0] are[0] worthless[-2] without[0] tension[-2] and[0] since[0] we[0] have[0] no[0] idea[0] what[0] the[0] setting[0] is[0] it's[0] impossible[0] to[0] care[1] about[0] anything[0] that[0] happens[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in essence , the entire segment works like a teaser for an arcade game , not a piece of filmmaking . 	in essence , the entire segment works like a teaser for an arcade game , not a piece of filmmaking .	2	-2	 in[0] essence[0] the[0] entire[0] segment[0] works[0] like[1] a[0] teaser[-1] for[0] an[0] arcade[0] game[0] not[0] a[0] piece[0] of[0] filmmaking[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
we meet the robinson family - a family of five that does not get along but has been chosen to act on earth's behalf in effort to find another planet worthy of colonization due to the exhausting of our natural resources . 	we meet the robinson family - a family of five that does not get along but has been chosen to act on earth's behalf in effort to find another planet worthy of colonization due to the exhausting of our natural resources .	1	-2	 we[0] meet[0] the[0] robinson[0] family[0] a[0] family[0] of[0] five[0] that[0] does[0] not[0] get[0] along[0] but[0] has[0] been[0] chosen[0] to[0] act[0] on[0] earth's[0] behalf[0] in[0] effort[0] to[0] find[0] another[0] planet[0] worthy[0] of[0] colonization[0] due[0] to[0] the[0] exhausting[-1] of[0] our[0] natural[0] resources[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
each member of the family has a special trait and personality , and yet none of them seem like actual people . 	each member of the family has a special trait and personality , and yet none of them seem like actual people .	2	-1	 each[0] member[0] of[0] the[0] family[0] has[0] a[0] special[1] trait[0] and[0] personality[0] and[0] yet[0] none[0] of[0] them[0] seem[0] like[1] actual[0] people[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
professor john robinson ( hurt ) is the intelligent , quiet leader who has devoted so much time to his work his family and marriage are suffering without his realizing it ( it's obvious what role this aspect will play ) . 	professor john robinson ( hurt ) is the intelligent , quiet leader who has devoted so much time to his work his family and marriage are suffering without his realizing it ( it's obvious what role this aspect will play ) .	3	-4	 professor[0] john[0] robinson[0] hurt[-2] is[0] the[0] intelligent[1] quiet[0] leader[0] who[0] has[0] devoted[2] so[0] much[0] time[0] to[0] his[0] work[0] his[0] family[0] and[0] marriage[0] are[0] suffering[-3] without[0] his[0] realizing[0] it[0] it's[0] obvious[0] what[0] role[0] this[0] aspect[0] will[0] play[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
of course this is all established through extremely melodramatic scenes such as the children and parents arguing and bickering among themselves and with each other , while the necessary problems are " resolved " at the right moments . 	of course this is all established through extremely melodramatic scenes such as the children and parents arguing and bickering among themselves and with each other , while the necessary problems are " resolved " at the right moments .	2	-4	 of[0] course[0] this[0] is[0] all[0] established[0] through[0] extremely[0] melodramatic[-1][-2 LastWordBoosterStrength] scenes[0] such[0] as[0] the[0] children[0] and[0] parents[0] arguing[-1] and[0] bickering[0] among[0] themselves[0] and[0] with[0] each[0] other[0] while[0] the[0] necessary[0] problems[-1] are[0] resolved[1] at[0] the[0] right[0] moments[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
the only thing worse than the screenplay is the fact it's presented in a completely serious manner without a trace of satire , and is so pathetic it's laughable . 	the only thing worse than the screenplay is the fact it's presented in a completely serious manner without a trace of satire , and is so pathetic it's laughable .	1	-3	 the[0] only[0] thing[0] worse[-2] than[0] the[0] screenplay[0] is[0] the[0] fact[0] it's[0] presented[0] in[0] a[0] completely[0] serious[-1][-1 LastWordBoosterStrength] manner[0] without[0] a[0] trace[0] of[0] satire[0] and[0] is[0] so[0] pathetic[-2] it's[0] laughable[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the first act is not a building of a story , but a juxtaposition of scenes that serve no purpose other than to plug in all the required elements ( such as plot , conflict , and characterization - god forbid ! ) . 	the first act is not a building of a story , but a juxtaposition of scenes that serve no purpose other than to plug in all the required elements ( such as plot , conflict , and characterization - god forbid !<br> ) .	1	-2	 the[0] first[0] act[0] is[0] not[0] a[0] building[0] of[0] a[0] story[0] but[0] a[0] juxtaposition[0] of[0] scenes[0] that[0] serve[0] no[0] purpose[0] other[0] than[0] to[0] plug[0] in[0] all[0] the[0] required[0] elements[0] such[0] as[0] plot[0] conflict[-1] and[0] characterization[0] god[0] forbid[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we're provided with the minimum amount possible of these elements to keep the film from being completely silent . 	we're provided with the minimum amount possible of these elements to keep the film from being completely silent .	1	-1	 we're[0] provided[0] with[0] the[0] minimum[0] amount[0] possible[0] of[0] these[0] elements[0] to[0] keep[0] the[0] film[0] from[0] being[0] completely[0] silent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , it might as well be since the dialogue is virtually non-existent . 	in fact , it might as well be since the dialogue is virtually non-existent .	1	-1	 in[0] fact[0] it[0] might[0] as[0] well[0] be[0] since[0] the[0] dialogue[0] is[0] virtually[0] non[0] existent[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
