writers : dennis feldman and jonathan hensleigh ( based on the comic book by chuck pfarrer ) 	Translation	Positive	Negative	EmotionRationale
starring : jamie lee curtis , william baldwin , donald sutherland , joanna pacula , sherman augustus , marshall bell , cliff curtis , julio oscar mechoso 	starring : jamie lee curtis , william baldwin , donald sutherland , joanna pacula , sherman augustus , marshal bell , cliff curtis , julio oscar mechoso	1	-1	 starring[0] jamie[0] lee[0] curtis[0] william[0] baldwin[0] donald[0] sutherland[0] joanna[0] pacula[0] sherman[0] augustus[0] marshall/marshal[0] bell[0] cliff[0] curtis[0] julio[0] oscar[0] mechoso[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i suppose i'm not extremely surprised that " virus " comes to us from a deciple of james cameron ( john bruno ) , and if i strain real hard , i could even say that it's an obvious given , particuarly looking from the standpoint of mr . cameron's early works . 	i suppose i'm not extremely surprised that " virus " comes to us from a deciple of james cameron ( john bruno ) , and if i strain real hard , i could even say that it's an obvious given , particuarly looking from the standpoint of mr .<br> cameron's early works .	1	-2	 i[0] suppose[0] i'm[0] not[0] extremely[0] surprised[0] that[0] virus[0] comes[0] to[0] us[0] from[0] a[0] deciple[0] of[0] james[0] cameron[0] john[0] bruno[0] and[0] if[0] i[0] strain[-1] real[0] hard[0] i[0] could[0] even[0] say[0] that[0] it's[0] an[0] obvious[0] given[0] particuarly[0] looking[0] from[0] the[0] standpoint[0] of[0] mr[0] [[Sentence=-2,1=word max, 1-5]] cameron's[0] early[0] works[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
in fact , " virus " is yet another in the long line of action/horror/paranoia thrillers from the " aliens " vein : a group of people are dropped into a mysterious situation only to find a mortally-threatening entity is out to get them , a textbook example hailing all the way back to the early talkies , and maybe even to the first pictures , albeit redeveloped by cameron in his 1986 blockbuster that earned him esteem and bigger budgets to come in his future . 	in fact , " virus " is yet another in the long line of action/horror/paranoia thrillers from the " aliens " vein : a group of people are dropped into a mysterious situation only to find a mortally-threatening entity is out to get them , a textbook example hailing all the way back to the early talkies , and maybe even to the first pictures , albeit redeveloped by cameron in his 1986 blockbuster that earned him esteem and bigger budgets to come in his future .	2	-3	 in[0] fact[0] virus[0] is[0] yet[0] another[0] in[0] the[0] long[0] line[0] of[0] action/horror/paranoia[0] thrillers[1] from[0] the[0] aliens[0] vein[0] a[0] group[0] of[0] people[0] are[0] dropped[0] into[0] a[0] mysterious[0] situation[0] only[0] to[0] find[0] a[0] mortally[0] threatening[-2] entity[0] is[0] out[0] to[0] get[0] them[0] a[0] textbook[0] example[0] hailing[0] all[0] the[0] way[0] back[0] to[0] the[0] early[0] talkies[0] and[0] maybe[0] even[0] to[0] the[0] first[0] pictures[0] albeit[0] redeveloped[0] by[0] cameron[0] in[0] his[0] 1986[0] blockbuster[-1] that[0] earned[0] him[0] esteem[0] and[0] bigger[0] budgets[0] to[0] come[0] in[0] his[0] future[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
no such thing will happen to bruno , whom i believe worked in some capacity on that quasi-landmark feature ; while bruno may have studied under cameron's wing for years and years , i'm beginning to wonder at what capacity , and what exactly did he learn from him . 	no such thing will happen to bruno , whom i believe worked in some capacity on that quasi-landmark feature ; while bruno may have studied under cameron's wing for years and years , i'm beginning to wonder at what capacity , and what exactly did he learn from him .	1	-1	 no[0] such[0] thing[0] will[0] happen[0] to[0] bruno[0] whom[0] i[0] believe[0] worked[0] in[0] some[0] capacity[0] on[0] that[0] quasi[0] landmark[0] feature[0] while[0] bruno[0] may[0] have[0] studied[0] under[0] cameron's[0] wing[0] for[0] years[0] and[0] years[0] i'm[0] beginning[0] to[0] wonder[0] at[0] what[0] capacity[0] and[0] what[0] exactly[0] did[0] he[0] learn[0] from[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , " virus " should at least be mediocre ; the fact that bruno could have worked under a man like cameron - a director who , if anything , just knows how to make a movie - and then make a film like " virus " is just another detraction fairly aimed at this z-grade schlockfest of a film , albeit a z-grade schlockfest with a respectable budget . 	in fact , " virus " should at least be mediocre ; the fact that bruno could have worked under a man like cameron - a director who , if anything , just knows how to make a movie - and then make a film like " virus " is just another detraction fairly aimed at this z-grade schlockfest of a film , albeit a z-grade schlockfest with a respectable budget .	3	-2	 in[0] fact[0] virus[0] should[0] at[0] least[0] be[0] mediocre[-1] the[0] fact[0] that[0] bruno[0] could[0] have[0] worked[0] under[0] a[0] man[0] like[1] cameron[0] a[0] director[0] who[0] if[0] anything[0] just[0] knows[0] how[0] to[0] make[0] a[0] movie[0] and[0] then[0] make[0] a[0] film[0] like[1] virus[0] is[0] just[0] another[0] detraction[-1] fairly[0] aimed[0] at[0] this[0] z[0] grade[0] schlockfest[0] of[0] a[0] film[0] albeit[0] a[0] z[0] grade[0] schlockfest[0] with[0] a[0] respectable[2] budget[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the film seems to not only borrow it's plot from last year's similarly-fated " deep rising , " but also from a clunkish b-movie from the '80s called " leviathan , " an underwater thriller starring peter weller , richard crenna , hector elizando , and daniel stern about a group of miners who stumble upon an alien lifeform that was part " alien , " part john carpenter's twisted remake of " the thing . " 	the film seems to not only borrow it's plot from last year's similarly-fated " deep rising , " but also from a clunkish b-movie from the '80s called " leviathan , " an underwater thriller starring peter weller , richard crenna , hector elizando , and daniel stern about a group of miners who stumble upon an alien lifeform that was part " alien , " part john carpenter's twisted remake of " the thing .<br> "	2	-2	 the[0] film[0] seems[0] to[0] not[0] only[0] borrow[0] it's[0] plot[0] from[0] last[0] year's[0] similarly[0] fated[0] deep[0] rising[0] but[0] also[0] from[0] a[0] clunkish[0] b[0] movie[0] from[0] the[0] '80s[0] called[0] leviathan[0] an[0] underwater[0] thriller[1] starring[0] peter[0] weller[1] richard[0] crenna[0] hector[0] elizando[0] and[0] daniel[0] stern[-1] about[0] a[0] group[0] of[0] miners[0] who[0] stumble[0] upon[0] an[0] alien[-1] lifeform[0] that[0] was[0] part[0] alien[-1] part[0] john[0] carpenter's[0] twisted[0] remake[0] of[0] the[0] thing[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
 " virus , " again , has a similar , uh , selling point : a group of sailors on a boat stumble upon a russian cruiser that is dead in the water . 	 " virus , " again , has a similar , uh , selling point : a group of sailors on a boat stumble upon a russian cruiser that is dead in the water .	1	-3	 virus[0] again[0] has[0] a[0] similar[0] uh[0] selling[0] point[0] a[0] group[0] of[0] sailors[0] on[0] a[0] boat[0] stumble[0] upon[0] a[0] russian[0] cruiser[0] that[0] is[0] dead[-2] in[0] the[0] water[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they get on . 	they get on .	1	-1	 they[0] get[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they break up into pairs and investigate . 	they break up into pairs and investigate .	1	-1	 they[0] break[0] up[0] into[0] pairs[0] and[0] investigate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and they find an alien lifeform on board that comes in the form of energy , has taken over all the machines on board , have meshed the machines with parts from corpses , and have deemed humankind their enemy because of a misquote in the dictionary ( ha ha ) . 	and they find an alien lifeform on board that comes in the form of energy , has taken over all the machines on board , have meshed the machines with parts from corpses , and have deemed humankind their enemy because of a misquote in the dictionary ( ha ha ) .	2	-2	 and[0] they[0] find[0] an[0] alien[-1] lifeform[0] on[0] board[0] that[0] comes[0] in[0] the[0] form[0] of[0] energy[0] has[0] taken[0] over[0] all[0] the[0] machines[0] on[0] board[0] have[0] meshed[0] the[0] machines[0] with[0] parts[0] from[0] corpses[0] and[0] have[0] deemed[0] humankind[0] their[0] enemy[-1] because[0] of[0] a[0] misquote[0] in[0] the[0] dictionary[0] ha[1] ha[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
