it was once said that in order to truly enjoy some of todays movies or novels , you must suspend disbelief .  	Translation	Positive	Negative	EmotionRationale
however , there is a distinct separation between opening your mind to ridiculous situations and believing a bunch of flat lies . 	however , there is a distinct separation between opening your mind to ridiculous situations and believing a bunch of flat lies .	1	-3	 however[0] there[0] is[0] a[0] distinct[0] separation[0] between[0] opening[0] your[0] mind[0] to[0] ridiculous[-2] situations[0] and[0] believing[0] a[0] bunch[0] of[0] flat[0] lies[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it came as no surprise to me to learn that huntingburg , indiana ( where the film is set ) , does not have a mcdonald's , a sears store , a statue of a man on a horse , nor even a dam close by . 	it came as no surprise to me to learn that huntingburg , indiana ( where the film is set ) , does not have a mcdonald's , a sears store , a statue of a man on a horse , nor even a dam close by .	1	-1	 it[0] came[0] as[0] no[0] surprise[0] to[0] me[0] to[0] learn[0] that[0] huntingburg[0] indiana[0] where[0] the[0] film[0] is[0] set[0] does[0] not[0] have[0] a[0] mcdonald's[0] a[0] sears[0] store[0] a[0] statue[0] of[0] a[0] man[0] on[0] a[0] horse[0] nor[0] even[0] a[0] dam[0] close[0] by[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even if you can ignore these somewhat  white  lies ( even though the dam is crucial to hard rain s plot ) ; there is still a bunch of things that just don t gel . 	even if you can ignore these somewhat  white  lies ( even though the dam is crucial to hard rain s plot ) ; there is still a bunch of things that just don t gel .	1	-3	 even[0] if[0] you[0] can[0] ignore[0] these[0] somewhat[0] white[0] lies[-2] even[0] though[0] the[0] dam[0] is[0] crucial[0] to[0] hard[0] rain[0] s[0] plot[0] there[0] is[0] still[0] a[0] bunch[0] of[0] things[0] that[0] just[0] don[0] t[0] gel[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
firstly , morgan freeman , possibly the greatest actor alive ( after such films as driving miss daisy , the shawshank redemption and se7en ) , was cast as a shifty goon intent on stealing enough money for a healthy retirement . 	firstly , morgan freeman , possibly the greatest actor alive ( after such films as driving miss daisy , the shawshank redemption and se7en ) , was cast as a shifty goon intent on stealing enough money for a healthy retirement .	3	-3	 firstly[0] morgan[0] freeman[0] possibly[0] the[0] greatest[2] actor[0] alive[0] after[0] such[0] films[0] as[0] driving[0] miss[-1] daisy[0] the[0] shawshank[0] redemption[0] and[0] se7en[0] was[0] cast[0] as[0] a[0] shifty[0] goon[0] intent[0] on[0] stealing[-2] enough[0] money[0] for[0] a[0] healthy[0] retirement[-1] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he _should_ have played the town sheriff , an experienced and somewhat intriguing policeman . 	he _should_ have played the town sheriff , an experienced and somewhat intriguing policeman .	1	-1	 he[0] _should_[0] have[0] played[0] the[0] town[0] sheriff[0] an[0] experienced[0] and[0] somewhat[0] intriguing[0] policeman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a massive flood started by a dam accident overwhelms huntingburg , its residents presumably flee as the water level steadily increases . 	as a massive flood started by a dam accident overwhelms huntingburg , its residents presumably flee as the water level steadily increases .	1	-3	 as[0] a[0] massive[0] flood[0] started[0] by[0] a[0] dam[0] accident[-1] overwhelms[-2] huntingburg[0] its[0] residents[0] presumably[0] flee[-1] as[0] the[0] water[0] level[0] steadily[0] increases[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i say presumably simply because we never know what happened to them ; and it seems a tad strange that an entire town ( with the exception of some folk who get introduced along the way ) can vanish before the flood has actually started . 	i say presumably simply because we never know what happened to them ; and it seems a tad strange that an entire town ( with the exception of some folk who get introduced along the way ) can vanish before the flood has actually started .	1	-2	 i[0] say[0] presumably[0] simply[0] because[0] we[0] never[0] know[0] what[0] happened[0] to[0] them[0] and[0] it[0] seems[0] a[0] tad[0] strange[0] that[0] an[0] entire[0] town[0] with[0] the[0] exception[0] of[0] some[0] folk[0] who[0] get[0] introduced[0] along[0] the[0] way[0] can[0] vanish[-1] before[0] the[0] flood[0] has[0] actually[0] started[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but nether the less , armored guard couriers tom ( christian slater ) and his uncle are carrying three million dollars in the back of their van . 	but nether the less , armored guard couriers tom ( christian slater ) and his uncle are carrying three million dollars in the back of their van .	1	-1	 but[0] nether[0] the[0] less[0] armored[0] guard[0] couriers[0] tom[0] christian[0] slater[0] and[0] his[0] uncle[0] are[0] carrying[0] three[0] million[0] dollars[0] in[0] the[0] back[0] of[0] their[0] van[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
with a heavy rainstorm causing depressing conditions and slippery roads , it doesn t take long for the van to end up stuck amongst mud and water off the side of the road . 	with a heavy rainstorm causing depressing conditions and slippery roads , it doesn t take long for the van to end up stuck amongst mud and water off the side of the road .	1	-4	 with[0] a[0] heavy[0] rainstorm[0] causing[0] depressing[-3] conditions[0] and[0] slippery[0] roads[0] it[0] doesn[0] t[0] take[0] long[0] for[0] the[0] van[0] to[0] end[0] up[0] stuck[0] amongst[0] mud[0] and[0] water[0] off[0] the[0] side[0] of[0] the[0] road[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
jim ( morgan freeman ) and a small gang of thieves locate the van and attempt to steal the three million dollars . 	jim ( morgan freeman ) and a small gang of thieves locate the van and attempt to steal the three million dollars .	1	-3	 jim[0] morgan[0] freeman[0] and[0] a[0] small[0] gang[0] of[0] thieves[-1] locate[0] the[0] van[0] and[0] attempt[0] to[0] steal[-2] the[0] three[0] million[0] dollars[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
