call it a road trip for the walking wounded . 	Translation	Positive	Negative	EmotionRationale
stellan skarsg ? rd plays such a convincingly zombified drunken loser that it's difficult to spend nearly two hours of screen time in his smelly , boozed-out presence . 	stellan skarsg ?<br> rd plays such a convincingly zombified drunken loser that it's difficult to spend nearly two hours of screen time in his smelly , boozed-out presence .	2	-3	 stellan[0] skarsg[0] [[Sentence=-1,1=word max, 1-5]] rd[0] plays[1] such[0] a[0] convincingly[0] zombified[0] drunken[-1] loser[-2] that[0] it's[0] difficult[-1] to[0] spend[0] nearly[0] two[0] hours[0] of[0] screen[0] time[0] in[0] his[0] smelly[0] boozed[0] out[0] presence[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
yet this ever-reliable swedish actor adds depth and significance to the otherwise plodding and forgettable aberdeen , a sentimental and painfully mundane european drama . 	yet this ever-reliable swedish actor adds depth and significance to the otherwise plodding and forgettable aberdeen , a sentimental and painfully mundane european drama .	3	-4	 yet[0] this[0] ever[0] reliable[0] swedish[0] actor[0] adds[0] depth[0] and[0] significance[0] to[0] the[0] otherwise[0] plodding[0] and[0] forgettable[0] aberdeen[0] a[0] sentimental[2] and[0] painfully[-3] mundane[-1] european[0] drama[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
playwright august strindberg built his career on families and relationships paralyzed by secrets , unable to express their longings until the hour is far too late . 	playwright august strindberg built his career on families and relationships paralyzed by secrets , unable to express their longings until the hour is far too late .	1	-3	 playwright[0] august[0] strindberg[0] built[0] his[0] career[0] on[0] families[0] and[0] relationships[0] paralyzed[-1] by[0] secrets[0] unable[0] to[0] express[0] their[0] longings[-2] until[0] the[0] hour[0] is[0] far[0] too[0] late[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
that's an accurate reflection of what aberdeen strives for , focusing on the pairing of an alcoholic father , tomas ( skarsg ? rd ) and his alienated , openly hostile yuppie daughter , kaisa ( lena headey , gossip ) . 	that's an accurate reflection of what aberdeen strives for , focusing on the pairing of an alcoholic father , tomas ( skarsg ?<br> rd ) and his alienated , openly hostile yuppie daughter , kaisa ( lena headey , gossip ) .	1	-3	 that's[0] an[0] accurate[0] reflection[0] of[0] what[0] aberdeen[0] strives[0] for[0] focusing[0] on[0] the[0] pairing[0] of[0] an[0] alcoholic[0] father[0] tomas[0] skarsg[0] [[Sentence=-1,1=word max, 1-5]] rd[0] and[0] his[0] alienated[-1] openly[0] hostile[-2] yuppie[0] daughter[0] kaisa[0] lena[0] headey[0] gossip[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they haven't spoken in years , and wouldn't even be making the long trip from norway to aberdeen , scotland by automobile if it weren't for kaisa's mother ( charlotte rampling , under the sand ) rotting away in a hospital bed from cancer . 	they haven't spoken in years , and wouldn't even be making the long trip from norway to aberdeen , scotland by automobile if it weren't for kaisa's mother ( charlotte rampling , under the sand ) rotting away in a hospital bed from cancer .	1	-4	 they[0] haven't[0] spoken[0] in[0] years[0] and[0] wouldn't[0] even[0] be[0] making[0] the[0] long[0] trip[0] from[0] norway[0] to[0] aberdeen[0] scotland[0] by[0] automobile[0] if[0] it[0] weren't[0] for[0] kaisa's[0] mother[0] charlotte[0] rampling[0] under[0] the[0] sand[0] rotting[0] away[0] in[0] a[0] hospital[0] bed[0] from[0] cancer[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in a soap opera twist , mother has only a few days to live . 	in a soap opera twist , mother has only a few days to live .	1	-1	 in[0] a[0] soap[0] opera[0] twist[0] mother[0] has[0] only[0] a[0] few[0] days[0] to[0] live[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( only in the movies , right ? ) 	 ( only in the movies , right ?<br> )	1	-1	 only[0] in[0] the[0] movies[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
too blitzed to even step foot on a plane , tomas hits the open road with kaisa . 	too blitzed to even step foot on a plane , tomas hits the open road with kaisa .	1	-1	 too[0] blitzed[0] to[0] even[0] step[0] foot[0] on[0] a[0] plane[0] tomas[0] hits[0] the[0] open[0] road[0] with[0] kaisa[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
loathing each other all the while , they make periodic stops for tomas to puke on the dashboard or pass out -- whenever he isn't muttering what a rotten kid she turned out to be . 	loathing each other all the while , they make periodic stops for tomas to puke on the dashboard or pass out - whenever he isn't muttering what a rotten kid she turned out to be .	1	-3	 loathing[0] each[0] other[0] all[0] the[0] while[0] they[0] make[0] periodic[0] stops[0] for[0] tomas[0] to[0] puke[-2] on[0] the[0] dashboard[0] or[0] pass[0] out[0] whenever[0] he[0] isn't[0] muttering[0] what[0] a[0] rotten[-2] kid[0] she[0] turned[0] out[0] to[0] be[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
despite his sloshed viewpoint , tomas recognizes that the apple hasn't fallen very far from the tree . 	despite his sloshed viewpoint , tomas recognizes that the apple hasn't fallen very far from the tree .	1	-1	 despite[0] his[0] sloshed[0] viewpoint[0] tomas[0] recognizes[0] that[0] the[0] apple[0] hasn't[0] fallen[0] very[0] far[0] from[0] the[0] tree[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kaisa gets nosebleeds from snorting coke , sabotages her personal relationships through indifference , and is unable to restrain her quick and vindictive temper . 	kaisa gets nosebleeds from snorting coke , sabotages her personal relationships through indifference , and is unable to restrain her quick and vindictive temper .	1	-3	 kaisa[0] gets[0] nosebleeds[0] from[0] snorting[0] coke[0] sabotages[-1] her[0] personal[0] relationships[0] through[0] indifference[-1] and[0] is[0] unable[0] to[0] restrain[0] her[0] quick[0] and[0] vindictive[0] temper[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ain't they a pair ? 	ain't they a pair ?	1	-1	 ain't[0] they[0] a[0] pair[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
unable to find true notes of unspoken familial empathy in the one-note and repetitively bitchy dialogue , screenwriters kristin amundsen and hans petter moland fabricate a series of contrivances to propel events forward -- lost money , roving street hooligans looking for drunks to kick around , nosy cops , and flat tires all figure into the schematic and convenient narrative . 	unable to find true notes of unspoken familial empathy in the one-note and repetitively bitchy dialogue , screenwriters kristin amundsen and hans peter moland fabricate a series of contrivances to propel events forward - lost money , roving street hooligans looking for drunks to kick around , nosy cops , and flat tires all figure into the schematic and convenient narrative .	2	-2	 unable[0] to[0] find[0] true[1] notes[0] of[0] unspoken[0] familial[0] empathy[0] in[0] the[0] one[0] note[0] and[0] repetitively[0] bitchy[-1] dialogue[0] screenwriters[0] kristin[0] amundsen[0] and[0] hans[0] petter/peter[0] moland[0] fabricate[-1] a[0] series[0] of[0] contrivances[0] to[0] propel[0] events[0] forward[0] lost[0] money[0] roving[0] street[0] hooligans[0] looking[0] for[0] drunks[-1] to[0] kick[-1] around[0] nosy[0] cops[0] and[0] flat[0] tires[0] all[0] figure[0] into[0] the[0] schematic[0] and[0] convenient[0] narrative[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
by the time they reach the hospital , it's time to unveil the secrets from a dark past that are not only simplistic devices that trivialize the father-daughter conflict , they're also the mainstays of many a bad strindberg wannabe . 	by the time they reach the hospital , it's time to unveil the secrets from a dark past that are not only simplistic devices that trivialize the father-daughter conflict , they're also the mainstays of many a bad strindberg wannabe .	2	-2	 by[0] the[0] time[0] they[0] reach[0] the[0] hospital[0] it's[0] time[0] to[0] unveil[0] the[0] secrets[0] from[0] a[0] dark[0] past[0] that[0] are[0] not[0] only[0] simplistic[-1][NegatedDueToPreviousWord] devices[0] that[0] trivialize[-1] the[0] father[0] daughter[0] conflict[-1] they're[0] also[0] the[0] mainstays[0] of[0] many[0] a[0] bad[-1] strindberg[0] wannabe[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this revelation exists purely for its own sake . 	this revelation exists purely for its own sake .	1	-1	 this[0] revelation[0] exists[0] purely[0] for[0] its[0] own[0] sake[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
aberdeen doesn't know where else to go . 	aberdeen doesn't know where else to go .	1	-1	 aberdeen[0] doesn't[0] know[0] where[0] else[0] to[0] go[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
weak , unimaginative casting thwarts the pivotal role of kaisa . 	weak , unimaginative casting thwarts the pivotal role of kaisa .	1	-2	 weak[-1] unimaginative[0] casting[0] thwarts[-1] the[0] pivotal[0] role[0] of[0] kaisa[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if lena headey were a stronger actress , perhaps aberdeen could have been able to coast on the performances and moody , haunting cinematography ( rendering norway into its own pastoral ghost world -- the reference to a certain superior american indie flick intentional ) . 	if lena headey were a stronger actress , perhaps aberdeen could have been able to coast on the performances and moody , haunting cinematography ( rendering norway into its own pastoral ghost world - the reference to a certain superior american indie flick intentional ) .	3	-3	 if[0] lena[0] headey[0] were[0] a[0] stronger[0] actress[0] perhaps[0] aberdeen[0] could[0] have[0] been[0] able[0] to[0] coast[0] on[0] the[0] performances[0] and[0] moody[-2] haunting[0] cinematography[0] rendering[0] norway[0] into[0] its[0] own[0] pastoral[0] ghost[0] world[0] the[0] reference[0] to[0] a[0] certain[0] superior[2] american[0] indie[0] flick[0] intentional[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
headey's too busy acting , using her face and furrowed brow to convey every last twitch of insouciance . 	headey's too busy acting , using her face and furrowed brow to convey every last twitch of insouciance .	1	-1	 headey's[0] too[0] busy[0] acting[0] using[0] her[0] face[0] and[0] furrowed[0] brow[0] to[0] convey[0] every[0] last[0] twitch[0] of[0] insouciance[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if she were paying any attention to skarsg ? rd , maybe she'd figure out that doing less can reveal so much more . 	if she were paying any attention to skarsg ?<br> rd , maybe she'd figure out that doing less can reveal so much more .	1	-1	 if[0] she[0] were[0] paying[0] any[0] attention[0] to[0] skarsg[0] [[Sentence=-1,1=word max, 1-5]] rd[0] maybe[0] she'd[0] figure[0] out[0] that[0] doing[0] less[0] can[0] reveal[0] so[0] much[0] more[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's worthwhile to compare aberdeen to an earlier film released in 2001 , jonathan nossiter's captivating signs & wonders . 	it's worthwhile to compare aberdeen to an earlier film released in 2001 , jonathan nossiter's captivating signs & wonders .	2	-1	 it's[0] worthwhile[1] to[0] compare[0] aberdeen[0] to[0] an[0] earlier[0] film[0] released[0] in[0] 2001[0] jonathan[0] nossiter's[0] captivating[0] signs[0] &[0] wonders[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's not just because skarsg ? rd and rampling played disturbed parental figures in both films ( they're not bound by ceremonial wedlock in aberdeen ) . 	it's not just because skarsg ?<br> rd and rampling played disturbed parental figures in both films ( they're not bound by ceremonial wedlock in aberdeen ) .	1	-2	 it's[0] not[0] just[0] because[0] skarsg[0] [[Sentence=-1,1=word max, 1-5]] rd[0] and[0] rampling[0] played[0] disturbed[-1] parental[0] figures[0] in[0] both[0] films[0] they're[0] not[0] bound[0] by[0] ceremonial[0] wedlock[0] in[0] aberdeen[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the differences in the way their characters were presented is significant . 	the differences in the way their characters were presented is significant .	1	-1	 the[0] differences[0] in[0] the[0] way[0] their[0] characters[0] were[0] presented[0] is[0] significant[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
