except for a few bright moments of good verbal comedy , that old feeling is embarrassing to sit through . 	Translation	Positive	Negative	EmotionRationale
bette midler and dennis farina play lilly and dan , actress and author , once married , now violently divorced , and back together one last time for their daughter molly's ( paula marshall ) wedding . 	bette midler and dennis farina play lily and dan , actress and author , once married , now violently divorced , and back together one last time for their daughter molly's ( paula marshal ) wedding .	1	-3	 bette[0] midler[0] and[0] dennis[0] farina[0] play[0] lilly/lily[0] and[0] dan[0] actress[0] and[0] author[0] once[0] married[0] now[0] violently[-2] divorced[-1] and[0] back[0] together[0] one[0] last[0] time[0] for[0] their[0] daughter[0] molly's[0] paula[0] marshall/marshal[0] wedding[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
lilly and dan hate each other passionately -- so passionately that they have sex at the wedding and fall in love again . 	lily and dan hate each other passionately - so passionately that they have sex at the wedding and fall in love again .	3	-4	 lilly/lily[0] and[0] dan[0] hate[-3] each[0] other[0] passionately[2] so[0] passionately[2] that[0] they[0] have[0] sex[0] at[0] the[0] wedding[0] and[0] fall[0] in[0] love[2] again[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
each ditches his or her current spouse of 14 years and runs off with the other . 	each ditches his or her current spouse of 14 years and runs off with the other .	1	-1	 each[0] ditches[0] his[0] or[0] her[0] current[0] spouse[0] of[0] 14[0] years[0] and[0] runs[0] off[0] with[0] the[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
molly , married now only 24 hours , runs off in search of her irresponsible parents while her husband keith ( jamie denton ) tries to console the abandoned spouses . 	molly , married now only 24 hours , runs off in search of her irresponsible parents while her husband keith ( jamie denton ) tries to console the abandoned spouses .	1	-2	 molly[0] married[0] now[0] only[0] 24[0] hours[0] runs[0] off[0] in[0] search[0] of[0] her[0] irresponsible[-1] parents[0] while[0] her[0] husband[0] keith[0] jamie[0] denton[-1] tries[0] to[0] console[0] the[0] abandoned[-1] spouses[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in molly's search for her parents , she somehow falls in love with lilly's paparazzo joey ( danny nucci ) . 	in molly's search for her parents , she somehow falls in love with lilly's paparazo joey ( danny nucci ) .	3	-1	 in[0] molly's[0] search[0] for[0] her[0] parents[0] she[0] somehow[0] falls[0] in[0] love[2] with[0] lilly's[0] paparazzo/paparazo[0] joey[0] danny[0] nucci[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
meanwhile , the newlywed keith ends up consoling dan's wife rowena ( gail o'grady ) in bed . 	meanwhile , the newlywed keith ends up consoling dan's wife rowena ( gail o'grady ) in bed .	1	-1	 meanwhile[0] the[0] newlywed[0] keith[0] ends[0] up[0] consoling[0] dan's[0] wife[0] rowena[0] gail[0] o'grady[0] in[0] bed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the audience i saw this with apparently thought that all the adultery was hilarious . 	the audience i saw this with apparently thought that all the adultery was hilarious .	3	-3	 the[0] audience[0] i[0] saw[0] this[0] with[0] apparently[0] thought[0] that[0] all[0] the[0] adultery[-2] was[0] hilarious[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i'm no dan quayle , but i thought it was a bit creepy . 	i'm no dan quayle , but i thought it was a bit creepy .	1	-1	 i'm[0] no[0] dan[0] quayle[0] but[0] i[0] thought[0] it[0] was[0] a[0] bit[0] creepy[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the message seemed to be " ignore your responsibilities unrepentantly and have fun fucking who you wish . " 	the message seemed to be " ignore your responsibilities unrepentantly and have fun fucking who you wish .<br> "	2	-1	 the[0] message[0] seemed[0] to[0] be[0] ignore[0] your[0] responsibilities[0] unrepentantly[0] and[0] have[0] fun[1] fucking[0] who[0] you[0] wish[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " family values " aside , there's something cruel about all this . 	 " family values " aside , there's something cruel about all this .	2	-4	 family[0] values[1] aside[0] there's[0] something[0] cruel[-3] about[0] all[0] this[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
