maybe this mission should have been scrubbed 	Translation	Positive	Negative	EmotionRationale
mission to mars 	mission to mars	1	-1	 mission[0] to[0] mars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a film review by michael redman copyright 2000 by michael redman 	a film review by michael redman copyright 200 by michael redman	1	-1	 a[0] film[0] review[0] by[0] michael[0] redman[0] copyright[0] 2000/200[0] by[0] michael[0] redman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a world of difference between artists and technicians . 	there's a world of difference between artists and technicians .	1	-1	 there's[0] a[0] world[0] of[0] difference[0] between[0] artists[0] and[0] technicians[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the artist has a vision to create something new . 	the artist has a vision to create something new .	1	-1	 the[0] artist[0] has[0] a[0] vision[0] to[0] create[0] something[0] new[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he may not do it well , it might be sloppy , but it's something you've never seen before . 	he may not do it well , it might be sloppy , but it's something you've never seen before .	1	-2	 he[0] may[0] not[0] do[0] it[0] well[0] it[0] might[0] be[0] sloppy[-1] but[0] it's[0] something[0] you've[0] never[0] seen[0] before[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a good technician can make it look good , but without direction from his own inner artist or someone else , it's going to be just a xerox . 	a good technician can make it look good , but without direction from his own inner artist or someone else , it's going to be just a xerox .	2	-1	 a[0] good[1] technician[0] can[0] make[0] it[0] look[0] good[1] but[0] without[0] direction[0] from[0] his[0] own[0] inner[0] artist[0] or[0] someone[0] else[0] it's[0] going[0] to[0] be[0] just[0] a[0] xerox[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
obviously successful films need both skills . 	obviously successful films need both skills .	3	-1	 obviously[0] successful[2] films[0] need[0] both[0] skills[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
brian de palma is a masterful technician . 	brian de palma is a masterful technician .	1	-1	 brian[0] de[0] palma[0] is[0] a[0] masterful[0] technician[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he's spent his career copying others , most notably hitchcock . 	he's spent his career copying others , most notably hitchcock .	1	-1	 he's[0] spent[0] his[0] career[0] copying[0] others[0] most[0] notably[0] hitchcock[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he usually knows exactly what to do to make a scene work , but only because he has learned it by rote . 	he usually knows exactly what to do to make a scene work , but only because he has learned it by rote .	1	-1	 he[0] usually[0] knows[0] exactly[0] what[0] to[0] do[0] to[0] make[0] a[0] scene[0] work[0] but[0] only[0] because[0] he[0] has[0] learned[0] it[0] by[0] rote[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
