the camera zooms in incredibly close . 	Translation	Positive	Negative	EmotionRationale
it focuses on the closed eyes of a person presumed dead . 	it focuses on the closed eyes of a person presumed dead .	1	-3	 it[0] focuses[0] on[0] the[0] closed[0] eyes[0] of[0] a[0] person[0] presumed[0] dead[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all of a sudden , with a thunderous sound effect and an eerie sounding musical pulse , his eyelids open . 	all of a sudden , with a thunderous sound effect and an eerie sounding musical pulse , his eyelids open .	1	-1	 all[0] of[0] a[0] sudden[0] with[0] a[0] thunderous[0] sound[0] effect[0] and[0] an[0] eerie[0] sounding[0] musical[0] pulse[0] his[0] eyelids[0] open[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the camera zooms in incredibly close . 	the camera zooms in incredibly close .	1	-1	 the[0] camera[0] zooms[0] in[0] incredibly[0] close[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it focuses on one of the characters desperately running for her life . 	it focuses on one of the characters desperately running for her life .	1	-3	 it[0] focuses[0] on[0] one[0] of[0] the[0] characters[0] desperately[-2] running[0] for[0] her[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
then , with a thunderous sound effect and an eerie sounding musical pulse , she bumps into the killer . 	then , with a thunderous sound effect and an eerie sounding musical pulse , she bumps into the killer .	1	-2	 then[0] with[0] a[0] thunderous[0] sound[0] effect[0] and[0] an[0] eerie[0] sounding[0] musical[0] pulse[0] she[0] bumps[0] into[0] the[0] killer[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the camera zooms in incredibly close . 	the camera zooms in incredibly close .	1	-1	 the[0] camera[0] zooms[0] in[0] incredibly[0] close[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it focuses on a door from where seemingly strange sounds emanate . 	it focuses on a door from where seemingly strange sounds emanate .	1	-1	 it[0] focuses[0] on[0] a[0] door[0] from[0] where[0] seemingly[0] strange[0] sounds[0] emanate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of a sudden , with a thunderous sound effect and an eerie sounding musical pulse , the doors swing open to reveal what's inside . 	all of a sudden , with a thunderous sound effect and an eerie sounding musical pulse , the doors swing open to reveal what's inside .	1	-1	 all[0] of[0] a[0] sudden[0] with[0] a[0] thunderous[0] sound[0] effect[0] and[0] an[0] eerie[0] sounding[0] musical[0] pulse[0] the[0] doors[0] swing[0] open[0] to[0] reveal[0] what's[0] inside[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
close-up thrill-shots such as these seemed to elicit more laughter from the audience rather than genuine fear , which is a pretty good sign that you're not watching the thriller that the director had originally envisioned . 	close-up thrill-shots such as these seemed to elicit more laughter from the audience rather than genuine fear , which is a pretty good sign that you're not watching the thriller that the director had originally envisioned .	4	-4	 close[0] up[0] thrill[3] shots[0] such[0] as[0] these[0] seemed[0] to[0] elicit[0] more[0] laughter[1] from[0] the[0] audience[0] rather[0] than[0] genuine[0] fear[-3] which[0] is[0] a[0] pretty[2] good[1] sign[0] that[0] you're[0] not[0] watching[0] the[0] thriller[1] that[0] the[0] director[0] had[0] originally[0] envisioned[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
rather , you adopt the opinion that the characters are so goofy and so unaware of the trouble that they're in , that you stop caring about who lives , who dies and where the story goes . 	rather , you adopt the opinion that the characters are so goofy and so unaware of the trouble that they're in , that you stop caring about who lives , who dies and where the story goes .	3	-2	 rather[0] you[0] adopt[0] the[0] opinion[0] that[0] the[0] characters[0] are[0] so[0] goofy[0] and[0] so[0] unaware[0] of[0] the[0] trouble[-1] that[0] they're[0] in[0] that[0] you[0] stop[0] caring[2] about[0] who[0] lives[0] who[0] dies[0] and[0] where[0] the[0] story[0] goes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
