movies like six days , seven nights make me mad because talented people like harrison ford , anne heche , and ivan reitman put a lot of hard work in to a script worth about ten cents . ? 	Translation	Positive	Negative	EmotionRationale
the script was written by michael browning , and he decided that , instead of thinking up new ideas , he'd rehash a lot of cliches , omit even the slightest bit of character development , and then throw in drug-dealing pirates to provide for a few high-level action sequences and explosions . ? 	the script was written by michael browning , and he decided that , instead of thinking up new ideas , he'd rehash a lot of cliches , omit even the slightest bit of character development , and then throw in drug-dealing pirates to provide for a few high-level action sequences and explosions .<br> ?	1	-2	 the[0] script[0] was[0] written[0] by[0] michael[0] browning[0] and[0] he[0] decided[0] that[0] instead[0] of[0] thinking[0] up[0] new[0] ideas[0] he'd[0] rehash[0] a[0] lot[0] of[0] cliches[0] omit[-1] even[0] the[0] slightest[0] bit[0] of[0] character[0] development[0] and[0] then[0] throw[0] in[0] drug[0] dealing[0] pirates[0] to[0] provide[0] for[0] a[0] few[0] high[0] level[0] action[0] sequences[0] and[0] explosions[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there are good scripts out there that high-profile actors can make ( see the truman show , for instance ) . ? 	there are good scripts out there that high-profile actors can make ( see the truman show , for instance ) .<br> ?	2	-1	 there[0] are[0] good[1] scripts[0] out[0] there[0] that[0] high[0] profile[0] actors[0] can[0] make[0] see[0] the[0] truman[0] show[0] for[0] instance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
six days , seven nights is simply a waste . 	six days , seven nights is simply a waste .	1	-2	 six[0] days[0] seven[0] nights[0] is[0] simply[0] a[0] waste[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
let's see . 	let's see .	1	-1	 let's[0] see[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
 . 	 .	1	-1	[[[0,0 max of sentences]]]
we have to get harrison ford and anne heche alone on an island . ? 	we have to get harrison ford and anne heche alone on an island .<br> ?	1	-1	 we[0] have[0] to[0] get[0] harrison[0] ford[0] and[0] anne[0] heche[0] alone[0] on[0] an[0] island[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , how do we do that ? ? 	so , how do we do that ?<br> ?	1	-1	 so[0] how[0] do[0] we[0] do[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , we'll make her a feisty magazine editor , and we'll make him a crusty old pilot . ? 	well , we'll make her a feisty magazine editor , and we'll make him a crusty old pilot .<br> ?	1	-1	 well[0] we'll[0] make[0] her[0] a[0] feisty[0] magazine[0] editor[0] and[0] we'll[0] make[0] him[0] a[0] crusty[0] old[0] pilot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but wait , she has to have a fianc ? e ; that can be david schwimmer . ? 	but wait , she has to have a fianc ?<br> e ; that can be david schwimmer .<br> ?	1	-1	 but[0] wait[0] she[0] has[0] to[0] have[0] a[0] fianc[0] [[Sentence=-1,1=word max, 1-5]] e[0] that[0] can[0] be[0] david[0] schwimmer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
