she was the femme in " la femme nikita . " 	Translation	Positive	Negative	EmotionRationale
he was the baldwin in " backdraft , " " sliver , " and " fair game " ( with cindy crawford ) . 	he was the baldwin in " backdraft , " " sliver , " and " fair game " ( with cindy crawford ) .	1	-1	 he[0] was[0] the[0] baldwin[0] in[0] backdraft[0] sliver[0] and[0] fair[0] game[0] with[0] cindy[0] crawford[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
together , anne parillaud and william baldwin conspire to make " shattered image " the biggest piece of hooey since the stallone/stone " thriller " " the specialist . " 	together , anne parillaud and william baldwin conspire to make " shattered image " the biggest piece of hooey since the stallone/stone " thriller " " the specialist .<br> "	2	-2	 together[0] anne[0] parillaud[0] and[0] william[0] baldwin[0] conspire[-1] to[0] make[0] shattered[0] image[0] the[0] biggest[0] piece[0] of[0] hooey[-1] since[0] the[0] stallone/stone[0] thriller[1] the[0] specialist[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the film poses the question " what if the life you're living now is really a dream , and your dreams reality ? " 	the film poses the question " what if the life you're living now is really a dream , and your dreams reality ?<br> "	1	-1	 the[0] film[0] poses[0] the[0] question[0] what[0] if[0] the[0] life[0] you're[0] living[0] now[0] is[0] really[0] a[0] dream[0] and[0] your[0] dreams[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's either about a woman who's haunted by a recurring ( and recurring and recurring ) nightmare that she's a hired assassin , or it's about a hired assassin who's haunted by a recurring ( and recurring and recurring ) nightmare that she's honeymooning with william baldwin in jamaica . 	it's either about a woman who's haunted by a recurring ( and recurring and recurring ) nightmare that she's a hired assassin , or it's about a hired assassin who's haunted by a recurring ( and recurring and recurring ) nightmare that she's honeymooning with william baldwin in jamaica .	1	-3	 it's[0] either[0] about[0] a[0] woman[0] who's[0] haunted[0] by[0] a[0] recurring[0] and[0] recurring[0] and[0] recurring[0] nightmare[-2] that[0] she's[0] a[0] hired[0] assassin[-2] or[0] it's[0] about[0] a[0] hired[0] assassin[-2] who's[0] haunted[0] by[0] a[0] recurring[0] and[0] recurring[0] and[0] recurring[0] nightmare[-2] that[0] she's[0] honeymooning[0] with[0] william[0] baldwin[0] in[0] jamaica[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it doesn't much matter and believe me by the time " shattered image " runs its painful and pedestrian course you won't care . 	it doesn't much matter and believe me by the time " shattered image " runs its painful and pedestrian course you won't care .	1	-4	 it[0] doesn't[0] much[0] matter[0] and[0] believe[0] me[0] by[0] the[0] time[0] shattered[0] image[0] runs[0] its[0] painful[-3] and[0] pedestrian[0] course[0] you[0] won't[0] care[1][NegatedDueToPreviousWord] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
these two lives , with parillaud looking like siouxsie sioux with a black wig , black emotionless eyes , and black leather clothing in the seattle-based assassin scenes , and moping around like karen carpenter in the jamaica scenes , play out endlessly throughout the film and the result is it's now * twice * as boring as it might have been . 	these two lives , with parillaud looking like siouxsie sioux with a black wig , black emotionless eyes , and black leather clothing in the seattle-based assassin scenes , and moping around like karen carpenter in the jamaica scenes , play out endlessly throughout the film and the result is it's now * twice * as boring as it might have been .	2	-3	 these[0] two[0] lives[0] with[0] parillaud[0] looking[0] like[1] siouxsie[0] sioux[0] with[0] a[0] black[0] wig[0] black[0] emotionless[0] eyes[0] and[0] black[0] leather[0] clothing[0] in[0] the[0] seattle[0] based[0] assassin[-2] scenes[0] and[0] moping[0] around[0] like[1] karen[0] carpenter[0] in[0] the[0] jamaica[0] scenes[0] play[0] out[0] endlessly[0] throughout[0] the[0] film[0] and[0] the[0] result[0] is[0] it's[0] now[0] twice[0] as[0] boring[-1] as[0] it[0] might[0] have[0] been[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's not that complicated plots can't be entertaining . 	it's not that complicated plots can't be entertaining .	2	-1	 it's[0] not[0] that[0] complicated[-1][NegatedDueToPreviousWord] plots[0] can't[0] be[0] entertaining[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
of course it helps if you have interesting characters , crisp dialogue , and a modicum of style . 	of course it helps if you have interesting characters , crisp dialogue , and a modicum of style .	2	-1	 of[0] course[0] it[0] helps[0] if[0] you[0] have[0] interesting[1] characters[0] crisp[0] dialogue[0] and[0] a[0] modicum[0] of[0] style[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 " shattered image " isn't complex , it's just stupid . 	 " shattered image " isn't complex , it's just stupid .	1	-1	 shattered[0] image[0] isn't[0] complex[0] it's[0] just[0] stupid[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and boring . 	and boring .	1	-2	 and[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
