 " american pie " alums jason biggs and mena suvari star in this summer's attempt to capitalize on the youth market looking for a comedy about young people they can relate to that combines generic hollywood cute couple-ness and zany comedy . 	Translation	Positive	Negative	EmotionRationale
it's about an a  student ( biggs as " paul " ) who gets a scholarship to some college in new york city who sticks out like a sore thumb and falls for dora ( suvari ) a ditzy heroin-chic goth chick who has no ambition or self-respect whatsoever and allows herself to be pushed around just like " hick-boy " paul is . 	it's about an a  student ( biggs as " paul " ) who gets a scholarship to some college in new york city who sticks out like a sore thumb and falls for dora ( suvari ) a ditzy heroin-chic goth chick who has no ambition or self-respect whatsoever and allows herself to be pushed around just like " hick-boy " paul is .	3	-2	 it's[0] about[0] an[0] a[0] student[0] biggs[0] as[0] paul[0] who[0] gets[0] a[0] scholarship[0] to[0] some[0] college[0] in[0] new[0] york[0] city[0] who[0] sticks[0] out[0] like[1] a[0] sore[-1] thumb[0] and[0] falls[0] for[0] dora[0] suvari[0] a[0] ditzy[0] heroin[2] chic[0] goth[0] chick[0] who[0] has[0] no[0] ambition[0] or[0] self[0] respect[2] whatsoever[0] and[0] allows[0] herself[0] to[0] be[0] pushed[0] around[0] just[0] like[1][-1 LastWordBoosterStrength] hick[0] boy[0] paul[0] is[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
so we've got a fish-out-water formula mixed with meet-cute romantic comedy which ideally should make for a good movie . 	so we've got a fish-out-water formula mixed with meet-cute romantic comedy which ideally should make for a good movie .	4	-1	 so[0] we've[0] got[0] a[0] fish[0] out[0] water[0] formula[0] mixed[0] with[0] meet[0] cute[1] romantic[3] comedy[0] which[0] ideally[0] should[0] make[0] for[0] a[0] good[1] movie[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
unfortunately the atrocious screenplay and boring direction by " clueless " auteur amy heckerling successfully manages to screw up everything about the film . 	unfortunately the atrocious screenplay and boring direction by " clueless " auteur amy heckerling successfully manages to screw up everything about the film .	3	-4	 unfortunately[-1] the[0] atrocious[-3] screenplay[0] and[0] boring[-1] direction[0] by[0] clueless[0] auteur[0] amy[0] heckerling[0] successfully[2] manages[0] to[0] screw[0] up[0] everything[0] about[0] the[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
these characters are totally unrealistic and unbelievable - it's as if everyone under age 30 is a stoned raver . 	these characters are totally unrealistic and unbelievable - it's as if everyone under age 30 is a stoned raver .	1	-2	 these[0] characters[0] are[0] totally[0] unrealistic[0] and[0] unbelievable[-1] it's[0] as[0] if[0] everyone[0] under[0] age[0] 30[0] is[0] a[0] stoned[0] raver[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
there's no background or details to anyone or anything , it's just a bunch of cartoon characters running into each other . 	there's no background or details to anyone or anything , it's just a bunch of cartoon characters running into each other .	1	-1	 there's[0] no[0] background[0] or[0] details[0] to[0] anyone[0] or[0] anything[0] it's[0] just[0] a[0] bunch[0] of[0] cartoon[0] characters[0] running[0] into[0] each[0] other[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not to mention the story itself which is virtually non-existant and contains so many plotholes it's like swiss cheese . 	not to mention the story itself which is virtually non-existant and contains so many plotholes it's like swiss cheese .	2	-1	 not[0] to[0] mention[0] the[0] story[0] itself[0] which[0] is[0] virtually[0] non[0] existant[0] and[0] contains[0] so[0] many[0] plotholes[0] it's[0] like[1] swiss[0] cheese[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
even the basic editing is bad . 	even the basic editing is bad .	1	-2	 even[0] the[0] basic[0] editing[0] is[0] bad[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you're looking for a romantic comedy stay far away from this one because it is neither romantic nor funny . 	if you're looking for a romantic comedy stay far away from this one because it is neither romantic nor funny .	4	-1	 if[0] you're[0] looking[0] for[0] a[0] romantic[3] comedy[0] stay[0] far[0] away[0] from[0] this[0] one[0] because[0] it[0] is[0] neither[0] romantic[3] nor[0] funny[1] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
i saw this in a packed cinema on opening night and the audience barely laughed at all . 	i saw this in a packed cinema on opening night and the audience barely laughed at all .	2	-1	 i[0] saw[0] this[0] in[0] a[0] packed[0] cinema[0] on[0] opening[0] night[0] and[0] the[0] audience[0] barely[0] laughed[1] at[0] all[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
if you've seen the commericials you've seen all the " funny " parts ( which are all from the first five minutes ) . 	if you've seen the commericials you've seen all the " funny " parts ( which are all from the first five minutes ) .	2	-1	 if[0] you've[0] seen[0] the[0] commericials[0] you've[0] seen[0] all[0] the[0] funny[1] parts[0] which[0] are[0] all[0] from[0] the[0] first[0] five[0] minutes[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
