synopsis : an aging master art thief , his supplier , and a young , buxom security consultant are all not who they first appear to be ( or are they ? ) in this convoluted mess involving a risky heist during the millennium . 	Translation	Positive	Negative	EmotionRationale
comments : this movie was boring . 	comments : this movie was boring .	1	-2	 comments[0] this[0] movie[0] was[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plain and simple . 	plain and simple .	1	-1	 plain[0] and[0] simple[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
entrapment should not have been boring . 	entrapment should not have been boring .	1	-2	 entrapment[0] should[0] not[0] have[0] been[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it stars sean connery , who can still carry an action film despite his age , catherine zeta-jones , a likeable enough film presence , and ving rhames , ultra-cool star of pulp fiction and mission : impossible . 	it stars sean connery , who can still carry an action film despite his age , catherine zeta-jones , a likeable enough film presence , and ving rhames , ultra-cool star of pulp fiction and mission : impossible .	3	-1	 it[0] stars[0] sean[0] connery[0] who[0] can[0] still[0] carry[0] an[0] action[0] film[0] despite[0] his[0] age[0] catherine[0] zeta[0] jones[0] a[0] likeable[2] enough[0] film[0] presence[0] and[0] ving[0] rhames[0] ultra[0] cool[1] star[0] of[0] pulp[0] fiction[0] and[0] mission[0] impossible[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
it takes full advantage of the y2k computer bug fears ( a current " hot topic " in the news ) in its storyline , which is set at the end of 1999 . 	it takes full advantage of the y2k computer bug fears ( a current " hot topic " in the news ) in its storyline , which is set at the end of 199 .	1	-3	 it[0] takes[0] full[0] advantage[0] of[0] the[0] y2k[0] computer[0] bug[-1] fears[-2] a[0] current[0] hot[0] topic[0] in[0] the[0] news[0] in[0] its[0] storyline[0] which[0] is[0] set[0] at[0] the[0] end[0] of[0] 1999/199[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it has some genuinely well-staged action sequences . 	it has some genuinely well-staged action sequences .	1	-1	 it[0] has[0] some[0] genuinely[0] well[0] staged[0] action[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so , what went wrong ? 	so , what went wrong ?	1	-2	 so[0] what[0] went[0] wrong[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
plenty , unfortunately . 	plenty , unfortunately .	1	-2	 plenty[0] unfortunately[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the major problem with entrapment is its script . 	the major problem with entrapment is its script .	1	-2	 the[0] major[0] problem[-1] with[0] entrapment[0] is[0] its[0] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it has a been-there , done-that feel to it . 	it has a been-there , done-that feel to it .	1	-1	 it[0] has[0] a[0] been[0] there[0] done[0] that[0] feel[0] to[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing seems particularly inventive or original , so the whole movie lacks suspense and drags ( it runs nearly two hours ) . 	nothing seems particularly inventive or original , so the whole movie lacks suspense and drags ( it runs nearly two hours ) .	1	-1	 nothing[0] seems[0] particularly[0] inventive[0] or[0] original[0] so[0] the[0] whole[0] movie[0] lacks[0] suspense[0] and[0] drags[0] it[0] runs[0] nearly[0] two[0] hours[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the screenwriters , for example , periodically use a countdown to the millennium as a means of transition between scenes ( i . e . 	the screenwriters , for example , periodically use a countdown to the millennium as a means of transition between scenes ( i .<br> e .	1	-1	 the[0] screenwriters[0] for[0] example[0] periodically[0] use[0] a[0] countdown[0] to[0] the[0] millennium[0] as[0] a[0] means[0] of[0] transition[0] between[0] scenes[0] i[0] [[Sentence=-1,1=word max, 1-5]] e[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " 4 days to the millennium " ) . 	 " 4 days to the millennium " ) .	1	-1	 4[0] days[0] to[0] the[0] millennium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this device was used much more effectively in the overlooked sci-fi film strange days . 	this device was used much more effectively in the overlooked sci-fi film strange days .	1	-2	 this[0] device[0] was[0] used[0] much[0] more[0] effectively[0] in[0] the[0] overlooked[-1] sci[0] fi[0] film[0] strange[0] days[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the characters are not who they appear to be at the beginning , which is neat at first but the device wears thin once the umpteenth " surprise " revelation is made . 	the characters are not who they appear to be at the beginning , which is neat at first but the device wears thin once the umpteenth " surprise " revelation is made .	1	-1	 the[0] characters[0] are[0] not[0] who[0] they[0] appear[0] to[0] be[0] at[0] the[0] beginning[0] which[0] is[0] neat[0] at[0] first[0] but[0] the[0] device[0] wears[0] thin[0] once[0] the[0] umpteenth[0] surprise[0] revelation[0] is[0] made[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
entrapment , in other words , relies too heavily on the audience not knowing what each character's true motive is , resulting in a convoluted story which leaves many scratching their heads in confusion . 	entrapment , in other words , relies too heavily on the audience not knowing what each character's true motive is , resulting in a convoluted story which leaves many scratching their heads in confusion .	2	-2	 entrapment[0] in[0] other[0] words[0] relies[0] too[0] heavily[0] on[0] the[0] audience[0] not[0] knowing[0] what[0] each[0] character's[0] true[1] motive[0] is[0] resulting[0] in[0] a[0] convoluted[0] story[0] which[0] leaves[0] many[0] scratching[0] their[0] heads[0] in[0] confusion[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the star power here is quite strong , but the viewer can't help but feel the actors are wasted in this production . 	the star power here is quite strong , but the viewer can't help but feel the actors are wasted in this production .	1	-2	 the[0] star[0] power[0] here[0] is[0] quite[0] strong[0] but[0] the[0] viewer[0] can't[0] help[0] but[0] feel[0] the[0] actors[0] are[0] wasted[-1] in[0] this[0] production[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
