i'm really starting to wonder about alicia silverstone . 	Translation	Positive	Negative	EmotionRationale
sure , she is one of the most beautiful creatures on god's green earth ( second only to that movie critic at large guy ) , but when it comes to choosing what movies she stars in , she always strikes out . 	sure , she is one of the most beautiful creatures on god's green earth ( second only to that movie critic at large guy ) , but when it comes to choosing what movies she stars in , she always strikes out .	3	-2	 sure[0] she[0] is[0] one[0] of[0] the[0] most[0] beautiful[2] creatures[0] on[0] god's[0] green[0] earth[0] second[0] only[0] to[0] that[0] movie[0] critic[-1] at[0] large[0] guy[0] but[0] when[0] it[0] comes[0] to[0] choosing[0] what[0] movies[0] she[0] stars[0] in[0] she[0] always[0] strikes[0] out[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the crush was a slow-moving , predictable piece of fluff . 	the crush was a slow-moving , predictable piece of fluff .	1	-2	 the[0] crush[-1] was[0] a[0] slow[0] moving[0] predictable[0] piece[0] of[0] fluff[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
hideaway was a horrific novel adaptation alicia had only a minor role in . 	hideaway was a horrific novel adaptation alicia had only a minor role in .	1	-4	 hideaway[0] was[0] a[0] horrific[-3] novel[0] adaptation[0] alicia[0] had[0] only[0] a[0] minor[0] role[0] in[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
clueless was an annoying , unfunny waste of time . 	clueless was an annoying , unfunny waste of time .	1	-3	 clueless[0] was[0] an[0] annoying[-2] unfunny[0] waste[-1] of[0] time[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and people have e-mailed me too , saying clueless is a good movie and that i'm the only one who doesn't like it . 	and people have e-mailed me too , saying clueless is a good movie and that i'm the only one who doesn't like it .	2	-1	 and[0] people[0] have[0] e[0] mailed[0] me[0] too[0] saying[0] clueless[0] is[0] a[0] good[1] movie[0] and[0] that[0] i'm[0] the[0] only[0] one[0] who[0] doesn't[0] like[1] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
one girl said if i'd seen the movie with " an open mind , " i would have enjoyed it . 	one girl said if i'd seen the movie with " an open mind , " i would have enjoyed it .	3	-1	 one[0] girl[0] said[0] if[0] i'd[0] seen[0] the[0] movie[0] with[0] an[0] open[0] mind[0] i[0] would[0] have[0] enjoyed[2] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
nothing could be further from the truth . 	nothing could be further from the truth .	2	-1	 nothing[0] could[0] be[0] further[0] from[0] the[0] truth[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i went into the theater expecting to love the movie . 	i went into the theater expecting to love the movie .	3	-1	 i[0] went[0] into[0] the[0] theater[0] expecting[0] to[0] love[2] the[0] movie[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the preview looked good and of course i'm crazymadinlove with alicia , but the movie was a bunch of bad jokes coming from whiny , unlikable characters . 	the preview looked good and of course i'm crazymadinlove with alicia , but the movie was a bunch of bad jokes coming from whiny , unlikable characters .	2	-2	 the[0] preview[0] looked[0] good[1] and[0] of[0] course[0] i'm[0] crazymadinlove[0] with[0] alicia[0] but[0] the[0] movie[0] was[0] a[0] bunch[0] of[0] bad[-1] jokes[1] coming[0] from[0] whiny[0] unlikable[0] characters[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
almost everyone i saw the movie with felt the same way . 	almost everyone i saw the movie with felt the same way .	1	-1	 almost[0] everyone[0] i[0] saw[0] the[0] movie[0] with[0] felt[0] the[0] same[0] way[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
