shakespeare in love is quite possibly the most enjoyable period piece ever made for the silver screen . 	Translation	Positive	Negative	EmotionRationale
it is both humorous and romantic in a very unique blend that can successfully entertain any audience for the nearly 2 and and a half hours that it occupies . 	it is both humorous and romantic in a very unique blend that can successfully entertain any audience for the nearly 2 and and a half hours that it occupies .	4	-1	 it[0] is[0] both[0] humorous[2] and[0] romantic[3] in[0] a[0] very[0] unique[0] blend[0] that[0] can[0] successfully[2] entertain[0] any[0] audience[0] for[0] the[0] nearly[0] 2[0] and[0] and[0] a[0] half[0] hours[0] that[0] it[0] occupies[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
that is , however , not to say it is a good film , a quality production or anything of the sort . 	that is , however , not to say it is a good film , a quality production or anything of the sort .	2	-1	 that[0] is[0] however[0] not[0] to[0] say[0] it[0] is[0] a[0] good[1] film[0] a[0] quality[0] production[0] or[0] anything[0] of[0] the[0] sort[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
shakespeare in love is an incredibly cheap illusion that truly pans out to be very little quality or original work . 	shakespeare in love is an incredibly cheap illusion that truly pans out to be very little quality or original work .	3	-4	 shakespeare[0] in[0] love[2] is[0] an[0] incredibly[0] cheap[-1][-2 LastWordBoosterStrength] illusion[0] that[0] truly[1] pans[0] out[0] to[0] be[0] very[0] little[0] quality[0] or[0] original[0] work[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
the finest sign of this may be the plot , in looking back , there seems to be little more than a thin , predictable plot that is only carried by the portrayal of people that we revere in our history books . 	the finest sign of this may be the plot , in looking back , there seems to be little more than a thin , predictable plot that is only carried by the portrayal of people that we revere in our history books .	2	-1	 the[0] finest[0] sign[0] of[0] this[0] may[0] be[0] the[0] plot[0] in[0] looking[0] back[0] there[0] seems[0] to[0] be[0] little[0] more[0] than[0] a[0] thin[0] predictable[0] plot[0] that[0] is[0] only[0] carried[0] by[0] the[0] portrayal[0] of[0] people[0] that[0] we[0] revere[1] in[0] our[0] history[0] books[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
philip henslowe ( geoffrey rush ) owns 1 of the 2 theatres in london . 	philip henslowe ( geoffrey rush ) owns 1 of the 2 theatres in london .	1	-1	 philip[0] henslowe[0] geoffrey[0] rush[0] owns[0] 1[0] of[0] the[0] 2[0] theatres[0] in[0] london[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is at the peak of the royal theatre era , and queen elizabeth ( the recently damed judi dench , by , appropriately enough , queen elizabeth ii ) is very much a fan . 	it is at the peak of the royal theatre era , and queen elizabeth ( the recently damed judi dench , by , appropriately enough , queen elizabeth i ) is very much a fan .	1	-1	 it[0] is[0] at[0] the[0] peak[0] of[0] the[0] royal[0] theatre[0] era[0] and[0] queen[0] elizabeth[0] the[0] recently[0] damed[0] judi[0] dench[0] by[0] appropriately[0] enough[0] queen[0] elizabeth[0] ii/i[0] is[0] very[0] much[0] a[0] fan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , to directly quote the film , he has " cash flow problems . " 	however , to directly quote the film , he has " cash flow problems .<br> "	1	-2	 however[0] to[0] directly[0] quote[0] the[0] film[0] he[0] has[0] cash[0] flow[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
through a long set of events , it becomes apparent that his entire life is dependent on his next show doing well enough to pay off his debts . 	through a long set of events , it becomes apparent that his entire life is dependent on his next show doing well enough to pay off his debts .	1	-2	 through[0] a[0] long[0] set[0] of[0] events[0] it[0] becomes[0] apparent[0] that[0] his[0] entire[0] life[0] is[0] dependent[-1] on[0] his[0] next[0] show[0] doing[0] well[0] enough[0] to[0] pay[0] off[0] his[0] debts[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
so , mr . henslowe employs the young playwright , william shakespeare ( joseph fiennes ) to pen a comedic production . 	so , mr .<br> henslowe employs the young playwright , william shakespeare ( joseph fiennes ) to pen a comedic production .	1	-1	 so[0] mr[0] [[Sentence=-1,1=word max, 1-5]] henslowe[0] employs[0] the[0] young[0] playwright[0] william[0] shakespeare[0] joseph[0] fiennes[0] to[0] pen[0] a[0] comedic[0] production[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
however , the young writer has a severe case of writer's block , and blames it on the fact that his love life is struggling as well . 	however , the young writer has a severe case of writer's block , and blames it on the fact that his love life is struggling as well .	3	-2	 however[0] the[0] young[0] writer[0] has[0] a[0] severe[-1] case[0] of[0] writer's[0] block[-1] and[0] blames[-1] it[0] on[0] the[0] fact[0] that[0] his[0] love[2] life[0] is[0] struggling[-1] as[0] well[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
he has the title in mind , romeo and ethel , the pirate's daughter ( even that joke loses steam after a while ) but can't seem to put words to paper . 	he has the title in mind , romeo and ethel , the pirate's daughter ( even that joke loses steam after a while ) but can't seem to put words to paper .	2	-2	 he[0] has[0] the[0] title[0] in[0] mind[0] romeo[0] and[0] ethel[0] the[0] pirate's[0] daughter[0] even[0] that[0] joke[1] loses[-1] steam[0] after[0] a[0] while[0] but[0] can't[0] seem[0] to[0] put[0] words[0] to[0] paper[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
then , as only hollywood could have it , through a long set of twisted events , he meets viola de lesseps ( gwyneth paltrow ) and falls madly in love , thus curing his writer's block . 	then , as only hollywood could have it , through a long set of twisted events , he meets viola de lesseps ( gwyneth paltrow ) and falls madly in love , thus curing his writer's block .	3	-2	 then[0] as[0] only[0] hollywood[0] could[0] have[0] it[0] through[0] a[0] long[0] set[0] of[0] twisted[0] events[0] he[0] meets[0] viola[0] de[0] lesseps[0] gwyneth[0] paltrow[0] and[0] falls[0] madly[1] in[0] love[2] thus[0] curing[0] his[0] writer's[0] block[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
there are many other little issues that mr . henslowe encounters , but they all pan out to be much ado about nothing . 	there are many other little issues that mr .<br> henslowe encounters , but they all pan out to be much ado about nothing .	1	-1	 there[0] are[0] many[0] other[0] little[0] issues[0] that[0] mr[0] [[Sentence=-1,1=word max, 1-5]] henslowe[0] encounters[0] but[0] they[0] all[0] pan[0] out[0] to[0] be[0] much[0] ado[0] about[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first realization that i reached in watching this film is that one of the messages given is that a show should not always be credited to it's author . 	the first realization that i reached in watching this film is that one of the messages given is that a show should not always be credited to it's author .	1	-1	 the[0] first[0] realization[0] that[0] i[0] reached[0] in[0] watching[0] this[0] film[0] is[0] that[0] one[0] of[0] the[0] messages[0] given[0] is[0] that[0] a[0] show[0] should[0] not[0] always[0] be[0] credited[0] to[0] it's[0] author[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
ironically , that couldn't be truer here . 	ironically , that couldn't be truer here .	1	-2	 ironically[-1] that[0] couldn't[0] be[0] truer[1][NegatedDueToPreviousWord] here[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the great scenes that will sweep audiences away are not the scenes that fit in the plot , but rather the recitals of shakespearean lines by actors playing actors . 	the great scenes that will sweep audiences away are not the scenes that fit in the plot , but rather the recitals of shakespearean lines by actors playing actors .	3	-1	 the[0] great[2] scenes[0] that[0] will[0] sweep[0] audiences[0] away[0] are[0] not[0] the[0] scenes[0] that[0] fit[0] in[0] the[0] plot[0] but[0] rather[0] the[0] recitals[0] of[0] shakespearean[0] lines[0] by[0] actors[0] playing[1] actors[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one of the most breathtaking moments in this film does not involve the character of shakespeare or queen elizabeth or even the theatre owner , but rather 2 young children named romeo and juliet who chose to end their own lives in the name of love . 	one of the most breathtaking moments in this film does not involve the character of shakespeare or queen elizabeth or even the theatre owner , but rather 2 young children named romeo and juliet who chose to end their own lives in the name of love .	3	-1	 one[0] of[0] the[0] most[0] breathtaking[0] moments[0] in[0] this[0] film[0] does[0] not[0] involve[0] the[0] character[0] of[0] shakespeare[0] or[0] queen[0] elizabeth[0] or[0] even[0] the[0] theatre[0] owner[0] but[0] rather[0] 2[0] young[0] children[0] named[0] romeo[0] and[0] juliet[0] who[0] chose[0] to[0] end[0] their[0] own[0] lives[0] in[0] the[0] name[0] of[0] love[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
