working in the motion picture industry must be a constant source of frustration for a front-line african american actress like jada pinkett smith . 	Translation	Positive	Negative	EmotionRationale
despite being one of the freshest talents available , pinkett smith has often been relegated to playing thankless supporting parts ( a low down dirty shame , the nutty professor ) . 	despite being one of the freshest talents available , pinkett smith has often been relegated to playing thankless supporting parts ( a low down dirty shame , the nutty professor ) .	2	-3	 despite[0] being[0] one[0] of[0] the[0] freshest[0] talents[1] available[0] pinkett[0] smith[0] has[0] often[0] been[0] relegated[0] to[0] playing[1] thankless[0] supporting[1] parts[0] a[0] low[-1] down[0] dirty[-1] shame[-2] the[0] nutty[0] professor[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the problem is , of course , that there aren't many good roles available for black women . 	the problem is , of course , that there aren't many good roles available for black women .	1	-2	 the[0] problem[-1] is[0] of[0] course[0] that[0] there[0] aren't[0] many[0] good[1][NegatedDueToPreviousWord] roles[0] available[0] for[0] black[0] women[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
take away the likes of waiting to exhale , set it off , soul food , and eve's bayou , and all that's left is a chance to be someone's girlfriend , a local whore , or a murder victim . 	take away the likes of waiting to exhale , set it off , soul food , and eve's bayou , and all that's left is a chance to be someone's girlfriend , a local whore , or a murder victim .	3	-4	 take[0] away[0] the[0] likes[2] of[0] waiting[0] to[0] exhale[0] set[0] it[0] off[0] soul[0] food[0] and[0] eve's[0] bayou[0] and[0] all[0] that's[0] left[0] is[0] a[0] chance[0] to[0] be[0] someone's[0] girlfriend[0] a[0] local[0] whore[-2] or[0] a[0] murder[-3] victim[-2][-1 MultiplePositiveWords] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as a result , for pinkett smith's first opportunity atop the marquee , she is stuck in a stupid , formulaic romantic comedy with the unpromising title of woo . 	as a result , for pinkett smith's first opportunity atop the marquee , she is stuck in a stupid , formulaic romantic comedy with the unpromising title of woo .	4	-2	 as[0] a[0] result[0] for[0] pinkett[0] smith's[0] first[0] opportunity[0] atop[0] the[0] marquee[0] she[0] is[0] stuck[0] in[0] a[0] stupid[-1] formulaic[0] romantic[3] comedy[0] with[0] the[0] unpromising[0] title[0] of[0] woo[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
actually , woo , the latest directorial effort from daisy v . s . 	actually , woo , the latest directorial effort from daisy v .<br> s .	1	-1	 actually[0] woo[0] the[0] latest[0] directorial[0] effort[0] from[0] daisy[0] v[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mayer ( party girl ) , could have been worse than it is . 	mayer ( party girl ) , could have been worse than it is .	1	-3	 mayer[0] party[0] girl[0] could[0] have[0] been[0] worse[-2] than[0] it[0] is[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film offers a few funny ( albeit juvenile ) moments and the on-screen relationship between pinkett smith's woo and tommy davidson's tim is appealing on those rare occasions when the two aren't forced to play it dumb for the sake of an endless barrage of cheap gags . 	the film offers a few funny ( albeit juvenile ) moments and the on-screen relationship between pinkett smith's woo and tommy davidson's tim is appealing on those rare occasions when the two aren't forced to play it dumb for the sake of an endless barrage of cheap gags .	2	-2	 the[0] film[0] offers[0] a[0] few[0] funny[1] albeit[0] juvenile[0] moments[0] and[0] the[0] on[0] screen[0] relationship[0] between[0] pinkett[0] smith's[0] woo[0] and[0] tommy[0] davidson's[0] tim[0] is[0] appealing[0] on[0] those[0] rare[0] occasions[0] when[0] the[0] two[0] aren't[0] forced[0] to[0] play[0] it[0] dumb[-1] for[0] the[0] sake[0] of[0] an[0] endless[0] barrage[0] of[0] cheap[-1] gags[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , huge portions of the movie are insulting to the intelligence of anyone with a triple-digit i . q . 	unfortunately , huge portions of the movie are insulting to the intelligence of anyone with a triple-digit i .<br> q .	1	-3	 unfortunately[-1] huge[0] portions[0] of[0] the[0] movie[0] are[0] insulting[-2] to[0] the[0] intelligence[0] of[0] anyone[0] with[0] a[0] triple[0] digit[0] i[0] [[Sentence=-3,1=word max, 1-5]] q[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
the situations are painfully contrived , the main characters are lifted right out of sit-coms , and the supporting players are so incredibly stupid that i wondered whether they all participated in some kind of " free lobotomy " lab experiment . 	the situations are painfully contrived , the main characters are lifted right out of sit-coms , and the supporting players are so incredibly stupid that i wondered whether they all participated in some kind of " free lobotomy " lab experiment .	2	-4	 the[0] situations[0] are[0] painfully[-3] contrived[0] the[0] main[0] characters[0] are[0] lifted[0] right[0] out[0] of[0] sit[0] coms[0] and[0] the[0] supporting[1] players[0] are[0] so[0] incredibly[0] stupid[-1][-2 LastWordBoosterStrength] that[0] i[0] wondered[0] whether[0] they[0] all[0] participated[0] in[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] free[0] lobotomy[0] lab[0] experiment[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
woo is a spontaneous , energetic young woman who has been looking for love in all the wrong places . 	woo is a spontaneous , energetic young woman who has been looking for love in all the wrong places .	3	-2	 woo[0] is[0] a[0] spontaneous[0] energetic[0] young[0] woman[0] who[0] has[0] been[0] looking[0] for[0] love[2] in[0] all[0] the[0] wrong[-1] places[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
her latest relationship , with a testosterone-overdosed drug-dealer , came to an abrupt end when she refused to wear a beeper . 	her latest relationship , with a testosterone-overdosed drug-dealer , came to an abrupt end when she refused to wear a beeper .	1	-2	 her[0] latest[0] relationship[0] with[0] a[0] testosterone[0] overdosed[0] drug[0] dealer[0] came[0] to[0] an[0] abrupt[-1] end[0] when[0] she[0] refused[-1] to[0] wear[0] a[0] beeper[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
