susan granger's review of " mulholland drive " ( universal focus ) 	Translation	Positive	Negative	EmotionRationale
whatever david lynch is selling , i'm not buying . 	whatever david lynch is selling , i'm not buying .	1	-1	 whatever[0] david[0] lynch[0] is[0] selling[0] i'm[0] not[0] buying[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
from the writer/director of " blue velvet " and " twin peaks " comes another dark , mysterious thriller that opens with an automobile accident on mulholland drive , the serpentine street that twists high in the hollywood hills . 	from the writer/director of " blue velvet " and " twin peaks " comes another dark , mysterious thriller that opens with an automobile accident on mulholland drive , the serpentine street that twists high in the hollywood hills .	2	-2	 from[0] the[0] writer/director[0] of[0] blue[0] velvet[0] and[0] twin[0] peaks[0] comes[0] another[0] dark[0] mysterious[0] thriller[1] that[0] opens[0] with[0] an[0] automobile[0] accident[-1] on[0] mulholland[0] drive[0] the[0] serpentine[0] street[0] that[0] twists[0] high[0] in[0] the[0] hollywood[0] hills[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
dazed , a beautiful brunette ( laura elena harring ) emerges and stumbles down a hill , slipping unobserved into a '30s-style apartment as the tenant leaves for a trip . 	dazed , a beautiful brunette ( laura elena harring ) emerges and stumbles down a hill , slipping unobserved into a '30s-style apartment as the tenant leaves for a trip .	3	-2	 dazed[-1] a[0] beautiful[2] brunette[0] laura[0] elena[0] harring[0] emerges[0] and[0] stumbles[0] down[0] a[0] hill[0] slipping[0] unobserved[-1] into[0] a[0] '30s[0] style[0] apartment[0] as[0] the[0] tenant[0] leaves[0] for[0] a[0] trip[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the next morning , a dewy blonde ( naomi watts ) from deep river , ontario , arrives in la with dreams of stardom in her suitcase . 	the next morning , a dewy blonde ( naomi watts ) from deep river , ontario , arrives in la with dreams of stardom in her suitcase .	1	-1	 the[0] next[0] morning[0] a[0] dewy[0] blonde[0] naomi[0] watts[0] from[0] deep[0] river[0] ontario[0] arrives[0] in[0] la[0] with[0] dreams[0] of[0] stardom[0] in[0] her[0] suitcase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
her aunt owns the apartment and the two women meet . 	her aunt owns the apartment and the two women meet .	1	-1	 her[0] aunt[0] owns[0] the[0] apartment[0] and[0] the[0] two[0] women[0] meet[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the brunette has amnesia so the blonde tries to help her discover her identity along with her latent lesbian lust . 	the brunette has amnesia so the blonde tries to help her discover her identity along with her latent lesbian lust .	1	-1	 the[0] brunette[0] has[0] amnesia[0] so[0] the[0] blonde[0] tries[0] to[0] help[0] her[0] discover[0] her[0] identity[0] along[0] with[0] her[0] latent[0] lesbian[0] lust[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meanwhile , a hotshot director ( justin theroux ) , whose wife is in bed with the poolman , is forced to cast a certain actress in his new film and there's an assassin ( mark pellegrino ) roaming the city . 	meanwhile , a hotshot director ( justin theroux ) , whose wife is in bed with the poolman , is forced to cast a certain actress in his new film and there's an assassin ( mark pellegrino ) roaming the city .	1	-3	 meanwhile[0] a[0] hotshot[0] director[0] justin[0] theroux[0] whose[0] wife[0] is[0] in[0] bed[0] with[0] the[0] poolman[0] is[0] forced[0] to[0] cast[0] a[0] certain[0] actress[0] in[0] his[0] new[0] film[0] and[0] there's[0] an[0] assassin[-2] mark[0] pellegrino[0] roaming[0] the[0] city[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the tortuous paths of these various characters - and others named cookie , coco and cowboy - intersect at various points but the plot remains elusive because , midway through the story , lynch has the brunette and blonde play two different women in an alternate reality , leaving a huge wad of cash , a blue metallic key , a paralyzed mogul and a lot of questions that go unanswered . 	the tortuous paths of these various characters - and others named cookie , coco and cowboy - intersect at various points but the plot remains elusive because , midway through the story , lynch has the brunette and blonde play two different women in an alternate reality , leaving a huge wad of cash , a blue metallic key , a paralyzed mogul and a lot of questions that go unanswered .	1	-2	 the[0] tortuous[0] paths[0] of[0] these[0] various[0] characters[0] and[0] others[0] named[0] cookie[0] coco[0] and[0] cowboy[0] intersect[0] at[0] various[0] points[0] but[0] the[0] plot[0] remains[0] elusive[0] because[0] midway[0] through[0] the[0] story[0] lynch[0] has[0] the[0] brunette[0] and[0] blonde[0] play[0] two[0] different[0] women[0] in[0] an[0] alternate[0] reality[0] leaving[0] a[0] huge[0] wad[0] of[0] cash[0] a[0] blue[0] metallic[0] key[0] a[0] paralyzed[-1] mogul[0] and[0] a[0] lot[0] of[0] questions[0] that[0] go[0] unanswered[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
elena harring and particularly naomi watts are gifted actresses , effectively making the subtle switch . 	elena harring and particularly naomi watts are gifted actresses , effectively making the subtle switch .	1	-1	 elena[0] harring[0] and[0] particularly[0] naomi[0] watts[0] are[0] gifted[0] actresses[0] effectively[0] making[0] the[0] subtle[0] switch[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the same cannot be said for former m . g . m . 	the same cannot be said for former m .<br> grin� .<br> m .	1	-1	 the[0] same[0] cannot[0] be[0] said[0] for[0] former[0] m[0] [[Sentence=-1,1=word max, 1-5]] g[0] [[Sentence=-1,1=word max, 1-5]] m[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
