georges polti once wrote a paper called " the thirty-six dramatic situations , " in which he asserted the fact that all drama could be defined by no more than thirty-six different situations . 	Translation	Positive	Negative	EmotionRationale
this may be the modern restatement of the biblical prophecy from ecclesiastes , " there's nothing new under the sun . " 	this may be the modern restatement of the biblical prophecy from ecclesiastes , " there's nothing new under the sun .<br> "	1	-1	 this[0] may[0] be[0] the[0] modern[0] restatement[0] of[0] the[0] biblical[0] prophecy[0] from[0] ecclesiastes[0] there's[0] nothing[0] new[0] under[0] the[0] sun[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the faculty , the latest movie by from dusk till dawn director robert rodriguez , certainly proves this in typical hollywood fashion . 	the faculty , the latest movie by from dusk till dawn director robert rodriguez , certainly proves this in typical hollywood fashion .	1	-1	 the[0] faculty[0] the[0] latest[0] movie[0] by[0] from[0] dusk[0] till[0] dawn[0] director[0] robert[0] rodriguez[0] certainly[0] proves[0] this[0] in[0] typical[0] hollywood[0] fashion[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's not a measureable fraction of original material in this unworthy outing . 	there's not a measureable fraction of original material in this unworthy outing .	1	-2	 there's[0] not[0] a[0] measureable[0] fraction[0] of[0] original[0] material[0] in[0] this[0] unworthy[-1] outing[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
drawing elements from both the puppet masters and invasion of the body snatchers , screenwriter kevin williamson ( of scream 2 credit ) gives us a horror tale set in middle america ( ohio ) one eventful fall . 	drawing elements from both the puppet masters and invasion of the body snatchers , screenwriter kevin williamson ( of scream 2 credit ) gives us a horror tale set in middle america ( ohio ) one eventful fall .	1	-4	 drawing[0] elements[0] from[0] both[0] the[0] puppet[0] masters[0] and[0] invasion[0] of[0] the[0] body[0] snatchers[-1] screenwriter[0] kevin[0] williamson[0] of[0] scream[-3] 2[0] credit[0] gives[0] us[0] a[0] horror[-3] tale[0] set[0] in[0] middle[0] america[0] ohio[0] one[0] eventful[0] fall[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
making use of a cast of unusually stock characters , williamson designs an alien invasion that will not be done independence day-style but rather " through the back door . " 	making use of a cast of unusually stock characters , williamson designs an alien invasion that will not be done independence day-style but rather " through the back door .<br> "	1	-2	 making[0] use[0] of[0] a[0] cast[0] of[0] unusually[0] stock[0] characters[0] williamson[0] designs[0] an[0] alien[-1] invasion[0] that[0] will[0] not[0] be[0] done[0] independence[0] day[0] style[0] but[0] rather[0] through[0] the[0] back[0] door[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
parasitic aliens take over the faculty of a run-down high school and soon have infested most of the student body , leaving it up to the ensemble of principal characters to win the day . 	parasitic aliens take over the faculty of a run-down high school and soon have infested most of the student body , leaving it up to the ensemble of principal characters to win the day .	1	-3	 parasitic[-2] aliens[0] take[0] over[0] the[0] faculty[0] of[0] a[0] run[0] down[0] high[0] school[0] and[0] soon[0] have[0] infested[-2] most[0] of[0] the[0] student[0] body[0] leaving[0] it[0] up[0] to[0] the[0] ensemble[0] of[0] principal[0] characters[0] to[0] win[0] the[0] day[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the lack of gusto is the movie's major stumbling block . 	the lack of gusto is the movie's major stumbling block .	1	-2	 the[0] lack[-1] of[0] gusto[0] is[0] the[0] movie's[0] major[0] stumbling[0] block[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
even though the genre has seen movies that have a lack for quality such as this , they've been saved by an energetic approach . 	even though the genre has seen movies that have a lack for quality such as this , they've been saved by an energetic approach .	2	-2	 even[0] though[0] the[0] genre[0] has[0] seen[0] movies[0] that[0] have[0] a[0] lack[-1] for[0] quality[0] such[0] as[0] this[0] they've[0] been[0] saved[1] by[0] an[0] energetic[0] approach[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
this casts more than a shadow of a doubt on williamson's ability , who enjoyed success with the wes craven-directed scream but couldn't pull anything solid in for this outing or i know what you did last summer . 	this casts more than a shadow of a doubt on williamson's ability , who enjoyed success with the wes craven-directed scream but couldn't pull anything solid in for this outing or i know what you did last summer .	4	-4	 this[0] casts[0] more[0] than[0] a[0] shadow[0] of[0] a[0] doubt[-1] on[0] williamson's[0] ability[0] who[0] enjoyed[2] success[2][+1 MultiplePositiveWords] with[0] the[0] wes[0] craven[-1] directed[0] scream[-3] but[0] couldn't[0] pull[0] anything[0] solid[0] in[0] for[0] this[0] outing[0] or[0] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
although he designs the faculty with more of a sci-fi bent than his typical slasher picture , it still comes down to the same results : throw the stock characters in a steel cage match and see who comes out alive . 	although he designs the faculty with more of a sci-fi bent than his typical slasher picture , it still comes down to the same results : throw the stock characters in a steel cage match and see who comes out alive .	1	-2	 although[0] he[0] designs[0] the[0] faculty[0] with[0] more[0] of[0] a[0] sci[0] fi[0] bent[0] than[0] his[0] typical[0] slasher[-1] picture[0] it[0] still[0] comes[0] down[0] to[0] the[0] same[0] results[0] throw[0] the[0] stock[0] characters[0] in[0] a[0] steel[0] cage[0] match[0] and[0] see[0] who[0] comes[0] out[0] alive[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on that level , the main roles are played by virtual unknowns . 	on that level , the main roles are played by virtual unknowns .	1	-1	 on[0] that[0] level[0] the[0] main[0] roles[0] are[0] played[0] by[0] virtual[0] unknowns[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only the recognizeable elijah wood ( deep impact ) is at the front ; other than that , the screen veterans are saved for the minor roles of the alien teachers . 	only the recognizeable elijah wood ( deep impact ) is at the front ; other than that , the screen veterans are saved for the minor roles of the alien teachers .	2	-2	 only[0] the[0] recognizeable[0] elijah[0] wood[0] deep[0] impact[0] is[0] at[0] the[0] front[0] other[0] than[0] that[0] the[0] screen[0] veterans[0] are[0] saved[1] for[0] the[0] minor[0] roles[0] of[0] the[0] alien[-1] teachers[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
perhaps williamson has it in mind to champion these up-and-comers to the fame that their scream and last summer counterparts achieved ; but to do that , they'd all need to star in their own wb television show about the horrors of puberty a la " dawson's creek . " 	perhaps williamson has it in mind to champion these up-and-comers to the fame that their scream and last summer counterparts achieved ; but to do that , they'd all need to star in their own welcome back� television show about the horrors of puberty a la " dawson's creek .<br> "	1	-4	 perhaps[0] williamson[0] has[0] it[0] in[0] mind[0] to[0] champion[0] these[0] up[0] and[0] comers[0] to[0] the[0] fame[0] that[0] their[0] scream[-3] and[0] last[0] summer[0] counterparts[0] achieved[0] but[0] to[0] do[0] that[0] they'd[0] all[0] need[0] to[0] star[0] in[0] their[0] own[0] wb[0] television[0] show[0] about[0] the[0] horrors[-3] of[0] puberty[0] a[0] la[0] dawson's[0] creek[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
needless to say the acting is far from top notch , nor does necessity ask that it should be . 	needless to say the acting is far from top notch , nor does necessity ask that it should be .	1	-1	 needless[0] to[0] say[0] the[0] acting[0] is[0] far[0] from[0] top[0] notch[0] nor[0] does[0] necessity[0] ask[0] that[0] it[0] should[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there is a moment or two of genuine horror , but unfortunately williamson and rodriguez did not take the story far enough in the sci-fi direction to make any use of it . 	there is a moment or two of genuine horror , but unfortunately williamson and rodriguez did not take the story far enough in the sci-fi direction to make any use of it .	1	-4	 there[0] is[0] a[0] moment[0] or[0] two[0] of[0] genuine[0] horror[-3] but[0] unfortunately[-1] williamson[0] and[0] rodriguez[0] did[0] not[0] take[0] the[0] story[0] far[0] enough[0] in[0] the[0] sci[0] fi[0] direction[0] to[0] make[0] any[0] use[0] of[0] it[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
in sum , the faculty was just one long shot that did not pay off . 	in sum , the faculty was just one long shot that did not pay off .	1	-2	 in[0] sum[0] the[0] faculty[0] was[0] just[0] one[0] long[0] shot[-1] that[0] did[0] not[0] pay[0] off[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
