i read the new yorker magazine and i enjoy some of their really in-depth articles about some incident . 	Translation	Positive	Negative	EmotionRationale
they will take some incident like the investigation of a mysterious plane crash and tell you what happened in detail . 	they will take some incident like the investigation of a mysterious plane crash and tell you what happened in detail .	2	-1	 they[0] will[0] take[0] some[0] incident[0] like[1] the[0] investigation[0] of[0] a[0] mysterious[0] plane[0] crash[0] and[0] tell[0] you[0] what[0] happened[0] in[0] detail[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it becomes a real education in what agencies get involved and how theories are suggested , and what kind of pressure the investigators are under , and just about any other aspect you can think of . 	it becomes a real education in what agencies get involved and how theories are suggested , and what kind of pressure the investigators are under , and just about any other aspect you can think of .	2	-2	 it[0] becomes[0] a[0] real[0] education[0] in[0] what[0] agencies[0] get[0] involved[0] and[0] how[0] theories[0] are[0] suggested[0] and[0] what[0] kind[1] of[0] pressure[-1] the[0] investigators[0] are[0] under[0] and[0] just[0] about[0] any[0] other[0] aspect[0] you[0] can[0] think[0] of[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
frequently i get the feeling that the article sounded exciting , but i am being told in more detail than i really wanted to know . 	frequently i get the feeling that the article sounded exciting , but i am being told in more detail than i really wanted to know .	3	-1	 frequently[0] i[0] get[0] the[0] feeling[0] that[0] the[0] article[0] sounded[0] exciting[2] but[0] i[0] am[0] being[0] told[0] in[0] more[0] detail[0] than[0] i[0] really[0] wanted[0] to[0] know[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
often i get to the middle of a story and say , ok , it sounded good but i now have invested more time than i am willing to spend on this subject . 	often i get to the middle of a story and say , ok , it sounded good but i now have invested more time than i am willing to spend on this subject .	2	-1	 often[0] i[0] get[0] to[0] the[0] middle[0] of[0] a[0] story[0] and[0] say[0] ok[0] it[0] sounded[0] good[1] but[0] i[0] now[0] have[0] invested[0] more[0] time[0] than[0] i[0] am[0] willing[0] to[0] spend[0] on[0] this[0] subject[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
film is a different medium . 	film is a different medium .	1	-1	 film[0] is[0] a[0] different[0] medium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it is a visual medium . 	it is a visual medium .	1	-1	 it[0] is[0] a[0] visual[0] medium[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that slows down the telling of stories much more than people realize . 	that slows down the telling of stories much more than people realize .	1	-1	 that[0] slows[0] down[0] the[0] telling[0] of[0] stories[0] much[0] more[0] than[0] people[0] realize[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i frequently am surprised to find out how short a film script is and how much of the pages are empty space . 	i frequently am surprised to find out how short a film script is and how much of the pages are empty space .	1	-1	 i[0] frequently[0] am[0] surprised[0] to[0] find[0] out[0] how[0] short[0] a[0] film[0] script[0] is[0] and[0] how[0] much[0] of[0] the[0] pages[0] are[0] empty[0] space[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the magazine article and the film script are two very different media . 	the magazine article and the film script are two very different media .	1	-1	 the[0] magazine[0] article[0] and[0] the[0] film[0] script[0] are[0] two[0] very[0] different[0] media[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the insider is a film adaptation of the vanity fair article " the man who knew too much " by marie brenner . 	the insider is a film adaptation of the vanity fair article " the man who knew too much " by marie brenner .	1	-2	 the[0] insider[0] is[0] a[0] film[0] adaptation[0] of[0] the[0] vanity[-1] fair[0] article[0] the[0] man[0] who[0] knew[0] too[0] much[0] by[0] marie[0] brenner[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it is too much an adaptation of a magazine article slowed to the pace of a film . 	it is too much an adaptation of a magazine article slowed to the pace of a film .	1	-1	 it[0] is[0] too[0] much[0] an[0] adaptation[0] of[0] a[0] magazine[0] article[0] slowed[0] to[0] the[0] pace[0] of[0] a[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it really verges on being tedious at least at times . 	it really verges on being tedious at least at times .	1	-3	 it[0] really[0] verges[0] on[0] being[0] tedious[-2] at[0] least[0] at[0] times[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
for years the seven big companies knew that they dealt in an addictive drug that caused a host of unhealthy side-effects . 	for years the seven big companies knew that they dealt in an addictive drug that caused a host of unhealthy side-effects .	1	-2	 for[0] years[0] the[0] seven[0] big[0] companies[0] knew[0] that[0] they[0] dealt[0] in[0] an[0] addictive[-1] drug[0] that[0] caused[0] a[0] host[0] of[0] unhealthy[-1] side[0] effects[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but they pretended for the public that it was unproven and they did not really believe it . 	but they pretended for the public that it was unproven and they did not really believe it .	1	-1	 but[0] they[0] pretended[0] for[0] the[0] public[0] that[0] it[0] was[0] unproven[0] and[0] they[0] did[0] not[0] really[0] believe[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the business was incredibly profitable and the proceeds translated into the political power to squelch and discredit any political movements against big tobacco . 	the business was incredibly profitable and the proceeds translated into the political power to squelch and discredit any political movements against big tobacco .	4	-2	 the[0] business[0] was[0] incredibly[0] profitable[1][2 LastWordBoosterStrength] and[0] the[0] proceeds[0] translated[0] into[0] the[0] political[0] power[0] to[0] squelch[0] and[0] discredit[-1] any[0] political[0] movements[0] against[-1] big[0] tobacco[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
