 " an intimate , character-driven drama about a troubled youth at a crossroads in his life , " read the press notes for _reach_the_rock_ . 	Translation	Positive	Negative	EmotionRationale
i'm not really sure what film that statement is describing because those words bear little resemblance to the slow , completely uninvolving bore i saw--at least , it certainly does not describe what goes on for most of the film . 	i'm not really sure what film that statement is describing because those words bear little resemblance to the slow , completely uninvolving bore i saw-at least , it certainly does not describe what goes on for most of the film .	1	-2	 i'm[0] not[0] really[0] sure[0] what[0] film[0] that[0] statement[0] is[0] describing[0] because[0] those[0] words[0] bear[0] little[0] resemblance[0] to[0] the[0] slow[0] completely[0] uninvolving[0] bore[-1] i[0] saw[0] at[0] least[0] it[0] certainly[0] does[0] not[0] describe[0] what[0] goes[0] on[0] for[0] most[0] of[0] the[0] film[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alessandro nivola plays robin fleming , a troubled , directionless 21-year-old who has a penchant for breaking storefront windows in a small town . 	alessandro nivola plays robin fleming , a troubled , directionless 21-year-old who has a penchant for breaking storefront windows in a small town .	2	-2	 alessandro[0] nivola[0] plays[1] robin[0] fleming[0] a[0] troubled[-1] directionless[0] 21[0] year[0] old[0] who[0] has[0] a[0] penchant[0] for[0] breaking[0] storefront[0] windows[0] in[0] a[0] small[0] town[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
police sergeant phil quinn ( william sadler ) takes him in , and what ensues for the first 70 minutes is a tedious series of sneak-outs and sneak-ins where robin slips out of his jail cell , breaks a window , then returns , all without quinn ever noticing . 	police sergeant phil quin ( william sadler ) takes him in , and what ensues for the first 70 minutes is a tedious series of sneak-outs and sneak-ins where robin slips out of his jail cell , breaks a window , then returns , all without quin ever noticing .	1	-3	 police[0] sergeant[0] phil[0] quinn/quin[0] william[0] sadler[0] takes[0] him[0] in[0] and[0] what[0] ensues[0] for[0] the[0] first[0] 70[0] minutes[0] is[0] a[0] tedious[-2] series[0] of[0] sneak[-1] outs[0] and[0] sneak[-1] ins[0] where[0] robin[0] slips[0] out[0] of[0] his[0] jail[-1] cell[0] breaks[0] a[0] window[0] then[0] returns[0] all[0] without[0] quinn/quin[0] ever[0] noticing[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
also added to the pointless proceedings is some would-be humorous shenanigans involving quinn's dimwitted deputy ernie attempting to engage in clandestine patrol car sex with his girlfriend donna ( karen sillas ) . 	also added to the pointless proceedings is some would-be humorous shenanigans involving quinn's dimwitted deputy ernie attempting to engage in clandestine patrol car sex with his girlfriend donna ( karen sillas ) .	3	-2	 also[0] added[0] to[0] the[0] pointless[-1] proceedings[0] is[0] some[0] would[0] be[0] humorous[2] shenanigans[0] involving[0] quinn's[0] dimwitted[-1] deputy[0] ernie[0] attempting[0] to[0] engage[0] in[0] clandestine[0] patrol[0] car[0] sex[0] with[0] his[0] girlfriend[0] donna[0] karen[0] sillas[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
with a half hour ( if even that long ) remaining , director william ryan and writer john hughes ( yes , john hughes of '80s youth films and _home_alone_ ) finally approach something close to a point . 	with a half hour ( if even that long ) remaining , director william ryan and writer john hughes ( yes , john hughes of '80s youth films and _home_alone_ ) finally approach something close to a point .	1	-1	 with[0] a[0] half[0] hour[0] if[0] even[0] that[0] long[0] remaining[0] director[0] william[0] ryan[0] and[0] writer[0] john[0] hughes[0] yes[0] john[0] hughes[0] of[0] '80s[0] youth[0] films[0] and[0] _home_alone_[0] finally[0] approach[0] something[0] close[0] to[0] a[0] point[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
turns out robin still pines for his high school sweetheart lise ( brooke langton ) , who has long gone on with her life , and hughes's main concern at long last reveals itself as a tired " live in the present and for the future " message . 	turns out robin still pines for his high school sweetheart lise ( broke langton ) , who has long gone on with her life , and hughes's main concern at long last reveals itself as a tired " live in the present and for the future " message .	4	-2	 turns[0] out[0] robin[0] still[0] pines[0] for[0] his[0] high[0] school[0] sweetheart[3] lise[0] brooke/broke[-1] langton[0] who[0] has[0] long[0] gone[0] on[0] with[0] her[0] life[0] and[0] hughes's[0] main[0] concern[-1] at[0] long[0] last[0] reveals[0] itself[0] as[0] a[0] tired[-1] live[0] in[0] the[0] present[0] and[0] for[0] the[0] future[0] message[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
most moviegoers , however , will likely be asleep by that time . 	most moviegoers , however , will likely be asleep by that time .	1	-1	 most[0] moviegoers[0] however[0] will[0] likely[0] be[0] asleep[0] by[0] that[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wide awake , however , is the cast , who individually tackle their showcase dramatic scenes with energy and skill--thus revealing the _real_ purpose behind this listless enterprise : to serve as a series of acting exercises . 	wide awake , however , is the cast , who individually tackle their showcase dramatic scenes with energy and skill-thus revealing the _real_ purpose behind this listless enterprise : to serve as a series of acting exercises .	1	-1	 wide[0] awake[0] however[0] is[0] the[0] cast[0] who[0] individually[0] tackle[0] their[0] showcase[0] dramatic[0] scenes[0] with[0] energy[0] and[0] skill[0] thus[0] revealing[0] the[0] _real_[0] purpose[0] behind[0] this[0] listless[0] enterprise[0] to[0] serve[0] as[0] a[0] series[0] of[0] acting[0] exercises[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
such a glorified workshop may have its rewards for the actors , but it leaves audiences with a booby prize . 	such a glorified workshop may have its rewards for the actors , but it leaves audiences with a booby prize .	3	-1	 such[0] a[0] glorified[1] workshop[0] may[0] have[0] its[0] rewards[1] for[0] the[0] actors[0] but[0] it[0] leaves[0] audiences[0] with[0] a[0] booby[0] prize[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( opens october 16 ) 	 ( opens october 16 )	1	-1	 opens[0] october[0] 16[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
