a hotshot lawyer gets an obviously guilty child molester acquitted , and shortly after during the victory celebration gets offered an opportunity to show his prowess in new york city . 	Translation	Positive	Negative	EmotionRationale
the lawyer , kevin lomax ( keanu reeves ) is not offered a job yet , he is asked to simply pick a jury . 	the lawyer , kevin lomax ( keanu reeves ) is not offered a job yet , he is asked to simply pick a jury .	1	-1	 the[0] lawyer[0] kevin[0] lomax[0] keanu[0] reeves[0] is[0] not[0] offered[0] a[0] job[0] yet[0] he[0] is[0] asked[0] to[0] simply[0] pick[0] a[0] jury[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he accepts . 	he accepts .	1	-1	 he[0] accepts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the jury he selects work out well and before long he is offered a job with the firm . 	the jury he selects work out well and before long he is offered a job with the firm .	1	-1	 the[0] jury[0] he[0] selects[0] work[0] out[0] well[0] and[0] before[0] long[0] he[0] is[0] offered[0] a[0] job[0] with[0] the[0] firm[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
making his decision easy is the fact that not only is he offered big money , but a gorgeous apartment . 	making his decision easy is the fact that not only is he offered big money , but a gorgeous apartment .	3	-1	 making[0] his[0] decision[0] easy[0] is[0] the[0] fact[0] that[0] not[0] only[0] is[0] he[0] offered[0] big[0] money[0] but[0] a[0] gorgeous[2] apartment[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
he convinces his wife , mary ann ( charlize theron ) to make the move to new york . 	he convinces his wife , mary an ( charlize theron ) to make the move to new york .	1	-1	 he[0] convinces[0] his[0] wife[0] mary[0] ann/an[0] charlize[0] theron[0] to[0] make[0] the[0] move[0] to[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the first case given to him is a big test ; a " winless " case concerning a man who sacrifices animals in his basement . 	the first case given to him is a big test ; a " winless " case concerning a man who sacrifices animals in his basement .	1	-2	 the[0] first[0] case[0] given[0] to[0] him[0] is[0] a[0] big[0] test[0] a[0] winless[0] case[0] concerning[-1] a[0] man[0] who[0] sacrifices[0] animals[0] in[0] his[0] basement[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the charge was health code violations and kevin once again shows his skill and earns an acquittal . 	the charge was health code violations and kevin once again shows his skill and earns an acquittal .	1	-2	 the[0] charge[-1] was[0] health[0] code[0] violations[-1] and[0] kevin[0] once[0] again[0] shows[0] his[0] skill[0] and[0] earns[0] an[0] acquittal[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his new boss and partner in the firm , john milton ( al pacino ) is quite impressed and takes kevin under his wing , explaining many of his philosophies on law , women and sex , and angles the promise of a blissful , wealthy life . 	his new boss and partner in the firm , john milton ( al pacino ) is quite impressed and takes kevin under his wing , explaining many of his philosophies on law , women and sex , and angles the promise of a blissful , wealthy life .	5	-1	 his[0] new[0] boss[0] and[0] partner[0] in[0] the[0] firm[0] john[0] milton[0] al[0] pacino[0] is[0] quite[0] impressed[1] and[0] takes[0] kevin[0] under[0] his[0] wing[0] explaining[0] many[0] of[0] his[0] philosophies[0] on[0] law[0] women[0] and[0] sex[0] and[0] angles[0] the[0] promise[1] of[0] a[0] blissful[4] wealthy[0] life[0] [[Sentence=-1,5=word max, 1-5]][[[5,-1 max of sentences]]]
kevin's next case is a dream case , given to him by milton himself ( much to the chagrin to his colleagues ) , defending a triple murder suspect who has had a history of problems with the law . 	kevin's next case is a dream case , given to him by milton himself ( much to the chagrin to his colleagues ) , defending a triple murder suspect who has had a history of problems with the law .	1	-4	 kevin's[0] next[0] case[0] is[0] a[0] dream[0] case[0] given[0] to[0] him[0] by[0] milton[0] himself[0] much[0] to[0] the[0] chagrin[0] to[0] his[0] colleagues[0] defending[0] a[0] triple[0] murder[-3] suspect[-1] who[0] has[0] had[0] a[0] history[0] of[0] problems[-1] with[0] the[0] law[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
although kevin's career is taking off , his home life is not doing very well . 	although kevin's career is taking off , his home life is not doing very well .	1	-1	 although[0] kevin's[0] career[0] is[0] taking[0] off[0] his[0] home[0] life[0] is[0] not[0] doing[0] very[0] well[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
mary ann is starting to have numerous problems . 	mary an is starting to have numerous problems .	1	-2	 mary[0] ann/an[0] is[0] starting[0] to[0] have[0] numerous[0] problems[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
