the main problem with martin lawrence's pet project , a thin line between love and hate , like any fatal attraction variation where the protagonist is a man , is that his character is an irresponsible jerk , and if that is the case , it doesn't seem to do anything except justify the woman's actions . 	Translation	Positive	Negative	EmotionRationale
that is especially the case in lawrence's darnell wright . 	that is especially the case in lawrence's darnell wright .	1	-1	 that[0] is[0] especially[0] the[0] case[0] in[0] lawrence's[0] darnell[0] wright[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is one of those macho guys with women lined up a mile long . 	he is one of those macho guys with women lined up a mile long .	1	-1	 he[0] is[0] one[0] of[0] those[0] macho[0] guys[0] with[0] women[0] lined[0] up[0] a[0] mile[0] long[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now don't think i condone this just because i'm male . 	now don't think i condone this just because i'm male .	1	-1	 now[0] don't[0] think[0] i[0] condone[0] this[0] just[0] because[0] i'm[0] male[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
my philosophy is , if you are one of the few heterosexual males lucky enough to get your hands on a beautiful , kind girl , you should treat her like a princess and respect her . 	my philosophy is , if you are one of the few heterosexual males lucky enough to get your hands on a beautiful , kind girl , you should treat her like a princess and respect her .	3	-1	 my[0] philosophy[0] is[0] if[0] you[0] are[0] one[0] of[0] the[0] few[0] heterosexual[0] males[0] lucky[1] enough[0] to[0] get[0] your[0] hands[0] on[0] a[0] beautiful[2] kind[1] girl[0] you[0] should[0] treat[1][-1 LastWordBoosterStrength] her[0] like[1] a[0] princess[0] and[0] respect[2] her[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
darnell doesn't think like this . 	darnell doesn't think like this .	2	-1	 darnell[0] doesn't[0] think[0] like[1] this[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
he sleeps with these girls once and dumps them . 	he sleeps with these girls once and dumps them .	1	-2	 he[0] sleeps[0] with[0] these[0] girls[0] once[0] and[0] dumps[-1] them[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and by the period in the film he discovered that his newest target , beautiful , wealthy brandi web ( played nicely by whitfield ) who runs a successful real estate business , is out to kill him for dumping her for his childdhood friend mia ( king ) , i found myself thinking , " i'm supposed to feel sorry for this guy ? " 	and by the period in the film he discovered that his newest target , beautiful , wealthy brandi web ( played nicely by whitfield ) who runs a successful real estate business , is out to kill him for dumping her for his childhood friend mia ( king ) , i found myself thinking , " i'm supposed to feel sorry for this guy ?<br> "	3	-2	 and[0] by[0] the[0] period[0] in[0] the[0] film[0] he[0] discovered[0] that[0] his[0] newest[0] target[0] beautiful[2] wealthy[0] brandi[0] web[0] played[0] nicely[1] by[0] whitfield[0] who[0] runs[0] a[0] successful[2] real[0] estate[0] business[0] is[0] out[0] to[0] kill[-1] him[0] for[0] dumping[-1] her[0] for[0] his[0] childdhood/childhood[0] friend[1] mia[0] king[0] i[0] found[0] myself[0] thinking[0] i'm[0] supposed[0] to[0] feel[0] sorry[-1] for[0] this[0] guy[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
after all , it is largely darnell's fault . 	after all , it is largely darnell's fault .	1	-2	 after[0] all[0] it[0] is[0] largely[0] darnell's[0] fault[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if he is lining up all these women , you'd think he'd have enough common sense to think it would backfire on him one day , as his mother says it does . 	if he is lining up all these women , you'd think he'd have enough common sense to think it would backfire on him one day , as his mother says it does .	1	-1	 if[0] he[0] is[0] lining[0] up[0] all[0] these[0] women[0] you'd[0] think[0] he'd[0] have[0] enough[0] common[0] sense[0] to[0] think[0] it[0] would[0] backfire[0] on[0] him[0] one[0] day[0] as[0] his[0] mother[0] says[0] it[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but he doesn't , so you get the sense that he's not only irresponsible , but also pretty dumb . 	but he doesn't , so you get the sense that he's not only irresponsible , but also pretty dumb .	3	-2	 but[0] he[0] doesn't[0] so[0] you[0] get[0] the[0] sense[0] that[0] he's[0] not[0] only[0] irresponsible[-1][NegatedDueToPreviousWord] but[0] also[0] pretty[2] dumb[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you especially get this sense that he's dumb after brandi tells him she killed her husband for allegedly abusing her . 	you especially get this sense that he's dumb after brandi tells him she killed her husband for allegedly abusing her .	1	-4	 you[0] especially[0] get[0] this[0] sense[0] that[0] he's[0] dumb[-1] after[0] brandi[0] tells[0] him[0] she[0] killed[-3] her[0] husband[0] for[0] allegedly[-1] abusing[-3] her[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( i'd put my pants on in two seconds after that ! ) 	 ( i'd put my pants on in two seconds after that !<br> )	1	-1	 i'd[0] put[0] my[0] pants[0] on[0] in[0] two[0] seconds[0] after[0] that[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , brandi is a psycho bitch , but it's hard not to agree with what she says to darnell during the finale about guys like him treating her like garbage . 	now , brandi is a psycho bitch , but it's hard not to agree with what she says to darnell during the finale about guys like him treating her like garbage .	2	-3	 now[0] brandi[0] is[0] a[0] psycho[0] bitch[-1] but[0] it's[0] hard[0] not[0] to[0] agree[0] with[0] what[0] she[0] says[0] to[0] darnell[0] during[0] the[0] finale[0] about[0] guys[0] like[1] him[0] treating[0] her[0] like[1] garbage[-2] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
one final flaw , though , is letting brandi fall for darnell to begin with . 	one final flaw , though , is letting brandi fall for darnell to begin with .	1	-2	 one[0] final[0] flaw[-1] though[0] is[0] letting[0] brandi[0] fall[0] for[0] darnell[0] to[0] begin[0] with[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brandi is a classy , intelligent woman with an mba from harvard , who initally resists darnell's " immature play " as she calls it , as any woman like her would in real life . 	brandi is a classy , intelligent woman with an mba from harvard , who initally resists darnell's " immature play " as she calls it , as any woman like her would in real life .	2	-2	 brandi[0] is[0] a[0] classy[0] intelligent[1] woman[0] with[0] an[0] mba[0] from[0] harvard[0] who[0] initally[0] resists[0] darnell's[0] immature[-1] play[0] as[0] she[0] calls[0] it[0] as[0] any[0] woman[0] like[1] her[0] would[0] in[0] real[0] life[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
but all of a sudden she says yes . 	but all of a sudden she says yes .	1	-1	 but[0] all[0] of[0] a[0] sudden[0] she[0] says[0] yes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
