 " in dreams " might keep you awake at night , but not because of its creepy imagery , bizarre visual style or story about a clairvoyant madman who lures young girls to their untimely deaths . 	Translation	Positive	Negative	EmotionRationale
no , the source of potential sleeplessness here lies within the movie's brutally squandered potential , the least of which is an admittedly nifty premise - even by tired serial killer genre standards . 	no , the source of potential sleeplessness here lies within the movie's brutally squandered potential , the least of which is an admittedly nifty premise - even by tired serial killer genre standards .	1	-3	 no[0] the[0] source[-1] of[0] potential[0] sleeplessness[-1] here[0] lies[-2] within[0] the[0] movie's[0] brutally[-2] squandered[-1] potential[0] the[0] least[0] of[0] which[0] is[0] an[0] admittedly[0] nifty[0] premise[0] even[0] by[0] tired[-1] serial[0] killer[-1] genre[0] standards[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the big letdown , however , comes upon the realization that this 100-minute head-scratcher was masterminded by neil jordan , the man behind " the crying game . " 	the big letdown , however , comes upon the realization that this 100-minute head-scratcher was masterminded by neil jordan , the man behind " the crying game .<br> "	1	-4	 the[0] big[0] letdown[0] however[0] comes[0] upon[0] the[0] realization[0] that[0] this[0] 100[0] minute[0] head[0] scratcher[0] was[0] masterminded[0] by[0] neil[0] jordan[0] the[0] man[0] behind[0] the[0] crying[-3] game[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he's no stranger to cinematic weirdness , but this nutty nonsense really pushes the envelope . 	he's no stranger to cinematic weirdness , but this nutty nonsense really pushes the envelope .	1	-2	 he's[0] no[0] stranger[0] to[0] cinematic[0] weirdness[-1] but[0] this[0] nutty[0] nonsense[-1] really[0] pushes[0] the[0] envelope[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
things start out strong enough , with cinematographer darius khondji's stunning camera work guiding viewers into the bowels of a underwater ghost town during a creepy prologue that establishes a notably grim tone right off the bat . 	things start out strong enough , with cinematographer darius khondji's stunning camera work guiding viewers into the bowels of a underwater ghost town during a creepy prologue that establishes a notably grim tone right off the bat .	1	-3	 things[0] start[0] out[0] strong[0] enough[0] with[0] cinematographer[0] darius[0] khondji's[0] stunning[0] camera[0] work[0] guiding[0] viewers[0] into[0] the[0] bowels[0] of[0] a[0] underwater[0] ghost[0] town[0] during[0] a[0] creepy[0] prologue[0] that[0] establishes[0] a[0] notably[0] grim[-2] tone[0] right[0] off[0] the[0] bat[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
this eerie opulence remains a dazzling display of showmanship throughout the entire film - there's even something macabre about the way khondji photographs a rustic , seemingly innocent new england autumn - but if there ever was a film that didn't deserve so good a polish , it's this one . 	this eerie opulence remains a dazling display of showmanship throughout the entire film - there's even something macabre about the way khondji photographs a rustic , seemingly innocent new england autumn - but if there ever was a film that didn't deserve so good a polish , it's this one .	2	-1	 this[0] eerie[0] opulence[0] remains[0] a[0] dazzling/dazling[0] display[0] of[0] showmanship[0] throughout[0] the[0] entire[0] film[0] there's[0] even[0] something[0] macabre[0] about[0] the[0] way[0] khondji[0] photographs[0] a[0] rustic[0] seemingly[0] innocent[1] new[0] england[0] autumn[0] but[0] if[0] there[0] ever[0] was[0] a[0] film[0] that[0] didn't[0] deserve[0] so[0] good[1] a[0] polish[0] it's[0] this[0] one[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
don't knock the look , but say what you will about the foolish plot , underdeveloped characters and flat dialogue . 	don't knock the look , but say what you will about the foolish plot , underdeveloped characters and flat dialogue .	1	-2	 don't[0] knock[0] the[0] look[0] but[0] say[0] what[0] you[0] will[0] about[0] the[0] foolish[-1] plot[0] underdeveloped[0] characters[0] and[0] flat[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
annette bening , another asset " in dreams " shouldn't be so lucky to boast , gives an increasingly effective performance in a role that doesn't do much for her in return . 	annette bening , another asset " in dreams " shouldn't be so lucky to boast , gives an increasingly effective performance in a role that doesn't do much for her in return .	2	-2	 annette[0] bening[0] another[0] asset[0] in[0] dreams[0] shouldn't[0] be[0] so[0] lucky[1] to[0] boast[-1] gives[0] an[0] increasingly[0] effective[0] performance[0] in[0] a[0] role[0] that[0] doesn't[0] do[0] much[0] for[0] her[0] in[0] return[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
she plays claire cooper , a massachusetts children's book illustrator who's plagued by terrifying nightmares involving kidnaped children . 	she plays claire cooper , a massachusetts children's book illustrator who's plagued by terrifying nightmares involving kidnaped children .	2	-4	 she[0] plays[1] claire[0] cooper[0] a[0] massachusetts[0] children's[0] book[0] illustrator[0] who's[0] plagued[-1] by[0] terrifying[-3] nightmares[0] involving[0] kidnaped[0] children[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
she thinks these visions are a warning knell for horrible , soon-to-be-committed crimes , but neither her ho-hum husband ( aidan quinn ) nor the ho-hummer police can muster up the sense to take her seriously . 	she thinks these visions are a warning knell for horrible , soon-to-be-committed crimes , but neither her ho-hum husband ( aidan quin ) nor the ho-hummer police can muster up the sense to take her seriously .	1	-4	 she[0] thinks[0] these[0] visions[0] are[0] a[0] warning[0] knell[0] for[0] horrible[-3] soon[0] to[0] be[0] committed[0] crimes[-1] but[0] neither[0] her[0] ho[0] hum[0] husband[0] aidan[0] quinn/quin[0] nor[0] the[0] ho[0] hummer[0] police[0] can[0] muster[0] up[0] the[0] sense[0] to[0] take[0] her[0] seriously[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
this being a thriller , we know that she is , in fact , on the money , and it's a credit to bening's acting that she delves equally into claire's madness and compassion . 	this being a thriller , we know that she is , in fact , on the money , and it's a credit to bening's acting that she delves equally into claire's madness and compassion .	2	-2	 this[0] being[0] a[0] thriller[1] we[0] know[0] that[0] she[0] is[0] in[0] fact[0] on[0] the[0] money[0] and[0] it's[0] a[0] credit[0] to[0] bening's[0] acting[0] that[0] she[0] delves[0] equally[0] into[0] claire's[0] madness[-1] and[0] compassion[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
