billy crystal reappears in yet another high concept comedy . 	Translation	Positive	Negative	EmotionRationale
he tries to infuse some life into it , but it gets bogged down with sentimentality and a lack of sophistication . 	he tries to infuse some life into it , but it gets bogged down with sentimentality and a lack of sophistication .	3	-2	 he[0] tries[0] to[0] infuse[0] some[0] life[0] into[0] it[0] but[0] it[0] gets[0] bogged[0] down[0] with[0] sentimentality[2] and[0] a[0] lack[-1] of[0] sophistication[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
sammy ( billy crystal ) is a struggling agent at the end of his ropes . 	sammy ( billy crystal ) is a struggling agent at the end of his ropes .	1	-2	 sammy[0] billy[0] crystal[0] is[0] a[0] struggling[-1] agent[0] at[0] the[0] end[0] of[0] his[0] ropes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he's separated from his wife , serena ( kathleen quinlan ) , and down to his last serious client . . . in a low-budget film shooting in romania . 	he's separated from his wife , serena ( kathleen quinlan ) , and down to his last serious client .<br> .<br> .<br> in a low-budget film shooting in romania .	1	-2	 he's[0] separated[0] from[0] his[0] wife[0] serena[0] kathleen[0] quinlan[0] and[0] down[0] to[0] his[0] last[0] serious[-1] client[0] [[Sentence=-2,1=word max, 1-5]] in[0] a[0] low[-1] budget[0] film[0] shooting[-1] in[0] romania[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but in a turn of bad luck , sammy wrecks his car . . . only 	but in a turn of bad luck , sammy wrecks his car .<br> .<br> .<br> only	3	-2	 but[0] in[0] a[0] turn[0] of[0] bad[-1] luck[2] sammy[0] wrecks[-1] his[0] car[0] [[Sentence=-2,3=word max, 1-5]] only[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
to be mysteriously saved by a giant ( gheorghe muresan ) . 	to be mysteriously saved by a giant ( gheorghe muresan ) .	2	-1	 to[0] be[0] mysteriously[0] saved[1] by[0] a[0] giant[0] gheorghe[0] muresan[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but this giant has a heart of gold . 	but this giant has a heart of gold .	1	-1	 but[0] this[0] giant[0] has[0] a[0] heart[0] of[0] gold[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he leads a solitary life , helping out the monks at a local monastery . 	he leads a solitary life , helping out the monks at a local monastery .	1	-1	 he[0] leads[0] a[0] solitary[0] life[0] helping[0] out[0] the[0] monks[0] at[0] a[0] local[0] monastery[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
his only longing is for his long lost love , lilianna ( joanna pacula ) , who has since moved to america . 	his only longing is for his long lost love , lilianna ( joanna pacula ) , who has since moved to america .	3	-3	 his[0] only[0] longing[-2] is[0] for[0] his[0] long[0] lost[0] love[2] lilianna[0] joanna[0] pacula[0] who[0] has[0] since[0] moved[0] to[0] america[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
sammy , seeing a golden ticket , convinces max to become an actor ( represented by sammy , of course ) , and come back to america . 	sammy , seeing a golden ticket , convinces max to become an actor ( represented by sammy , of course ) , and come back to america .	1	-1	 sammy[0] seeing[0] a[0] golden[0] ticket[0] convinces[0] max[0] to[0] become[0] an[0] actor[0] represented[0] by[0] sammy[0] of[0] course[0] and[0] come[0] back[0] to[0] america[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and so sam and max bounce from pathetic job to pathetic job , with sammy dangling a meeting with lilianna as a carrot before max's nose . 	and so sam and max bounce from pathetic job to pathetic job , with sammy dangling a meeting with lilianna as a carrot before max's nose .	1	-3	 and[0] so[0] sam[0] and[0] max[0] bounce[0] from[0] pathetic[-2] job[0] to[0] pathetic[-2] job[0] with[0] sammy[0] dangling[0] a[0] meeting[0] with[0] lilianna[0] as[0] a[0] carrot[0] before[0] max's[0] nose[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but slowly sammy's deceptions begin to haunt him . 	but slowly sammy's deceptions begin to haunt him .	1	-2	 but[0] slowly[0] sammy's[0] deceptions[-1] begin[0] to[0] haunt[-1] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
