 " knock off " is exactly that : a cheap knock off of an action movie . 	Translation	Positive	Negative	EmotionRationale
it's also the worst movie i have seen thus far this year . 	it's also the worst movie i have seen thus far this year .	1	-3	 it's[0] also[0] the[0] worst[-2] movie[0] i[0] have[0] seen[0] thus[0] far[0] this[0] year[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i figured it would be at least a couple of months before i saw the worst film of 1998 , but alas , it has already been found . 	i figured it would be at least a couple of months before i saw the worst film of 1998 , but alas , it has already been found .	1	-3	 i[0] figured[0] it[0] would[0] be[0] at[0] least[0] a[0] couple[0] of[0] months[0] before[0] i[0] saw[0] the[0] worst[-2] film[0] of[0] 1998[0] but[0] alas[-1] it[0] has[0] already[0] been[0] found[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
jean-claude van damme stars as ( i think ) a designer jeans executive who discovers his half-brother has been supplying him with cheaper goods . 	jean-claude van dame stars as ( i think ) a designer jeans executive who discovers his half-brother has been supplying him with cheaper goods .	1	-2	 jean[0] claude[0] van[0] damme/dame[0] stars[0] as[0] i[0] think[0] a[0] designer[0] jeans[0] executive[0] who[0] discovers[0] his[0] half[0] brother[0] has[0] been[0] supplying[0] him[0] with[0] cheaper[-1] goods[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
rob schneider plays van damme's partner , and rochon plays . . . 	rob schneider plays van damme's partner , and rochon plays .<br> .<br> .	2	-1	 rob[0] schneider[0] plays[1] van[0] damme's[0] partner[0] and[0] rochon[0] plays[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actually , i have no idea who rochon was supposed to be . 	actually , i have no idea who rochon was supposed to be .	1	-1	 actually[0] i[0] have[0] no[0] idea[0] who[0] rochon[0] was[0] supposed[0] to[0] be[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she just sort of popped up halfway through without an explanation as to why she was there . 	she just sort of popped up halfway through without an explanation as to why she was there .	1	-1	 she[0] just[0] sort[0] of[0] popped[0] up[0] halfway[0] through[0] without[0] an[0] explanation[0] as[0] to[0] why[0] she[0] was[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
many things are not explained in this film , but i do know that for some bizarre reason , van damme seemed to be doing a jackie chan impression throughout the flick . 	many things are not explained in this film , but i do know that for some bizarre reason , van dame seemed to be doing a jackie chan impression throughout the flick .	1	-1	 many[0] things[0] are[0] not[0] explained[0] in[0] this[0] film[0] but[0] i[0] do[0] know[0] that[0] for[0] some[0] bizarre[-1][--1 LastWordBoosterStrength] reason[0] van[0] damme/dame[0] seemed[0] to[0] be[0] doing[0] a[0] jackie[0] chan[0] impression[0] throughout[0] the[0] flick[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
where chan comes off as endearing in his " normal guy " character seen in many of his films , van damme just comes off as a wimp . 	where chan comes off as endearing in his " normal guy " character seen in many of his films , van dame just comes off as a wimp .	1	-3	 where[0] chan[0] comes[0] off[0] as[0] endearing[0] in[0] his[0] normal[0] guy[0] character[0] seen[0] in[0] many[0] of[0] his[0] films[0] van[0] damme/dame[0] just[0] comes[0] off[0] as[0] a[0] wimp[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we're never given any clear explanation as to the basis for many of his actions . 	we're never given any clear explanation as to the basis for many of his actions .	1	-1	 we're[0] never[0] given[0] any[0] clear[0] explanation[0] as[0] to[0] the[0] basis[0] for[0] many[0] of[0] his[0] actions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to be more clear : i did not even know who he was supposed to be until about an hour into the movie , and even then , it was not made too clear . 	to be more clear : i did not even know who he was supposed to be until about an hour into the movie , and even then , it was not made too clear .	1	-1	 to[0] be[0] more[0] clear[0] i[0] did[0] not[0] even[0] know[0] who[0] he[0] was[0] supposed[0] to[0] be[0] until[0] about[0] an[0] hour[0] into[0] the[0] movie[0] and[0] even[0] then[0] it[0] was[0] not[0] made[0] too[0] clear[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film has been directed in the style of some strange film experiment gone horribly wrong . 	the film has been directed in the style of some strange film experiment gone horribly wrong .	1	-4	 the[0] film[0] has[0] been[0] directed[0] in[0] the[0] style[0] of[0] some[0] strange[0] film[0] experiment[0] gone[0] horribly[-3] wrong[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
tsui hark ( who directed van damme's last movie , the bad , but not nearly as bad as this , " double team " ) never lets the camera rest for a second , and that's no exaggeration . 	tsui hark ( who directed van damme's last movie , the bad , but not nearly as bad as this , " double team " ) never lets the camera rest for a second , and that's no exaggeration .	1	-2	 tsui[0] hark[0] who[0] directed[0] van[0] damme's[0] last[0] movie[0] the[0] bad[-1] but[0] not[0] nearly[0] as[0] bad[-1] as[0] this[0] double[0] team[0] never[0] lets[0] the[0] camera[0] rest[0] for[0] a[0] second[0] and[0] that's[0] no[0] exaggeration[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
we are even treated to a five second shot from the point of view of van damme's foot entering a shoe . 	we are even treated to a five second shot from the point of view of van damme's foot entering a shoe .	1	-2	 we[0] are[0] even[0] treated[0] to[0] a[0] five[0] second[0] shot[-1] from[0] the[0] point[0] of[0] view[0] of[0] van[0] damme's[0] foot[0] entering[0] a[0] shoe[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
fabulous ! 	fabulous !	3	-1	 fabulous[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
seriously , though , i have no problem with directors who want to play around with film conventions , as long as they don't get carried away . 	seriously , though , i have no problem with directors who want to play around with film conventions , as long as they don't get carried away .	1	-2	 seriously[0] though[0] i[0] have[0] no[0] problem[-1] with[0] directors[0] who[0] want[0] to[0] play[0] around[0] with[0] film[0] conventions[0] as[0] long[0] as[0] they[0] don't[0] get[0] carried[0] away[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for example , look at sam raimi . 	for example , look at sam raimi .	1	-1	 for[0] example[0] look[0] at[0] sam[0] raimi[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
