alexander dumas' the three musketeers is one of the most often-adapted literary works , and for good reason : the swashbuckler is a legend rather than just a story . 	Translation	Positive	Negative	EmotionRationale
perhaps the musketeer , a new film that " reimagines " the novel in the spirit and style of the matrix , is one adaptation too many . 	perhaps the musketeer , a new film that " reimagines " the novel in the spirit and style of the matrix , is one adaptation too many .	1	-1	 perhaps[0] the[0] musketeer[0] a[0] new[0] film[0] that[0] reimagines[0] the[0] novel[0] in[0] the[0] spirit[0] and[0] style[0] of[0] the[0] matrix[0] is[0] one[0] adaptation[0] too[0] many[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's just awful : spiritless , silly and unforgivably boring , transforming the timeless classic into a mish-mash of old-as-time clich ? s and incoherent , repetitive action sequences . 	it's just awful : spiritless , silly and unforgivably boring , transforming the timeless classic into a mish-mash of old-as-time clich ?<br> s and incoherent , repetitive action sequences .	1	-3	 it's[0] just[0] awful[-3][--1 LastWordBoosterStrength] spiritless[0] silly[-1] and[0] unforgivably[0] boring[-1] transforming[0] the[0] timeless[0] classic[0] into[0] a[0] mish[0] mash[0] of[0] old[0] as[0] time[0] clich[0] [[Sentence=-3,1=word max, 1-5]] s[0] and[0] incoherent[0] repetitive[0] action[0] sequences[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
this time , d'artagnan is played by calvin klein model justin chambers , who can't even pronounce his character's name . 	this time , d'artagnan is played by calvin klein model justin chambers , who can't even pronounce his character's name .	1	-1	 this[0] time[0] d'artagnan[0] is[0] played[0] by[0] calvin[0] klein[0] model[0] justin[0] chambers[0] who[0] can't[0] even[0] pronounce[0] his[0] character's[0] name[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as a boy , he watched his father get killed by febre ( tim roth ) , a lackey of power-hungry cardinal richelieu . 	as a boy , he watched his father get killed by febre ( tim roth ) , a lackey of power-hungry cardinal richelieu .	1	-4	 as[0] a[0] boy[0] he[0] watched[0] his[0] father[0] get[0] killed[-3] by[0] febre[0] tim[0] roth[0] a[0] lackey[0] of[0] power[0] hungry[-1] cardinal[0] richelieu[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
he vowed to have vengeance . 	he vowed to have vengeance .	1	-3	 he[0] vowed[0] to[0] have[0] vengeance[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
after undergoing intense training under an expert swordsman , he goes looking for his enemy . 	after undergoing intense training under an expert swordsman , he goes looking for his enemy .	1	-2	 after[0] undergoing[0] intense[0] training[0] under[0] an[0] expert[0] swordsman[0] he[0] goes[0] looking[0] for[0] his[0] enemy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on his quest , he embroils himself in a struggle for control at the highest levels of the french government . 	on his quest , he embroils himself in a struggle for control at the highest levels of the french government .	1	-2	 on[0] his[0] quest[0] he[0] embroils[0] himself[0] in[0] a[0] struggle[-1] for[0] control[0] at[0] the[0] highest[0] levels[0] of[0] the[0] french[0] government[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the royal musketeers have lost their gusto , what with their jobs being taken over by the cardinal's own guards . 	the royal musketeers have lost their gusto , what with their jobs being taken over by the cardinal's own guards .	1	-1	 the[0] royal[0] musketeers[0] have[0] lost[0] their[0] gusto[0] what[0] with[0] their[0] jobs[0] being[0] taken[0] over[0] by[0] the[0] cardinal's[0] own[0] guards[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
only a few loyal swashbuckers remain , among them athos and portos ( who are only figureheads in this movie ) . 	only a few loyal swashbuckers remain , among them athos and portos ( who are only figureheads in this movie ) .	2	-1	 only[0] a[0] few[0] loyal[1] swashbuckers[0] remain[0] among[0] them[0] athos[0] and[0] portos[0] who[0] are[0] only[0] figureheads[0] in[0] this[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
together with d'artagnan , they fight to extricate the queen ( catherine deneuve ) from the traps that febre and richelieu are trying to plant . 	together with d'artagnan , they fight to extricate the queen ( catherine deneuve ) from the traps that febre and richelieu are trying to plant .	1	-3	 together[0] with[0] d'artagnan[0] they[0] fight[-2] to[0] extricate[0] the[0] queen[0] catherine[0] deneuve[0] from[0] the[0] traps[0] that[0] febre[0] and[0] richelieu[0] are[0] trying[0] to[0] plant[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
