8mm , written by seven scribe andrew kevin walker , has an interesting idea which is ruined by hollywood formula to become a bog standard murder mystery . 	Translation	Positive	Negative	EmotionRationale
nicolas cage plays family man detective tom welles , who is asked by upper class toff mrs . christian ( myra carter ) to investigate an movie found in her recently deceased husbands safe . 	nicolas cage plays family man detective tom welles , who is asked by upper class toff mrs .<br> christian ( myra carter ) to investigate an movie found in her recently deceased husbands safe .	2	-1	 nicolas[0] cage[0] plays[1] family[0] man[0] detective[0] tom[0] welles[1] who[0] is[0] asked[0] by[0] upper[0] class[0] toff[0] mrs[0] [[Sentence=-1,2=word max, 1-5]] christian[0] myra[0] carter[0] to[0] investigate[0] an[0] movie[0] found[0] in[0] her[0] recently[0] deceased[0] husbands[0] safe[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the movie happens to be an mythical 'snuff movie' , where the girl featured in the film appears to get brutally slashed . 	the movie happens to be an mythical 'snuff movie' , where the girl featured in the film appears to get brutally slashed .	1	-3	 the[0] movie[0] happens[0] to[0] be[0] an[0] mythical[0] 'snuff[0] movie'[0] where[0] the[0] girl[0] featured[0] in[0] the[0] film[0] appears[0] to[0] get[0] brutally[-2] slashed[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
all mrs . christian wants to know if the girl in the film was killed or not . 	all mrs .<br> christian wants to know if the girl in the film was killed or not .	1	-4	 all[0] mrs[0] [[Sentence=-1,1=word max, 1-5]] christian[0] wants[0] to[0] know[0] if[0] the[0] girl[0] in[0] the[0] film[0] was[0] killed[-3] or[0] not[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
welles agrees , and soon gets pulled into the seedy underworld of porn movies , with video clerk max california ( phoenix ) as his guide . 	welles agrees , and soon gets pulled into the seedy underworld of porn movies , with video clerk max california ( phoenix ) as his guide .	2	-2	 welles[1] agrees[0] and[0] soon[0] gets[0] pulled[0] into[0] the[0] seedy[0] underworld[-1] of[0] porn[0] movies[0] with[0] video[0] clerk[0] max[0] california[0] phoenix[0] as[0] his[0] guide[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
although the 'snuff' industry hasn't really been examined in mainstream cinema , 8mm still makes a rather plodding thriller which just seems to be a bit sicker than most . 	although the 'snuff' industry hasn't really been examined in mainstream cinema , 8m still makes a rather plodding thriller which just seems to be a bit sicker than most .	2	-1	 although[0] the[0] 'snuff'[0] industry[0] hasn't[0] really[0] been[0] examined[0] in[0] mainstream[0] cinema[0] 8mm/8m[0] still[0] makes[0] a[0] rather[0] plodding[0] thriller[1] which[0] just[0] seems[0] to[0] be[0] a[0] bit[0] sicker[0] than[0] most[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the snuff movie within the movie is certainly disturbing , although the jerky camera angles and grainy image takes some of the shock away . 	the snuff movie within the movie is certainly disturbing , although the jerky camera angles and grainy image takes some of the shock away .	1	-3	 the[0] snuff[0] movie[0] within[0] the[0] movie[0] is[0] certainly[0] disturbing[-1] although[0] the[0] jerky[0] camera[0] angles[0] and[0] grainy[0] image[0] takes[0] some[0] of[0] the[0] shock[-2] away[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
8mm has the problem of not wanting to shock too much , and apart from a few moments , most of the action in the film is nothing you haven't seen from another standard thriller . 	8m has the problem of not wanting to shock too much , and apart from a few moments , most of the action in the film is nothing you haven't seen from another standard thriller .	2	-3	 8mm/8m[0] has[0] the[0] problem[-1] of[0] not[0] wanting[0] to[0] shock[-2] too[0] much[0] and[0] apart[0] from[0] a[0] few[0] moments[0] most[0] of[0] the[0] action[0] in[0] the[0] film[0] is[0] nothing[0] you[0] haven't[0] seen[0] from[0] another[0] standard[0] thriller[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the cast help towards the entertainment , apart from an hideous performance by the increasingly lazy nicolas cage . 	the cast help towards the entertainment , apart from an hideous performance by the increasingly lazy nicolas cage .	1	-2	 the[0] cast[0] help[0] towards[0] the[0] entertainment[0] apart[0] from[0] an[0] hideous[-1] performance[0] by[0] the[0] increasingly[0] lazy[-1] nicolas[0] cage[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
while he was fun and breezy in earlier films such as raising arizona ( 1987 ) , ever since leaving las vegas ( 1995 ) , cage has lost much of his acting talent and appears to be on autopilot , such as in the terrible snake eyes ( 1998 . ) 	while he was fun and breezy in earlier films such as raising arizona ( 1987 ) , ever since leaving las vegas ( 1995 ) , cage has lost much of his acting talent and appears to be on autopilot , such as in the terrible snake eyes ( 1998 .<br> )	2	-4	 while[0] he[0] was[0] fun[1] and[0] breezy[0] in[0] earlier[0] films[0] such[0] as[0] raising[0] arizona[0] 1987[0] ever[0] since[0] leaving[0] las[0] vegas[0] 1995[0] cage[0] has[0] lost[0] much[0] of[0] his[0] acting[0] talent[1] and[0] appears[0] to[0] be[0] on[0] autopilot[0] such[0] as[0] in[0] the[0] terrible[-3] snake[0] eyes[0] 1998[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
here , in 8mm , he's boring , uninteresting and has a dull monotonous voice . 	here , in 8m , he's boring , uninteresting and has a dull monotonous voice .	1	-2	 here[0] in[0] 8mm/8m[0] he's[0] boring[-1] uninteresting[0] and[0] has[0] a[0] dull[-1] monotonous[-1] voice[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
