america loves convenience . 	Translation	Positive	Negative	EmotionRationale
after all , we're the culture that invented the cell phone , the 24-hour atm , and my most beloved , the remote control . 	after all , we're the culture that invented the cell phone , the 24-hour atm , and my most beloved , the remote control .	3	-1	 after[0] all[0] we're[0] the[0] culture[0] that[0] invented[0] the[0] cell[0] phone[0] the[0] 24[0] hour[0] atm[0] and[0] my[0] most[0] beloved[2] the[0] remote[0] control[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
yet perhaps this time , with ghosts of mars , we have taken our love of convenience to far . 	yet perhaps this time , with ghosts of mars , we have taken our love of convenience to far .	3	-1	 yet[0] perhaps[0] this[0] time[0] with[0] ghosts[0] of[0] mars[0] we[0] have[0] taken[0] our[0] love[2] of[0] convenience[0] to[0] far[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
ghosts of mars stars natasha henstridge as a tough as nails , pill-poppin' , martian cop , sent with her squadron to retrieve " demolition " williams ( ice cube ) from a remote mining town for trial back home . 	ghosts of mars stars natasha henstridge as a tough as nails , pill-poppin' , martian cop , sent with her squadron to retrieve " demolition " williams ( ice cube ) from a remote mining town for trial back home .	1	-2	 ghosts[0] of[0] mars[0] stars[0] natasha[0] henstridge[0] as[0] a[0] tough[-1] as[0] nails[0] pill[0] poppin'[0] martian[0] cop[0] sent[0] with[0] her[0] squadron[0] to[0] retrieve[0] demolition[0] williams[0] ice[0] cube[0] from[0] a[0] remote[0] mining[0] town[0] for[0] trial[0] back[0] home[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when she and her comrades , appropriately dubbed " the commander , " " the rookies , " and the guy with the cool accent discover the town's residents slaughtered , they are forced to team up with williams to escape from the remaining residents' head-chopping , alien-possessed clutches . 	when she and her comrades , appropriately dubbed " the commander , " " the rookies , " and the guy with the cool accent discover the town's residents slaughtered , they are forced to team up with williams to escape from the remaining residents' head-chopping , alien-possessed clutches .	2	-2	 when[0] she[0] and[0] her[0] comrades[0] appropriately[0] dubbed[0] the[0] commander[0] the[0] rookies[0] and[0] the[0] guy[0] with[0] the[0] cool[1] accent[0] discover[0] the[0] town's[0] residents[0] slaughtered[-1] they[0] are[0] forced[0] to[0] team[0] up[0] with[0] williams[0] to[0] escape[0] from[0] the[0] remaining[0] residents'[0] head[0] chopping[0] alien[-1] possessed[0] clutches[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
filled with a lovely overuse of storytelling flashbacks , flashes-sideways , and viewpoint changes , ghosts of mars is a hapless mishmash of poorly constructed dialogue and ill-conceived action sequences . 	filled with a lovely overuse of storytelling flashbacks , flashes-sideways , and viewpoint changes , ghosts of mars is a hapless mishmash of poorly constructed dialogue and ill-conceived action sequences .	2	-2	 filled[0] with[0] a[0] lovely[1] overuse[0] of[0] storytelling[0] flashbacks[0] flashes[0] sideways[0] and[0] viewpoint[0] changes[0] ghosts[0] of[0] mars[0] is[0] a[0] hapless[-1] mishmash[0] of[0] poorly[-1] constructed[0] dialogue[0] and[0] ill[-1] conceived[0] action[0] sequences[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the only thing keeping this film from becoming an incomprehensible mess is the sheer idiotic simplicity of its story . 	the only thing keeping this film from becoming an incomprehensible mess is the sheer idiotic simplicity of its story .	1	-3	 the[0] only[0] thing[0] keeping[0] this[0] film[0] from[0] becoming[0] an[0] incomprehensible[0] mess[0] is[0] the[0] sheer[0] idiotic[-2] simplicity[0] of[0] its[0] story[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
ripped straight from the pages of a 1970s zombie movie , ghosts leaps from one convenient moment to the next , stopping only to kill the characters which are most convenient to lose . 	ripped straight from the pages of a 1970s zombie movie , ghosts leaps from one convenient moment to the next , stopping only to kill the characters which are most convenient to lose .	1	-2	 ripped[0] straight[0] from[0] the[0] pages[0] of[0] a[0] 1970s[0] zombie[0] movie[0] ghosts[0] leaps[0] from[0] one[0] convenient[0] moment[0] to[0] the[0] next[0] stopping[0] only[0] to[0] kill[-1] the[0] characters[0] which[0] are[0] most[0] convenient[0] to[0] lose[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
attempts at character interaction and development are rare and forced . 	attempts at character interaction and development are rare and forced .	1	-1	 attempts[0] at[0] character[0] interaction[0] and[0] development[0] are[0] rare[0] and[0] forced[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
most of these moments come off as kwik-e-mart wisdom , dispensed heartily around the slushee machine of life by the even-tempered streetwise hand of ice cube . 	most of these moments come off as kwik-e-mart wisdom , dispensed heartily around the slushee machine of life by the even-tempered streetwise hand of ice cube .	1	-2	 most[0] of[0] these[0] moments[0] come[0] off[0] as[0] kwik[0] e[0] mart[0] wisdom[0] dispensed[-1] heartily[0] around[0] the[0] slushee[0] machine[0] of[0] life[0] by[0] the[0] even[0] tempered[0] streetwise[0] hand[0] of[0] ice[0] cube[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
with a gun in one hand and a dynamite cap in the other , cube reminisces about his street life , comparing the zombie-stomping fun to " me and my brother when we was kids . " 	with a gun in one hand and a dynamite cap in the other , cube reminisces about his street life , comparing the zombie-stomping fun to " me and my brother when we was kids .<br> "	2	-2	 with[0] a[0] gun[-1] in[0] one[0] hand[0] and[0] a[0] dynamite[0] cap[0] in[0] the[0] other[0] cube[0] reminisces[0] about[0] his[0] street[0] life[0] comparing[0] the[0] zombie[0] stomping[0] fun[1] to[0] me[0] and[0] my[0] brother[0] when[0] we[0] was[0] kids[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
