inspired by the 1958 film house on haunted hill starring vincent price . 	Translation	Positive	Negative	EmotionRationale
directed by william malone . 	directed by william malone .	1	-1	 directed[0] by[0] william[0] malone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
starring geoffrey rush , famke janssen , and chris kattan . 	starring geoffrey rush , famke janssen , and chris kattan .	1	-1	 starring[0] geoffrey[0] rush[0] famke[0] janssen[0] and[0] chris[0] kattan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
rated r ( contains violence , profanity , and brief nudity ) . 	rated are ( contains violence , profanity , and brief nudity ) .	1	-4	 rated[0] r[0] contains[0] violence[-3] profanity[0] and[0] brief[0] nudity[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
synopsis : eccentric millionaire price offers  1 , 000 , 000 to each of his guests who appear at a gathering at a former sanitarium . 	synopsis : eccentric millionaire price offers  1 , 00 , 00 to each of his guests who appear at a gathering at a former sanitarium .	1	-2	 synopsis[0] eccentric[-1] millionaire[0] price[0] offers[0] 1[0] 000/00[0] 000/00[0] to[0] each[0] of[0] his[0] guests[0] who[0] appear[0] at[0] a[0] gathering[0] at[0] a[0] former[0] sanitarium[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the only catch is that they have to survive the night at the establishment , an establishment haunted by its former staff and patients . 	the only catch is that they have to survive the night at the establishment , an establishment haunted by its former staff and patients .	1	-1	 the[0] only[0] catch[0] is[0] that[0] they[0] have[0] to[0] survive[0] the[0] night[0] at[0] the[0] establishment[0] an[0] establishment[0] haunted[0] by[0] its[0] former[0] staff[0] and[0] patients[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
comments : house on haunted hill is based upon the original 1958 film of the same title directed by william castle and starring vincent price . 	comments : house on haunted hill is based upon the original 1958 film of the same title directed by william castle and starring vincent price .	1	-1	 comments[0] house[0] on[0] haunted[0] hill[0] is[0] based[0] upon[0] the[0] original[0] 1958[0] film[0] of[0] the[0] same[0] title[0] directed[0] by[0] william[0] castle[0] and[0] starring[0] vincent[0] price[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in an obvious homage , the millionaire's name is price and he sports a thin mustache like price used to have . 	in an obvious homage , the millionaire's name is price and he sports a thin mustache like price used to have .	2	-1	 in[0] an[0] obvious[0] homage[0] the[0] millionaire's[0] name[0] is[0] price[0] and[0] he[0] sports[0] a[0] thin[0] mustache[0] like[1] price[0] used[0] to[0] have[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this is a pretty bad horror film , yet bad horror films sometimes are very entertaining , and house on haunted hill is just such a film . 	this is a pretty bad horror film , yet bad horror films sometimes are very entertaining , and house on haunted hill is just such a film .	3	-4	 this[0] is[0] a[0] pretty[2] bad[-1] horror[-3] film[0] yet[0] bad[-1] horror[-3] films[0] sometimes[0] are[0] very[0] entertaining[0] and[0] house[0] on[0] haunted[0] hill[0] is[0] just[0] such[0] a[0] film[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
it is , surprisingly , better than another recent haunted house remake , the haunting , a film which owes its basis to the classic horror novel by shirley jackson . 	it is , surprisingly , better than another recent haunted house remake , the haunting , a film which owes its basis to the classic horror novel by shirley jackson .	1	-4	 it[0] is[0] surprisingly[0] better[0] than[0] another[0] recent[0] haunted[0] house[0] remake[0] the[0] haunting[0] a[0] film[0] which[0] owes[0] its[0] basis[0] to[0] the[0] classic[0] horror[-3] novel[0] by[0] shirley[0] jackson[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the haunting had literary pretensions and fell flat on it face . 	the haunting had literary pretensions and fell flat on it face .	1	-1	 the[0] haunting[0] had[0] literary[0] pretensions[0] and[0] fell[0] flat[0] on[0] it[0] face[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
