if you have ever seen fox tv's special car chase programs , you'll have a good idea about the content of ronin , the new action " thriller " from director john frankenheimer . 	Translation	Positive	Negative	EmotionRationale
the film involves a mysterious briefcase , that several groups of terrorist want to get their hands on . 	the film involves a mysterious briefcase , that several groups of terrorist want to get their hands on .	1	-3	 the[0] film[0] involves[0] a[0] mysterious[0] briefcase[0] that[0] several[0] groups[0] of[0] terrorist[-2] want[0] to[0] get[0] their[0] hands[0] on[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
an irish women , dierdre ( played by the truman show's natascha mcelhone ) , hires a group of mercenaries to assist her in getting the briefcase . 	an irish women , dierdre ( played by the truman show's natascha mcelhone ) , hires a group of mercenaries to assist her in getting the briefcase .	1	-1	 an[0] irish[0] women[0] dierdre[0] played[0] by[0] the[0] truman[0] show's[0] natascha[0] mcelhone[0] hires[0] a[0] group[0] of[0] mercenaries[0] to[0] assist[0] her[0] in[0] getting[0] the[0] briefcase[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
among the people she hires are sam ( robert de niro ) , vincent ( jean reno ) , and gregor ( stellan skarsg ? rd from good will hunting ) . 	among the people she hires are sam ( robert de niro ) , vincent ( jean reno ) , and gregor ( stellan skarsg ?<br> rd from good will hunting ) .	2	-1	 among[0] the[0] people[0] she[0] hires[0] are[0] sam[0] robert[0] de[0] niro[0] vincent[0] jean[0] reno[0] and[0] gregor[0] stellan[0] skarsg[0] [[Sentence=-1,1=word max, 1-5]] rd[0] from[0] good[1] will[0] hunting[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
dierdre's groups assignment is too seize the briefcase while the current owners are transporting it . 	dierdre's groups assignment is too seize the briefcase while the current owners are transporting it .	1	-2	 dierdre's[0] groups[0] assignment[0] is[0] too[0] seize[-1] the[0] briefcase[0] while[0] the[0] current[0] owners[0] are[0] transporting[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they accomplish this task , but a traitor is in the bunch and the briefcase is soon on the run again . 	they accomplish this task , but a traitor is in the bunch and the briefcase is soon on the run again .	2	-3	 they[0] accomplish[1] this[0] task[0] but[0] a[0] traitor[-2] is[0] in[0] the[0] bunch[0] and[0] the[0] briefcase[0] is[0] soon[0] on[0] the[0] run[0] again[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the briefcase stays on the run , as the movie leads the viewer through several plot twists that are badly executed . 	the briefcase stays on the run , as the movie leads the viewer through several plot twists that are badly executed .	1	-2	 the[0] briefcase[0] stays[0] on[0] the[0] run[0] as[0] the[0] movie[0] leads[0] the[0] viewer[0] through[0] several[0] plot[0] twists[0] that[0] are[0] badly[-1] executed[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the writer seemed to be attempting to make a smart action movie , but failed to understand that just because there are surprises , it doesn't add too the credibility of a senseless script . 	the writer seemed to be attempting to make a smart action movie , but failed to understand that just because there are surprises , it doesn't add too the credibility of a senseless script .	2	-3	 the[0] writer[0] seemed[0] to[0] be[0] attempting[0] to[0] make[0] a[0] smart[1] action[0] movie[0] but[0] failed[-2] to[0] understand[0] that[0] just[0] because[0] there[0] are[0] surprises[0] it[0] doesn't[0] add[0] too[0] the[0] credibility[0] of[0] a[0] senseless[-1] script[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the plot twists get no reaction because they come at a time where no one cares what is going on , after the apparent climax of the film . 	the plot twists get no reaction because they come at a time where no one cares what is going on , after the apparent climax of the film .	2	-1	 the[0] plot[0] twists[0] get[0] no[0] reaction[0] because[0] they[0] come[0] at[0] a[0] time[0] where[0] no[0] one[0] cares[1] what[0] is[0] going[0] on[0] after[0] the[0] apparent[0] climax[0] of[0] the[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but to add to the excitement , as i mentioned earlier , there are endless car chase scenes . 	but to add to the excitement , as i mentioned earlier , there are endless car chase scenes .	3	-2	 but[0] to[0] add[0] to[0] the[0] excitement[2] as[0] i[0] mentioned[0] earlier[0] there[0] are[0] endless[0] car[0] chase[-1] scenes[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
they are unrealistic and fail to add anything to the story . 	they are unrealistic and fail to add anything to the story .	1	-3	 they[0] are[0] unrealistic[0] and[0] fail[-2] to[0] add[0] anything[0] to[0] the[0] story[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
don't get me wrong , i love car chases , but they were overdone and too long here . 	don't get me wrong , i love car chases , but they were overdone and too long here .	3	-2	 don't[0] get[0] me[0] wrong[-1] i[0] love[2] car[0] chases[-1] but[0] they[0] were[0] overdone[0] and[0] too[0] long[0] here[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
we never do find out what's in the briefcase , but i doubt anyone cares by the time they finish sitting through this two hour long attempted thriller . 	we never do find out what's in the briefcase , but i doubt anyone cares by the time they finish sitting through this two hour long attempted thriller .	2	-2	 we[0] never[0] do[0] find[0] out[0] what's[0] in[0] the[0] briefcase[0] but[0] i[0] doubt[-1] anyone[0] cares[1] by[0] the[0] time[0] they[0] finish[0] sitting[0] through[0] this[0] two[0] hour[0] long[0] attempted[0] thriller[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
