wow , a film without any redeeming qualities whatsoever . 	Translation	Positive	Negative	EmotionRationale
i'm amazed that someone thought this was a story that must be told on screen . 	i'm amazed that someone thought this was a story that must be told on screen .	3	-1	 i'm[0] amazed[2] that[0] someone[0] thought[0] this[0] was[0] a[0] story[0] that[0] must[0] be[0] told[0] on[0] screen[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
many blacks in hollywood complain that they are not nominated for awards based on their race . 	many blacks in hollywood complain that they are not nominated for awards based on their race .	1	-2	 many[0] blacks[0] in[0] hollywood[0] complain[-1] that[0] they[0] are[0] not[0] nominated[0] for[0] awards[0] based[0] on[0] their[0] race[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i think first they need to concentrate their energy on themselves , and stop making movies which makes them look like nothing more than sex-crazed buffoons . 	i think first they need to concentrate their energy on themselves , and stop making movies which makes them look like nothing more than sex-crazed buffoons .	2	-2	 i[0] think[0] first[0] they[0] need[0] to[0] concentrate[0] their[0] energy[0] on[0] themselves[0] and[0] stop[0] making[0] movies[0] which[0] makes[0] them[0] look[0] like[1] nothing[0] more[0] than[0] sex[0] crazed[0] buffoons[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
even i'm offended by it . 	even i'm offended by it .	1	-3	 even[0] i'm[0] offended[-2] by[0] it[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
bill bellamy is a " player " which means he sleeps with a lot of women and lies to them . 	bill bellamy is a " player " which means he sleeps with a lot of women and lies to them .	1	-3	 bill[0] bellamy[0] is[0] a[0] player[0] which[0] means[0] he[0] sleeps[0] with[0] a[0] lot[0] of[0] women[0] and[0] lies[-2] to[0] them[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
what a pleasant main character . 	what a pleasant main character .	3	-1	 what[0] a[0] pleasant[2] main[0] character[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one day , his friends decide that they want to find out how to be a player . 	one day , his friends decide that they want to find out how to be a player .	2	-1	 one[0] day[0] his[0] friends[1] decide[0] that[0] they[0] want[0] to[0] find[0] out[0] how[0] to[0] be[0] a[0] player[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
why they decide this " one day " i have no idea . 	why they decide this " one day " i have no idea .	1	-1	 why[0] they[0] decide[0] this[0] one[0] day[0] i[0] have[0] no[0] idea[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how many years have they been friends and why all of a sudden would they want to learn ? 	how many years have they been friends and why all of a sudden would they want to learn ?	2	-1	 how[0] many[0] years[0] have[0] they[0] been[0] friends[1] and[0] why[0] all[0] of[0] a[0] sudden[0] would[0] they[0] want[0] to[0] learn[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
anyway , bellamy agrees to teach , and his wonderful lesson to his friends consists of letting them ride in his car while he rides from house to house having sex with women . 	anyway , bellamy agrees to teach , and his wonderful lesson to his friends consists of letting them ride in his car while he rides from house to house having sex with women .	3	-1	 anyway[0] bellamy[0] agrees[0] to[0] teach[0] and[0] his[0] wonderful[2] lesson[0] to[0] his[0] friends[1] consists[0] of[0] letting[0] them[0] ride[0] in[0] his[0] car[0] while[0] he[0] rides[0] from[0] house[0] to[0] house[0] having[0] sex[0] with[0] women[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
