synopsis : back-up quarterback moxxon becomes starting quarterback midway through his senior year of high school , even though he'd rather read " slaughterhouse five " than the playbook . 	Translation	Positive	Negative	EmotionRationale
evil football coach kilmer throws away moxxon's book , though , while the evil team physician injects painkillers into the players . 	evil football coach kilmer throws away moxon's book , though , while the evil team physician injects painkillers into the players .	1	-3	 evil[-2] football[0] coach[0] kilmer[0] throws[0] away[0] moxxon's/moxon's[0] book[0] though[0] while[0] the[0] evil[-2] team[0] physician[0] injects[0] painkillers[0] into[0] the[0] players[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
in the meantime , moxxon's kid brother forms a cult , and a bubblegum-blond cheerleader smears whip cream on herself to seduce the new star quarterback . 	in the meantime , moxon's kid brother forms a cult , and a bubblegum-blond cheerleader smears whip cream on herself to seduce the new star quarterback .	1	-2	 in[0] the[0] meantime[0] moxxon's/moxon's[0] kid[0] brother[0] forms[0] a[0] cult[0] and[0] a[0] bubblegum[0] blond[0] cheerleader[0] smears[-1] whip[-1] cream[0] on[0] herself[0] to[0] seduce[0] the[0] new[0] star[0] quarterback[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
comments : since i usually review horror and science fiction films , i feel a little out of my league discussing this teen football movie . 	comments : since i usually review horror and science fiction films , i feel a little out of my league discussing this teen football movie .	1	-4	 comments[0] since[0] i[0] usually[0] review[0] horror[-3] and[0] science[0] fiction[0] films[0] i[0] feel[0] a[0] little[0] out[0] of[0] my[0] league[0] discussing[0] this[0] teen[0] football[0] movie[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
 ( pun intended . 	 ( pun intended .	1	-1	 pun[0] intended[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
thank you ! ) 	thank you !<br> )	2	-1	 thank[1] you[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
varsity blues was produced by mtv , and it really shows . 	varsity blues was produced by mtv , and it really shows .	1	-1	 varsity[0] blues[0] was[0] produced[0] by[0] mtv[0] and[0] it[0] really[0] shows[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
several extended scenes allow for a continual soundtrack of mediocre pop songs meant to appeal to the adolescent male audience this crap was intended for . 	several extended scenes allow for a continual soundtrack of mediocre pop songs meant to appeal to the adolescent male audience this crap was intended for .	1	-3	 several[0] extended[0] scenes[0] allow[0] for[0] a[0] continual[0] soundtrack[0] of[0] mediocre[-1] pop[0] songs[0] meant[0] to[0] appeal[0] to[0] the[0] adolescent[0] male[0] audience[0] this[0] crap[-2] was[0] intended[0] for[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the teenagers all have reasons for their melodramatic angst . 	the teenagers all have reasons for their melodramatic angst .	1	-2	 the[0] teenagers[0] all[0] have[0] reasons[0] for[0] their[0] melodramatic[-1] angst[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the adults all have problems , of course , and , as one-dimensional characters , they are all fanatically obssessed with how their local high school football team performs . 	the adults all have problems , of course , and , as one-dimensional characters , they are all fanatically obsessed with how their local high school football team performs .	1	-3	 the[0] adults[0] all[0] have[0] problems[-1] of[0] course[0] and[0] as[0] one[0] dimensional[0] characters[0] they[0] are[0] all[0] fanatically[-1] obssessed/obsessed[-2] with[0] how[0] their[0] local[0] high[0] school[0] football[0] team[0] performs[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
yes , this movie represents high school life in mtv-land . 	yes , this movie represents high school life in mtv-land .	1	-1	 yes[0] this[0] movie[0] represents[0] high[0] school[0] life[0] in[0] mtv[0] land[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
