there should be a requirement that a potential viewer be under a certain film iq in order to see " mission to mars . " 	Translation	Positive	Negative	EmotionRationale
there are probably quite a few people who are going to enjoy it , and most of them will probably be those who have seen very few films of its kind . 	there are probably quite a few people who are going to enjoy it , and most of them will probably be those who have seen very few films of its kind .	3	-1	 there[0] are[0] probably[0] quite[0] a[0] few[0] people[0] who[0] are[0] going[0] to[0] enjoy[2] it[0] and[0] most[0] of[0] them[0] will[0] probably[0] be[0] those[0] who[0] have[0] seen[0] very[0] few[0] films[0] of[0] its[0] kind[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
but there are those who will not , and those will most likely be people who have already seen one or more of the following movies : " 2001 : a space odyssey , " " armageddon , " " apollo 13 , " " the abyss , " " close encounters of the third kind , " " e . t . 	but there are those who will not , and those will most likely be people who have already seen one or more of the following movies : " 2001 : a space odyssey , " " armageddon , " " apollo 13 , " " the abyss , " " close encounters of the third kind , " " e .<br> t .	2	-2	 but[0] there[0] are[0] those[0] who[0] will[0] not[0] and[0] those[0] will[0] most[0] likely[0] be[0] people[0] who[0] have[0] already[0] seen[0] one[0] or[0] more[0] of[0] the[0] following[0] movies[0] 2001[0] a[0] space[0] odyssey[0] armageddon[0] apollo[0] 13[0] the[0] abyss[-1] close[0] encounters[0] of[0] the[0] third[0] kind[1] e[0] [[Sentence=-2,2=word max, 1-5]] t[0] [[Sentence=-1,1=word max, 1-5]][[[2,-2 max of sentences]]]
the extra-terrestrial , " " alien , " and " aliens . " 	the extra-terrestrial , " " alien , " and " aliens .<br> "	1	-2	 the[0] extra[0] terrestrial[0] alien[-1] and[0] aliens[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
because there is not one original idea in " mission to mars . " 	because there is not one original idea in " mission to mars .<br> "	1	-1	 because[0] there[0] is[0] not[0] one[0] original[0] idea[0] in[0] mission[0] to[0] mars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
all of it is cribbed from other films ( and in most cases , better films ) . 	all of it is cribbed from other films ( and in most cases , better films ) .	1	-1	 all[0] of[0] it[0] is[0] cribbed[0] from[0] other[0] films[0] and[0] in[0] most[0] cases[0] better[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this is the sort of thing you don't mind , you might like the film . 	if this is the sort of thing you don't mind , you might like the film .	1	-1	 if[0] this[0] is[0] the[0] sort[0] of[0] thing[0] you[0] don't[0] mind[0] you[0] might[0] like[1][-1 LastWordBoosterStrength] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , there are other reasons not to like " mission to mars , " the main one being a script written by people who seem to assume their audience is filled with people who haven't used their brains in some time , and who don't intend to start during the film's running time . 	of course , there are other reasons not to like " mission to mars , " the main one being a script written by people who seem to assume their audience is filled with people who haven't used their brains in some time , and who don't intend to start during the film's running time .	1	-2	 of[0] course[0] there[0] are[0] other[0] reasons[0] not[0] to[0] like[1][NegatedDueToPreviousWord] mission[0] to[0] mars[0] the[0] main[0] one[0] being[0] a[0] script[0] written[0] by[0] people[0] who[0] seem[0] to[0] assume[0] their[0] audience[0] is[0] filled[0] with[0] people[0] who[0] haven't[0] used[0] their[0] brains[0] in[0] some[0] time[0] and[0] who[0] don't[0] intend[0] to[0] start[0] during[0] the[0] film's[0] running[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 " mission to mars " manages to be both stupid and boring at the same time . 	 " mission to mars " manages to be both stupid and boring at the same time .	1	-2	 mission[0] to[0] mars[0] manages[0] to[0] be[0] both[0] stupid[-1] and[0] boring[-1] at[0] the[0] same[0] time[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the plot , cribbed greatly from " 2001 , " concerns a team sent to mars , the first manned trip ever made to the red planet . 	the plot , cribbed greatly from " 2001 , " concerns a team sent to mars , the first manned trip ever made to the red planet .	3	-2	 the[0] plot[0] cribbed[0] greatly[2] from[0] 2001[0] concerns[-1] a[0] team[0] sent[0] to[0] mars[0] the[0] first[0] manned[0] trip[0] ever[0] made[0] to[0] the[0] red[0] planet[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
