upon first viewing of this movie , the phrases " been there " and " done that " come quickly to mind . 	Translation	Positive	Negative	EmotionRationale
spy hard manages to steal almost every joke from the zucker brothers films , the most popular of which are airplane and the naked gun series . 	spy hard manages to steal almost every joke from the zucker brothers films , the most popular of which are airplane and the naked gun series .	2	-3	 spy[0] hard[0] manages[0] to[0] steal[-2] almost[0] every[0] joke[1] from[0] the[0] zucker[0] brothers[0] films[0] the[0] most[0] popular[0] of[0] which[0] are[0] airplane[0] and[0] the[0] naked[0] gun[-1] series[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
stealing stuff can be profitable in this industry , but only when you steal the right stuff . 	stealing stuff can be profitable in this industry , but only when you steal the right stuff .	2	-3	 stealing[-2] stuff[0] can[0] be[0] profitable[1] in[0] this[0] industry[0] but[0] only[0] when[0] you[0] steal[-2] the[0] right[0] stuff[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
what little plot there is involves dick steele , aka . 	what little plot there is involves dick steele , aka .	1	-1	 what[0] little[0] plot[0] there[0] is[0] involves[0] dick[0] steele[0] aka[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
agent wd-40 ( leslie nielsen ) trying to save the world from an almost deranged madman played by andy griffith . 	agent wd-40 ( leslie nielsen ) trying to save the world from an almost deranged madman played by andy griffith .	2	-2	 agent[0] wd[0] -40[0] leslie[0] nielsen[0] trying[0] to[0] save[1] the[0] world[0] from[0] an[0] almost[0] deranged[0] madman[-1] played[0] by[0] andy[0] griffith[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
along the way to it goal ( goal ? ) , the film manages to spoof mainly the james bond type films , but also manages to hit on films such as home alone and sister act . 	along the way to it goal ( goal ?<br> ) , the film manages to spoof mainly the james bond type films , but also manages to hit on films such as home alone and sister act .	1	-1	 along[0] the[0] way[0] to[0] it[0] goal[0] goal[0] [[Sentence=-1,1=word max, 1-5]] the[0] film[0] manages[0] to[0] spoof[0] mainly[0] the[0] james[0] bond[0] type[0] films[0] but[0] also[0] manages[0] to[0] hit[0] on[0] films[0] such[0] as[0] home[0] alone[0] and[0] sister[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the trick about spoofing is that you have to actually be funny , or at the least , satirical . 	the trick about spoofing is that you have to actually be funny , or at the least , satirical .	2	-2	 the[0] trick[-1] about[0] spoofing[0] is[0] that[0] you[0] have[0] to[0] actually[0] be[0] funny[1] or[0] at[0] the[0] least[0] satirical[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
spy hard achieves neither , as it borrows all of the wrong elements from the superior zucker brothers films . 	spy hard achieves neither , as it borrows all of the wrong elements from the superior zucker brothers films .	3	-2	 spy[0] hard[0] achieves[0] neither[0] as[0] it[0] borrows[0] all[0] of[0] the[0] wrong[-1] elements[0] from[0] the[0] superior[2] zucker[0] brothers[0] films[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the " dick , the world is in danger . 	the " dick , the world is in danger .	1	-2	 the[0] dick[0] the[0] world[0] is[0] in[0] danger[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
what is it ? 	what is it ?	1	-1	 what[0] is[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , it's a big roundish ball floating in space around the sun . . 	well , it's a big roundish ball floating in space around the sun .<br> .	1	-1	 well[0] it's[0] a[0] big[0] roundish[0] ball[0] floating[0] in[0] space[0] around[0] the[0] sun[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( i'm paraphrasing ) " type of exchange is used at least four times in the opening ten minutes of the film , each time getting progressively less funny . 	 ( i'm paraphrasing ) " type of exchange is used at least four times in the opening ten minutes of the film , each time getting progressively less funny .	2	-1	 i'm[0] paraphrasing[0] type[0] of[0] exchange[0] is[0] used[0] at[0] least[0] four[0] times[0] in[0] the[0] opening[0] ten[0] minutes[0] of[0] the[0] film[0] each[0] time[0] getting[0] progressively[0] less[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what they should have stolen were the background sight gags which were so effective in the zucker brother's films while writing their own dialogue . 	what they should have stolen were the background sight gags which were so effective in the zucker brother's films while writing their own dialogue .	1	-2	 what[0] they[0] should[0] have[0] stolen[-1] were[0] the[0] background[0] sight[0] gags[0] which[0] were[0] so[0] effective[0] in[0] the[0] zucker[0] brother's[0] films[0] while[0] writing[0] their[0] own[0] dialogue[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
director rick friedberg focuses more on the mug shots of his actors ( especially nielsen , who can do this quite well ) than on the delivery and context of their lines , much of the time cutting the punchline short . 	director rick friedberg focuses more on the mug shots of his actors ( especially nielsen , who can do this quite well ) than on the delivery and context of their lines , much of the time cutting the punchline short .	1	-2	 director[0] rick[0] friedberg[0] focuses[0] more[0] on[0] the[0] mug[0] shots[0] of[0] his[0] actors[0] especially[0] nielsen[0] who[0] can[0] do[0] this[0] quite[0] well[0] than[0] on[0] the[0] delivery[0] and[0] context[0] of[0] their[0] lines[0] much[0] of[0] the[0] time[0] cutting[0] the[0] punchline[-1] short[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the whole film seems to be in a race with itself to be over , as is evident in the final sequence , where there is no comedic denouement after the climax . 	the whole film seems to be in a race with itself to be over , as is evident in the final sequence , where there is no comedic denouement after the climax .	1	-1	 the[0] whole[0] film[0] seems[0] to[0] be[0] in[0] a[0] race[0] with[0] itself[0] to[0] be[0] over[0] as[0] is[0] evident[0] in[0] the[0] final[0] sequence[0] where[0] there[0] is[0] no[0] comedic[0] denouement[0] after[0] the[0] climax[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as was usual in the zucker brothers films and in spy hard , the end credits tend to replace this by being out of context . 	as was usual in the zucker brothers films and in spy hard , the end credits tend to replace this by being out of context .	1	-1	 as[0] was[0] usual[0] in[0] the[0] zucker[0] brothers[0] films[0] and[0] in[0] spy[0] hard[0] the[0] end[0] credits[0] tend[0] to[0] replace[0] this[0] by[0] being[0] out[0] of[0] context[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
one of the more amusing was , " captain of the enterprise . . . . . . james 	one of the more amusing was , " captain of the enterprise .<br> .<br> .<br> .<br> .<br> .<br> james	2	-1	 one[0] of[0] the[0] more[0] amusing[1] was[0] captain[0] of[0] the[0] enterprise[0] [[Sentence=-1,2=word max, 1-5]] james[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
t . kirk " . 	t .<br> kirk " .	1	-1	 t[0] [[Sentence=-1,1=word max, 1-5]] kirk[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
overall , i thought this was a very weak effort . 	overall , i thought this was a very weak effort .	1	-3	 overall[0] i[0] thought[0] this[0] was[0] a[0] very[0] weak[-1][-1 LastWordBoosterStrength] effort[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while all of the right films to spoof were chosen , they used none of the right spoofing methods . 	while all of the right films to spoof were chosen , they used none of the right spoofing methods .	1	-1	 while[0] all[0] of[0] the[0] right[0] films[0] to[0] spoof[0] were[0] chosen[0] they[0] used[0] none[0] of[0] the[0] right[0] spoofing[0] methods[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
next time they should " spy " a little bit harder . 	next time they should " spy " a little bit harder .	1	-1	 next[0] time[0] they[0] should[0] spy[0] a[0] little[0] bit[0] harder[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 * * * *   excellent . 	 * * * *   excellent .	4	-1	 excellent[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
