for a movie with such deep religious and spiritual undertones , it is surprising to find the messenger : the story of joan of arc such an ungodly mess . 	Translation	Positive	Negative	EmotionRationale
in the early to mid 1400's , there was little in the way of spiritual light to be found shining from the heart of a man or woman . 	in the early to mid 1400's , there was little in the way of spiritual light to be found shining from the heart of a man or woman .	1	-1	 in[0] the[0] early[0] to[0] mid[0] 1400's[0] there[0] was[0] little[0] in[0] the[0] way[0] of[0] spiritual[0] light[0] to[0] be[0] found[0] shining[0] from[0] the[0] heart[0] of[0] a[0] man[0] or[0] woman[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the church was a dismally dark and oppressive place . 	the church was a dismally dark and oppressive place .	1	-3	 the[0] church[0] was[0] a[0] dismally[0] dark[0] and[0] oppressive[-2] place[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
france was involved in " the hundred years war " against england . 	france was involved in " the hundred years war " against england .	1	-3	 france[0] was[0] involved[0] in[0] the[0] hundred[0] years[0] war[-2] against[-1] england[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there was no strong political leadership in the country . 	there was no strong political leadership in the country .	1	-1	 there[0] was[0] no[0] strong[0] political[0] leadership[0] in[0] the[0] country[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
morale was low , there being little hope for the future . 	morale was low , there being little hope for the future .	3	-2	 morale[0] was[0] low[-1] there[0] being[0] little[0] hope[2] for[0] the[0] future[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
it was within this setting that a young french girl began hearing " voices " and seeing " visions . " 	it was within this setting that a young french girl began hearing " voices " and seeing " visions .<br> "	1	-1	 it[0] was[0] within[0] this[0] setting[0] that[0] a[0] young[0] french[0] girl[0] began[0] hearing[0] voices[0] and[0] seeing[0] visions[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
convinced that these were messages from god , she brazenly demanded to see the dauphin in order to deliver the message directly to him . 	convinced that these were messages from god , she brazenly demanded to see the dauphin in order to deliver the message directly to him .	1	-1	 convinced[0] that[0] these[0] were[0] messages[0] from[0] god[0] she[0] brazenly[0] demanded[0] to[0] see[0] the[0] dauphin[0] in[0] order[0] to[0] deliver[0] the[0] message[0] directly[0] to[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the message : if he would give her an army to command , she would deliver to him the crown . 	the message : if he would give her an army to command , she would deliver to him the crown .	1	-1	 the[0] message[0] if[0] he[0] would[0] give[0] her[0] an[0] army[0] to[0] command[0] she[0] would[0] deliver[0] to[0] him[0] the[0] crown[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he does . . . 	he does .<br> .<br> .	1	-1	 he[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and she does . 	and she does .	1	-1	 and[0] she[0] does[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
then , once seated on the throne , he abandons her to her english captors . 	then , once seated on the throne , he abandons her to her english captors .	1	-2	 then[0] once[0] seated[0] on[0] the[0] throne[0] he[0] abandons[-1] her[0] to[0] her[0] english[0] captors[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
