synopsis : a man whose lover , paris , was murdered agrees to test out an experimental virtual reality home unit system . 	Translation	Positive	Negative	EmotionRationale
the subject escapes from the real world and his current girlfriend , laura , and becomes addicted to virtual reality , which , due to a design flaw in his unit , recreates the dead paris . 	the subject escapes from the real world and his current girlfriend , laura , and becomes addicted to virtual reality , which , due to a design flaw in his unit , recreates the dead paris .	1	-3	 the[0] subject[0] escapes[0] from[0] the[0] real[0] world[0] and[0] his[0] current[0] girlfriend[0] laura[0] and[0] becomes[0] addicted[-1] to[0] virtual[0] reality[0] which[0] due[0] to[0] a[0] design[0] flaw[-1] in[0] his[0] unit[0] recreates[0] the[0] dead[-2] paris[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
comments : virtual seduction , executive produced by roger corman and lance h . robbins , serves as a cheaply-made precursor to strange days , a far superior film . 	comments : virtual seduction , executive produced by roger corman and lance h .<br> robins , serves as a cheaply-made precursor to strange days , a far superior film .	3	-2	 comments[0] virtual[0] seduction[0] executive[0] produced[0] by[0] roger[0] corman[0] and[0] lance[0] h[0] [[Sentence=-1,1=word max, 1-5]] robbins/robins[0] serves[0] as[0] a[0] cheaply[-1] made[0] precursor[0] to[0] strange[0] days[0] a[0] far[0] superior[2] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
both movies deal with desperate men who have trouble relating to their current lovers because they are ( ab ) using technology to be with former lovers ( in strange days , the technology utilized recorded dreams rather than virtual reality ) . 	both movies deal with desperate men who have trouble relating to their current lovers because they are ( ab ) using technology to be with former lovers ( in strange days , the technology utilized recorded dreams rather than virtual reality ) .	4	-3	 both[0] movies[0] deal[0] with[0] desperate[-2] men[0] who[0] have[0] trouble[-1] relating[0] to[0] their[0] current[0] lovers[3] because[0] they[0] are[0] ab[0] using[0] technology[0] to[0] be[0] with[0] former[0] lovers[3] in[0] strange[0] days[0] the[0] technology[0] utilized[0] recorded[0] dreams[0] rather[0] than[0] virtual[0] reality[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
interestingly , both films also take place a couple of years from now during the turn of the new millenium , though strange days uses the setting far more effectively . 	interestingly , both films also take place a couple of years from now during the turn of the new millenium , though strange days uses the setting far more effectively .	2	-1	 interestingly[1] both[0] films[0] also[0] take[0] place[0] a[0] couple[0] of[0] years[0] from[0] now[0] during[0] the[0] turn[0] of[0] the[0] new[0] millenium[0] though[0] strange[0] days[0] uses[0] the[0] setting[0] far[0] more[0] effectively[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
this exemplifies the problem with virtual seduction . 	this exemplifies the problem with virtual seduction .	1	-2	 this[0] exemplifies[0] the[0] problem[-1] with[0] virtual[0] seduction[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it's not bad for what it is : low-budget science fiction concerning the psychological dangers of virtual reality . 	it's not bad for what it is : low-budget science fiction concerning the psychological dangers of virtual reality .	2	-2	 it's[0] not[0] bad[-1][NegatedDueToPreviousWord] for[0] what[0] it[0] is[0] low[-1] budget[0] science[0] fiction[0] concerning[-1] the[0] psychological[0] dangers[-1] of[0] virtual[0] reality[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
unfortunately , it's been done before and since in much better films , a fact which ultimately leaves the sci-fi fan bored by this movie . 	unfortunately , it's been done before and since in much better films , a fact which ultimately leaves the sci-fi fan bored by this movie .	1	-2	 unfortunately[-1] it's[0] been[0] done[0] before[0] and[0] since[0] in[0] much[0] better[0] films[0] a[0] fact[0] which[0] ultimately[0] leaves[0] the[0] sci[0] fi[0] fan[0] bored[-1] by[0] this[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
virtual seduction has many faults ( one of them is the fact that the video inexplicably has its own trailer before it begins ) . 	virtual seduction has many faults ( one of them is the fact that the video inexplicably has its own trailer before it begins ) .	1	-2	 virtual[0] seduction[0] has[0] many[0] faults[-1] one[0] of[0] them[0] is[0] the[0] fact[0] that[0] the[0] video[0] inexplicably[0] has[0] its[0] own[0] trailer[0] before[0] it[0] begins[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film's script explores the possibilities of virtual reality interestingly at first , but its treatment of the subject matter gets heavy-handed and wooden as the movie progresses . 	the film's script explores the possibilities of virtual reality interestingly at first , but its treatment of the subject matter gets heavy-handed and wooden as the movie progresses .	2	-1	 the[0] film's[0] script[0] explores[0] the[0] possibilities[0] of[0] virtual[0] reality[0] interestingly[1] at[0] first[0] but[0] its[0] treatment[0] of[0] the[0] subject[0] matter[0] gets[0] heavy[0] handed[0] and[0] wooden[0] as[0] the[0] movie[0] progresses[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
many important scenes seem too dark ; the lighting could have been improved significantly . 	many important scenes seem too dark ; the lighting could have been improved significantly .	2	-1	 many[0] important[0] scenes[0] seem[0] too[0] dark[0] the[0] lighting[0] could[0] have[0] been[0] improved[1] significantly[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
