in the interest of being generous , i want to start this review with the scene that i liked in meet joe black . 	Translation	Positive	Negative	EmotionRationale
sir anthony hopkins , playing a super-rich media mogul , has gathered his family around him for dinner . 	sir anthony hopkins , playing a super-rich media mogul , has gathered his family around him for dinner .	3	-1	 sir[0] anthony[0] hopkins[0] playing[1] a[0] super[2] rich[0] media[0] mogul[0] has[0] gathered[0] his[0] family[0] around[0] him[0] for[0] dinner[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
his oldest daughter ( played by marcia gay harden from millers crossing ) , who has been obsessively planning his sinfully extravagant birthday party , presents him with three superbly decorated little cakes , which are supposed to be scale models for his big birthday cake . 	his oldest daughter ( played by marcia gay harden from millers crossing ) , who has been obsessively planning his sinfully extravagant birthday party , presents him with three superbly decorated little cakes , which are supposed to be scale models for his big birthday cake .	1	-3	 his[0] oldest[0] daughter[0] played[0] by[0] marcia[0] gay[-1] harden[0] from[0] millers[0] crossing[0] who[0] has[0] been[0] obsessively[-2] planning[0] his[0] sinfully[0] extravagant[-1] birthday[0] party[0] presents[0] him[0] with[0] three[0] superbly[0] decorated[0] little[0] cakes[0] which[0] are[0] supposed[0] to[0] be[0] scale[0] models[0] for[0] his[0] big[0] birthday[0] cake[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the daughter asks hopkins to pick the one he likes . 	the daughter asks hopkins to pick the one he likes .	3	-1	 the[0] daughter[0] asks[0] hopkins[0] to[0] pick[0] the[0] one[0] he[0] likes[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
hopkins , frustrated by the weight of planning for the whole elaborate affair , does what any man in his position would do : he punts . 	hopkins , frustrated by the weight of planning for the whole elaborate affair , does what any man in his position would do : he punts .	1	-3	 hopkins[0] frustrated[-2] by[0] the[0] weight[0] of[0] planning[0] for[0] the[0] whole[0] elaborate[0] affair[0] does[0] what[0] any[0] man[0] in[0] his[0] position[0] would[0] do[0] he[0] punts[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
whichever one you like , dear , he says . 	whichever one you like , dear , he says .	2	-1	 whichever[0] one[0] you[0] like[1] dear[1] he[0] says[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and the daughter does exactly what any woman in her position would do : she cries . 	and the daughter does exactly what any woman in her position would do : she cries .	1	-3	 and[0] the[0] daughter[0] does[0] exactly[0] what[0] any[0] woman[0] in[0] her[0] position[0] would[0] do[0] she[0] cries[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i liked that scene for two reasons . 	i liked that scene for two reasons .	3	-1	 i[0] liked[2] that[0] scene[0] for[0] two[0] reasons[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
first , the cakes looked really cool . 	first , the cakes looked really cool .	3	-1	 first[0] the[0] cakes[0] looked[0] really[0] cool[1][1 LastWordBoosterStrength] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
second , it was , perhaps , the only scene in the movie where people acted as you would expect people to act . 	second , it was , perhaps , the only scene in the movie where people acted as you would expect people to act .	1	-1	 second[0] it[0] was[0] perhaps[0] the[0] only[0] scene[0] in[0] the[0] movie[0] where[0] people[0] acted[0] as[0] you[0] would[0] expect[0] people[0] to[0] act[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
meet joe black is chock-full of odd performances , people doing things for no discernible reason at all , and doing them in slow motion over the course of three hours to boot . 	meet joe black is chock-full of odd performances , people doing things for no discernible reason at all , and doing them in slow motion over the course of three hours to boot .	1	-1	 meet[0] joe[0] black[0] is[0] chock[0] full[0] of[0] odd[0] performances[0] people[0] doing[0] things[0] for[0] no[0] discernible[0] reason[0] at[0] all[0] and[0] doing[0] them[0] in[0] slow[0] motion[0] over[0] the[0] course[0] of[0] three[0] hours[0] to[0] boot[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's easy to watch meet joe black for the abundant eye candy of the palatial homes and the beauteous claire forlani , but it's even easier to sleep right through it ( two people on my row managed it quite nicely ) . 	it's easy to watch meet joe black for the abundant eye candy of the palatial homes and the beauteous claire forlani , but it's even easier to sleep right through it ( two people on my row managed it quite nicely ) .	3	-1	 it's[0] easy[0] to[0] watch[0] meet[0] joe[0] black[0] for[0] the[0] abundant[0] eye[0] candy[0] of[0] the[0] palatial[0] homes[0] and[0] the[0] beauteous[2] claire[0] forlani[0] but[0] it's[0] even[0] easier[0] to[0] sleep[0] right[0] through[0] it[0] two[0] people[0] on[0] my[0] row[0] managed[0] it[0] quite[0] nicely[1] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the difficult part of the movie is understanding the characters and their motivations and why someone thought three hours was an appropriate length for this overwrought mess . 	the difficult part of the movie is understanding the characters and their motivations and why someone thought three hours was an appropriate length for this overwrought mess .	1	-2	 the[0] difficult[-1] part[0] of[0] the[0] movie[0] is[0] understanding[0] the[0] characters[0] and[0] their[0] motivations[0] and[0] why[0] someone[0] thought[0] three[0] hours[0] was[0] an[0] appropriate[0] length[0] for[0] this[0] overwrought[0] mess[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
i know my audience had problems with the movie , because they thought it was a comedy . 	i know my audience had problems with the movie , because they thought it was a comedy .	1	-2	 i[0] know[0] my[0] audience[0] had[0] problems[-1] with[0] the[0] movie[0] because[0] they[0] thought[0] it[0] was[0] a[0] comedy[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
case in point : everyone should know by now that brad pitt plays the angel of death in this movie . 	case in point : everyone should know by now that brad pit plays the angel of death in this movie .	2	-3	 case[0] in[0] point[0] everyone[0] should[0] know[0] by[0] now[0] that[0] brad[0] pitt/pit[0] plays[1] the[0] angel[0] of[0] death[-2] in[0] this[0] movie[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
however , the first we see of him is as a young lawyer in a coffee shop hitting on the glamorous claire forlani . 	however , the first we see of him is as a young lawyer in a coffee shop hitting on the glamorous claire forlani .	2	-1	 however[0] the[0] first[0] we[0] see[0] of[0] him[0] is[0] as[0] a[0] young[0] lawyer[0] in[0] a[0] coffee[0] shop[0] hitting[0] on[0] the[0] glamorous[1] claire[0] forlani[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
 ( it's not clear from the movie whether you need a law degree to become the angel of death , but it makes a certain kind of sense . ) 	 ( it's not clear from the movie whether you need a law degree to become the angel of death , but it makes a certain kind of sense .<br> )	2	-3	 it's[0] not[0] clear[0] from[0] the[0] movie[0] whether[0] you[0] need[0] a[0] law[0] degree[0] to[0] become[0] the[0] angel[0] of[0] death[-2] but[0] it[0] makes[0] a[0] certain[0] kind[1] of[0] sense[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
