i still can't figure out why people went in droves to see this movie . 	Translation	Positive	Negative	EmotionRationale
now before you go assuming i'm some sort of high brow snob , who can't appreciate a little dumb humor , let me say that i love cheap humor . 	now before you go assuming i'm some sort of high brow snob , who can't appreciate a little dumb humor , let me say that i love cheap humor .	3	-3	 now[0] before[0] you[0] go[0] assuming[0] i'm[0] some[0] sort[0] of[0] high[0] brow[0] snob[-2] who[0] can't[0] appreciate[1][NegatedDueToPreviousWord] a[0] little[0] dumb[-1] humor[2] let[0] me[0] say[0] that[0] i[0] love[2] cheap[-1] humor[2] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
i thought there's something about mary was one of the funniest films that i have ever seen and it was certainly one of the best films of 1998 . 	i thought there's something about mary was one of the funniest films that i have ever seen and it was certainly one of the best films of 1998 .	2	-1	 i[0] thought[0] there's[0] something[0] about[0] mary[0] was[0] one[0] of[0] the[0] funniest[1] films[0] that[0] i[0] have[0] ever[0] seen[0] and[0] it[0] was[0] certainly[0] one[0] of[0] the[0] best[1] films[0] of[0] 1998[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
low brow adolescent humor can be a lot of fun , the problem with the waterboy is that it is just low brow and adolescent , there is no humor component . 	low brow adolescent humor can be a lot of fun , the problem with the waterboy is that it is just low brow and adolescent , there is no humor component .	3	-2	 low[-1] brow[0] adolescent[0] humor[2] can[0] be[0] a[0] lot[0] of[0] fun[1] the[0] problem[-1] with[0] the[0] waterboy[0] is[0] that[0] it[0] is[0] just[0] low[-1][--1 LastWordBoosterStrength] brow[0] and[0] adolescent[0] there[0] is[0] no[0] humor[2] component[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i wanted to like the waterboy , i really did . 	i wanted to like the waterboy , i really did .	2	-1	 i[0] wanted[0] to[0] like[1] the[0] waterboy[0] i[0] really[0] did[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i think i only laughed maybe 2 or 3 times throughout the entire movie . 	i think i only laughed maybe 2 or 3 times throughout the entire movie .	2	-1	 i[0] think[0] i[0] only[0] laughed[1] maybe[0] 2[0] or[0] 3[0] times[0] throughout[0] the[0] entire[0] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
actually , i smiled a couple of more times on top of that . 	actually , i smiled a couple of more times on top of that .	3	-1	 actually[0] i[0] smiled[2] a[0] couple[0] of[0] more[0] times[0] on[0] top[0] of[0] that[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
not a great record for a 90-minute film . 	not a great record for a 90-minute film .	1	-3	 not[0] a[0] great[2][NegatedDueToPreviousWord] record[0] for[0] a[0] 90[0] minute[0] film[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the problem with the waterboy is the same as most other adam sandler movies . 	the problem with the waterboy is the same as most other adam sandler movies .	1	-2	 the[0] problem[-1] with[0] the[0] waterboy[0] is[0] the[0] same[0] as[0] most[0] other[0] adam[0] sandler[0] movies[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
those responsible for this mess seem to think that the sheer fact that sandler walks around using a goofy voice and playing dumb the entire movie is a substitute for actual funny material . 	those responsible for this mess seem to think that the sheer fact that sandler walks around using a goofy voice and playing dumb the entire movie is a substitute for actual funny material .	2	-2	 those[0] responsible[0] for[0] this[0] mess[0] seem[0] to[0] think[0] that[0] the[0] sheer[0] fact[0] that[0] sandler[0] walks[0] around[0] using[0] a[0] goofy[0] voice[0] and[0] playing[1] dumb[-1] the[0] entire[0] movie[0] is[0] a[0] substitute[0] for[0] actual[0] funny[1] material[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
nothing could be further from the truth , as matter of fact , sandler's idiot voice started to get on my nerves at points in this film . 	nothing could be further from the truth , as matter of fact , sandler's idiot voice started to get on my nerves at points in this film .	2	-3	 nothing[0] could[0] be[0] further[0] from[0] the[0] truth[1] as[0] matter[0] of[0] fact[0] sandler's[0] idiot[-2] voice[0] started[0] to[0] get[0] on[0] my[0] nerves[0] at[0] points[0] in[0] this[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
