gordie boggs ( arquette , aptly cast as a moron , as he is one ) and his best friend sean dawkins ( scott caan . 	Translation	Positive	Negative	EmotionRationale
the son of james caan should not be reduced to garbage like this ! ) are two losers from wyoming with no jobs and no girlfriends , who look up to world championship wrestling champion jimmy king ( a terribly casted oliver platt ) , as he is everything they are not . 	the son of james can should not be reduced to garbage like this !<br> ) are two losers from wyoming with no jobs and no girlfriends , who look up to world championship wrestling champion jimmy king ( a terribly casted oliver platt ) , as he is everything they are not .	2	-4	 the[0] son[0] of[0] james[0] caan/can[0] should[0] not[0] be[0] reduced[0] to[0] garbage[-2] like[1] this[0] [[Sentence=-3,2=word max, 1-5]] are[0] two[0] losers[-2] from[0] wyoming[0] with[0] no[0] jobs[0] and[0] no[0] girlfriends[0] who[0] look[0] up[0] to[0] world[0] championship[0] wrestling[0] champion[0] jimmy[0] king[0] a[0] terribly[-3] casted[0] oliver[0] platt[0] as[0] he[0] is[0] everything[0] they[0] are[0] not[0] [[Sentence=-4,1=word max, 1-5]][[[2,-4 max of sentences]]]
they finally get to see him live and he is screwed out of his title by the evil , ruthless promoter titus sinclair ( a wasted palitaliano , in a role originally meant for real-life wcw president eric bischoff , whose name was written all over the role ! ) . 	they finally get to see him live and he is screwed out of his title by the evil , ruthless promoter titus sinclair ( a wasted palitaliano , in a role originally meant for real-life wcw president eric bischoff , whose name was written all over the role !<br> ) .	1	-4	 they[0] finally[0] get[0] to[0] see[0] him[0] live[0] and[0] he[0] is[0] screwed[0] out[0] of[0] his[0] title[0] by[0] the[0] evil[-2] ruthless[-2][-1 MultiplePositiveWords] promoter[0] titus[0] sinclair[0] a[0] wasted[-1] palitaliano[0] in[0] a[0] role[0] originally[0] meant[0] for[0] real[0] life[0] wcw[0] president[0] eric[0] bischoff[0] whose[0] name[0] was[0] written[0] all[0] over[0] the[0] role[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
gordie and sean track down king in atlanta and discover that he is not really the english king the wcw writers created for him , but a drunken , ignorant southerner who is as irritated by these two lunkheads as bob newhart was by larry , darryl , and darryl . 	gordie and sean track down king in atlanta and discover that he is not really the english king the wcw writers created for him , but a drunken , ignorant southerner who is as irritated by these two lunkheads as bob newhart was by larry , darryl , and darryl .	1	-3	 gordie[0] and[0] sean[0] track[0] down[0] king[0] in[0] atlanta[0] and[0] discover[0] that[0] he[0] is[0] not[0] really[0] the[0] english[0] king[0] the[0] wcw[0] writers[0] created[0] for[0] him[0] but[0] a[0] drunken[-1] ignorant[-2] southerner[0] who[0] is[0] as[0] irritated[-2] by[0] these[0] two[0] lunkheads[0] as[0] bob[0] newhart[0] was[0] by[0] larry[0] darryl[0] and[0] darryl[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
they sneak him back onto wcw tv , after which sinclair agrees to book him in a steel cage match in las vegas at wcw's next pay-per-view , against his rival , diamond dallas page . 	they sneak him back onto wcw tv , after which sinclair agrees to book him in a steel cage match in las vegas at wcw's next pay-per-view , against his rival , diamond dallas page .	1	-2	 they[0] sneak[-1] him[0] back[0] onto[0] wcw[0] tv[0] after[0] which[0] sinclair[0] agrees[0] to[0] book[0] him[0] in[0] a[0] steel[0] cage[0] match[0] in[0] las[0] vegas[0] at[0] wcw's[0] next[0] pay[0] per[0] view[0] against[-1] his[0] rival[-1] diamond[0] dallas[0] page[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if he wins , king gets his title and his career back , plus one million dollars . 	if he wins , king gets his title and his career back , plus one million dollars .	1	-1	 if[0] he[0] wins[0] king[0] gets[0] his[0] title[0] and[0] his[0] career[0] back[0] plus[0] one[0] million[0] dollars[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
wcw president eric bischoff , knowing his promotion was desperate with bad writing and ratings skyrocketing down thanks to the far superior world wrestling federation , came up with the idea for this movie hoping it would save wcw . 	wcw president eric bischoff , knowing his promotion was desperate with bad writing and ratings skyrocketing down thanks to the far superior world wrestling federation , came up with the idea for this movie hoping it would save wcw .	3	-3	 wcw[0] president[0] eric[0] bischoff[0] knowing[0] his[0] promotion[0] was[0] desperate[-2] with[0] bad[-1] writing[0] and[0] ratings[0] skyrocketing[0] down[0] thanks[1] to[0] the[0] far[0] superior[2] world[0] wrestling[0] federation[0] came[0] up[0] with[0] the[0] idea[0] for[0] this[0] movie[0] hoping[1] it[0] would[0] save[1][-1 LastWordBoosterStrength] wcw[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
he was then fired and rehired two months ago , but by the time he'd left , they had already been contracted to do the film , and bischoff could not play sinclair ( which , in itself , is for the best , as anybody who has seen him on wcw programming knows that bischoff is no actor ! ) . 	he was then fired and rehired two months ago , but by the time he'd left , they had already been contracted to do the film , and bischoff could not play sinclair ( which , in itself , is for the best , as anybody who has seen him on wcw programming knows that bischoff is no actor !<br> ) .	2	-3	 he[0] was[0] then[0] fired[-2] and[0] rehired[0] two[0] months[0] ago[0] but[0] by[0] the[0] time[0] he'd[0] left[0] they[0] had[0] already[0] been[0] contracted[0] to[0] do[0] the[0] film[0] and[0] bischoff[0] could[0] not[0] play[0] sinclair[0] which[0] in[0] itself[0] is[0] for[0] the[0] best[1] as[0] anybody[0] who[0] has[0] seen[0] him[0] on[0] wcw[0] programming[0] knows[0] that[0] bischoff[0] is[0] no[0] actor[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the characters of gordie and sean show you exactly what eric bischoff thinks of his fans . 	the characters of gordie and sean show you exactly what eric bischoff thinks of his fans .	1	-1	 the[0] characters[0] of[0] gordie[0] and[0] sean[0] show[0] you[0] exactly[0] what[0] eric[0] bischoff[0] thinks[0] of[0] his[0] fans[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he thinks of them as young , dumb pathetic idiots who will believe anything that will be put out in front of them is real . 	he thinks of them as young , dumb pathetic idiots who will believe anything that will be put out in front of them is real .	1	-4	 he[0] thinks[0] of[0] them[0] as[0] young[0] dumb[-1] pathetic[-2] idiots[-2][-1 MultiplePositiveWords] who[0] will[0] believe[0] anything[0] that[0] will[0] be[0] put[0] out[0] in[0] front[0] of[0] them[0] is[0] real[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
that is why he doesn't take the fans into consideration when he books a nitro or a pay-per-view . 	that is why he doesn't take the fans into consideration when he books a nitro or a pay-per-view .	1	-1	 that[0] is[0] why[0] he[0] doesn't[0] take[0] the[0] fans[0] into[0] consideration[0] when[0] he[0] books[0] a[0] nitro[0] or[0] a[0] pay[0] per[0] view[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
