there's a scene somewhere in this film where one of the characters reads the book " screenwriting made easy . " 	Translation	Positive	Negative	EmotionRationale
this is funny the first time just 'cause it is , but funnier as the film goes on since it's totally ironic since the screenwriters of this inane film probably read it , outlined it and then wrote this film . 	this is funny the first time just 'cause it is , but funnier as the film goes on since it's totally ironic since the screenwriters of this inane film probably read it , outlined it and then wrote this film .	2	-3	 this[0] is[0] funny[1] the[0] first[0] time[0] just[0] 'cause[0] it[0] is[0] but[0] funnier[1] as[0] the[0] film[0] goes[0] on[0] since[0] it's[0] totally[0] ironic[-1][-1 LastWordBoosterStrength] since[0] the[0] screenwriters[0] of[0] this[0] inane[-1] film[0] probably[0] read[0] it[0] outlined[0] it[0] and[0] then[0] wrote[0] this[0] film[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
it's like they took the sub-genre of the disaster pic , which can be fun and hokey at the same time , and then forgot one of the greatest parts of them : the stupid , eccentric characters . 	it's like they took the sub-genre of the disaster pic , which can be fun and hokey at the same time , and then forgot one of the greatest parts of them : the stupid , eccentric characters .	3	-2	 it's[0] like[1] they[0] took[0] the[0] sub[0] genre[0] of[0] the[0] disaster[-1] pic[0] which[0] can[0] be[0] fun[1] and[0] hokey[0] at[0] the[0] same[0] time[0] and[0] then[0] forgot[0] one[0] of[0] the[0] greatest[2] parts[0] of[0] them[0] the[0] stupid[-1] eccentric[-1] characters[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
yes , " the poseidon adventure " is crap , but it's fun 'cause of all the stupid , eccentric characters . 	yes , " the poseidon adventure " is crap , but it's fun 'cause of all the stupid , eccentric characters .	2	-3	 yes[0] the[0] poseidon[0] adventure[0] is[0] crap[-2] but[0] it's[0] fun[1] 'cause[0] of[0] all[0] the[0] stupid[-1] eccentric[-1] characters[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
and " earthquake , " my god ! 	and " earthquake , " my god !	1	-1	 and[0] earthquake[0] my[0] god[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " earthquake " has got to be one of the worst movies of all time , but at least they had the joke of having charlton heston sleeping with genevieve bujold . 	 " earthquake " has got to be one of the worst movies of all time , but at least they had the joke of having charlton heston sleeping with genevieve bujold .	2	-3	 earthquake[0] has[0] got[0] to[0] be[0] one[0] of[0] the[0] worst[-2] movies[0] of[0] all[0] time[0] but[0] at[0] least[0] they[0] had[0] the[0] joke[1] of[0] having[0] charlton[0] heston[0] sleeping[0] with[0] genevieve[0] bujold[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 " volcano " takes a semi-intriguing yet stupendously inane plot ( a volcano no one knew about suddenly errupts one fine morning and then erupts again later then stops . . . only 	 " volcano " takes a semi-intriguing yet stupendously inane plot ( a volcano no one knew about suddenly erupts one fine morning and then erupts again later then stops .<br> .<br> .<br> only	3	-2	 volcano[0] takes[0] a[0] semi[0] intriguing[0] yet[0] stupendously[0] inane[-1] plot[0] a[0] volcano[0] no[0] one[0] knew[0] about[0] suddenly[0] errupts/erupts[0] one[0] fine[2] morning[0] and[0] then[0] erupts[0] again[0] later[0] then[0] stops[0] [[Sentence=-2,3=word max, 1-5]] only[0] [[Sentence=-1,1=word max, 1-5]][[[3,-2 max of sentences]]]
it's in , dare i say it ? 	it's in , dare i say it ?	1	-1	 it's[0] in[0] dare[0] i[0] say[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
l . a ! ! ! ) and then puts no stupid , stereotypical , eccentric characters in it . 	l .<br> a !<br> !<br> !<br> ) and then puts no stupid , stereotypical , eccentric characters in it .	1	-2	 l[0] [[Sentence=-1,1=word max, 1-5]] a[0] [[Sentence=-1,1=word max, 1-5]] and[0] then[0] puts[0] no[0] stupid[-1] stereotypical[0] eccentric[-1] characters[0] in[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they're just stupid . 	they're just stupid .	1	-1	 they're[0] just[0] stupid[-1][--1 LastWordBoosterStrength] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
and the actors are all good ones . 	and the actors are all good ones .	2	-1	 and[0] the[0] actors[0] are[0] all[0] good[1] ones[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
tommy lee jones is great , an oscar winner , and a member of the men in black ( my vote for what should be the coolest movie of the summer ) . 	tommy lee jones is great , an oscar winner , and a member of the men in black ( my vote for what should be the coolest movie of the summer ) .	3	-1	 tommy[0] lee[0] jones[0] is[0] great[2] an[0] oscar[0] winner[1] and[0] a[0] member[0] of[0] the[0] men[0] in[0] black[0] my[0] vote[0] for[0] what[0] should[0] be[0] the[0] coolest[2] movie[0] of[0] the[0] summer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
anne heche is a good indy actress . 	anne heche is a good indy actress .	2	-1	 anne[0] heche[0] is[0] a[0] good[1] indy[0] actress[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
don cheadle stole the disappointing " devil in a blue dress " from denzel's feet . 	don cheadle stole the disappointing " devil in a blue dress " from denzel's feet .	1	-2	 don[0] cheadle[0] stole[-1] the[0] disappointing[-1] devil[-1] in[0] a[0] blue[0] dress[0] from[0] denzel's[0] feet[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
and gaby's one of the few good teenage actors . 	and gaby's one of the few good teenage actors .	2	-1	 and[0] gaby's[0] one[0] of[0] the[0] few[0] good[1] teenage[0] actors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but they get nothing to do but act dumb and scream at what's going on . 	but they get nothing to do but act dumb and scream at what's going on .	1	-4	 but[0] they[0] get[0] nothing[0] to[0] do[0] but[0] act[0] dumb[-1] and[0] scream[-3] at[0] what's[0] going[0] on[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
they do their best , god bless them , but they're all lost in the fake magma ( only don cheadle gets an interesting part and he's the greatest part of the film ) . 	they do their best , god bless them , but they're all lost in the fake magma ( only don cheadle gets an interesting part and he's the greatest part of the film ) .	3	-2	 they[0] do[0] their[0] best[1] god[0] bless[1] them[0] but[0] they're[0] all[0] lost[0] in[0] the[0] fake[-1] magma[0] only[0] don[0] cheadle[0] gets[0] an[0] interesting[1] part[0] and[0] he's[0] the[0] greatest[2] part[0] of[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
