it's been hours since i returned from the much anticipated sci-fi opus `mission to mars' , and i can still detect the reek of moldy cheddar . 	Translation	Positive	Negative	EmotionRationale
why ? 	why ?	1	-1	 why[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie is a shoddy cheesefest full of digital eye candy , stapled carelessly onto a flimsy screenplay which somehow manages to leapfrog the great promise of a space opera , instead shooting for the angle of a feel-good science fiction drama more akin to  2001 : a space odyssey' . 	the movie is a shoddy cheesefest full of digital eye candy , stapled carelessly onto a flimsy screenplay which somehow manages to leapfrog the great promise of a space opera , instead shooting for the angle of a feel-good science fiction drama more akin to  2001 : a space odyssey' .	3	-2	 the[0] movie[0] is[0] a[0] shoddy[-1] cheesefest[0] full[0] of[0] digital[0] eye[0] candy[0] stapled[0] carelessly[-1] onto[0] a[0] flimsy[-1] screenplay[0] which[0] somehow[0] manages[0] to[0] leapfrog[0] the[0] great[2] promise[1] of[0] a[0] space[0] opera[0] instead[0] shooting[-1] for[0] the[0] angle[0] of[0] a[0] feel[0] good[1] science[0] fiction[0] drama[0] more[0] akin[0] to[0] 2001[0] a[0] space[0] odyssey'[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i got the feeling that most of my fellow movie-going patrons were expecting another  armageddon' . 	i got the feeling that most of my fellow movie-going patrons were expecting another  armageddon' .	1	-1	 i[0] got[0] the[0] feeling[0] that[0] most[0] of[0] my[0] fellow[0] movie[0] going[0] patrons[0] were[0] expecting[0] another[0] armageddon'[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but no ,  mission to mars' certainly isn't one large action sequence about colossal disaster . 	but no ,  mission to mars' certainly isn't one large action sequence about colossal disaster .	1	-2	 but[0] no[0] mission[0] to[0] mars'[0] certainly[0] isn't[0] one[0] large[0] action[0] sequence[0] about[0] colossal[0] disaster[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is a supposedly thoughtful , family-friendly space flick in which the apocalyptic excitement takes a back seat to visual elegance and uplifting drivel . 	this is a supposedly thoughtful , family-friendly space flick in which the apocalyptic excitement takes a back seat to visual elegance and uplifting drivel .	3	-2	 this[0] is[0] a[0] supposedly[0] thoughtful[1] family[0] friendly[1] space[0] flick[0] in[0] which[0] the[0] apocalyptic[0] excitement[2] takes[0] a[0] back[0] seat[0] to[0] visual[0] elegance[1] and[0] uplifting[0] drivel[-1] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
you have been warned . 	you have been warned .	1	-1	 you[0] have[0] been[0] warned[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
of course , crafting a tightly claustrophobic space drama is not impossible ( see  apollo 13' for an excellent example ) , but few directors possess the skill and craftsmanship to pull it off without seriously scarring their reputation . 	of course , crafting a tightly claustrophobic space drama is not impossible ( see  apollo 13' for an excellent example ) , but few directors possess the skill and craftsmanship to pull it off without seriously scarring their reputation .	4	-1	 of[0] course[0] crafting[0] a[0] tightly[0] claustrophobic[0] space[0] drama[0] is[0] not[0] impossible[0] see[0] apollo[0] 13'[0] for[0] an[0] excellent[3] example[0] but[0] few[0] directors[0] possess[0] the[0] skill[0] and[0] craftsmanship[0] to[0] pull[0] it[0] off[0] without[0] seriously[0] scarring[0] their[0] reputation[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
brian de palma has enough directorial expertise and visual wizardry up his sleeve to pull it off . 	brian de palma has enough directorial expertise and visual wizardry up his sleeve to pull it off .	1	-1	 brian[0] de[0] palma[0] has[0] enough[0] directorial[0] expertise[0] and[0] visual[0] wizardry[0] up[0] his[0] sleeve[0] to[0] pull[0] it[0] off[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when he gets his hands on an intelligent , systematically practical script like  the untouchables' or  mission : impossible' , the director has the ability to create a sound technical achievement ( although his overly indulgent style becomes bothersome more than occasionally ) . 	when he gets his hands on an intelligent , systematically practical script like  the untouchables' or  mission : impossible' , the director has the ability to create a sound technical achievement ( although his overly indulgent style becomes bothersome more than occasionally ) .	2	-2	 when[0] he[0] gets[0] his[0] hands[0] on[0] an[0] intelligent[1] systematically[0] practical[0] script[0] like[1] the[0] untouchables'[0] or[0] mission[0] impossible'[0] the[0] director[0] has[0] the[0] ability[0] to[0] create[0] a[0] sound[0] technical[0] achievement[0] although[0] his[0] overly[0] indulgent[0] style[0] becomes[0] bothersome[-1] more[0] than[0] occasionally[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course , there's also the inexcusable string of crap that has carried his name ( including  snake eyes' and the notorious bomb  the bonfire of the vanities' ) . . . . 	of course , there's also the inexcusable string of crap that has carried his name ( including  snake eyes' and the notorious bomb  the bonfire of the vanities' ) .<br> .<br> .<br> .	1	-3	 of[0] course[0] there's[0] also[0] the[0] inexcusable[0] string[0] of[0] crap[-2] that[0] has[0] carried[0] his[0] name[0] including[0] snake[0] eyes'[0] and[0] the[0] notorious[-1] bomb[-1] the[0] bonfire[0] of[0] the[0] vanities'[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
