 " deep rising " gives you that sinking feeling both literally and figuratively : not only does the movie take place on a cruise ship slowly being immersed into the middle of the ocean by a squid-like menace , but the unfolding story is artificial , silly and almost completely derivative of countless other ( and , for the most part , better ) films . 	Translation	Positive	Negative	EmotionRationale
while dumb monster movies can at least be decent guilty pleasures -- take , for example , the schlocky mountain highs of last spring's " anaconda " -- " deep rising " has no tongue to put in its cheek . 	while dumb monster movies can at least be decent guilty pleasures - take , for example , the schlocky mountain highs of last spring's " anaconda " - " deep rising " has no tongue to put in its cheek .	3	-4	 while[0] dumb[-1] monster[-1] movies[0] can[0] at[0] least[0] be[0] decent[0] guilty[-3] pleasures[2] take[0] for[0] example[0] the[0] schlocky[0] mountain[0] highs[0] of[0] last[0] spring's[0] anaconda[0] deep[0] rising[0] has[0] no[0] tongue[0] to[0] put[0] in[0] its[0] cheek[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
folks , we're only a month into the new year , and already here's a candidate for one of its stinkiest releases . 	folks , we're only a month into the new year , and already here's a candidate for one of its stinkiest releases .	1	-3	 folks[0] we're[0] only[0] a[0] month[0] into[0] the[0] new[0] year[0] and[0] already[0] here's[0] a[0] candidate[0] for[0] one[0] of[0] its[0] stinkiest[-2] releases[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
most of the action takes place on the argonautica , a luxury liner in the middle of its maiden voyage ( uh-oh -- if these people had seen " titanic , " then maybe they'd have known to stay home ) when it's attacked by a giant , tentacled sea creature . 	most of the action takes place on the argonautica , a luxury liner in the middle of its maiden voyage ( uh-oh - if these people had seen " titanic , " then maybe they'd have known to stay home ) when it's attacked by a giant , tentacled sea creature .	1	-3	 most[0] of[0] the[0] action[0] takes[0] place[0] on[0] the[0] argonautica[0] a[0] luxury[0] liner[0] in[0] the[0] middle[0] of[0] its[0] maiden[0] voyage[0] uh[0] oh[0] if[0] these[0] people[0] had[0] seen[0] titanic[0] then[0] maybe[0] they'd[0] have[0] known[0] to[0] stay[0] home[0] when[0] it's[0] attacked[-2] by[0] a[0] giant[0] tentacled[0] sea[0] creature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the only survivors are slinky jewel thief trilian ( famke janssen ) , argonautica owner canton ( anthony heald ) and a few other crew members . 	the only survivors are slinky jewel thief trilian ( famke janssen ) , argonautica owner canton ( anthony heald ) and a few other crew members .	1	-2	 the[0] only[0] survivors[0] are[0] slinky[0] jewel[0] thief[-1] trilian[0] famke[0] janssen[0] argonautica[0] owner[0] canton[0] anthony[0] heald[0] and[0] a[0] few[0] other[0] crew[0] members[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
a mercenary team , lead by resourceful captain john finnegan ( treat williams ) , board the argonautica looking for assistance after their own boat breaks down nearby . 	a mercenary team , lead by resourceful captain john finnegan ( treat williams ) , board the argonautica looking for assistance after their own boat breaks down nearby .	2	-1	 a[0] mercenary[0] team[0] lead[0] by[0] resourceful[0] captain[0] john[0] finnegan[0] treat[1] williams[0] board[0] the[0] argonautica[0] looking[0] for[0] assistance[0] after[0] their[0] own[0] boat[0] breaks[0] down[0] nearby[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but what their search of the ship uncovers is something blood-soaked , hungry and not very helpful . 	but what their search of the ship uncovers is something blood-soaked , hungry and not very helpful .	1	-3	 but[0] what[0] their[0] search[0] of[0] the[0] ship[0] uncovers[0] is[0] something[0] blood[0] soaked[0] hungry[-1] and[0] not[0] very[0] helpful[1][1 LastWordBoosterStrength][NegatedDueToPreviousWord] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the main problem with " deep rising " is its overt familiarity ; the movie makes absolutely no attempt to differentiate itself from most sci-fi/horror films in recent memory . 	the main problem with " deep rising " is its overt familiarity ; the movie makes absolutely no attempt to differentiate itself from most sci-fi/horror films in recent memory .	1	-2	 the[0] main[0] problem[-1] with[0] deep[0] rising[0] is[0] its[0] overt[0] familiarity[0] the[0] movie[0] makes[0] absolutely[0] no[0] attempt[0] to[0] differentiate[0] itself[0] from[0] most[0] sci[0] fi/horror[0] films[0] in[0] recent[0] memory[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the concept is " leviathan " meets " titanic , " with a dash of " speed 2 " thrown in for good ( or is that bad ? ) 	the concept is " leviathan " meets " titanic , " with a dash of " speed 2 " thrown in for good ( or is that bad ?<br> )	2	-2	 the[0] concept[0] is[0] leviathan[0] meets[0] titanic[0] with[0] a[0] dash[0] of[0] speed[0] 2[0] thrown[0] in[0] for[0] good[1] or[0] is[0] that[0] bad[-1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
measure . 	measure .	1	-1	 measure[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this monster is equal parts " 20 , 000 leagues under the sea " and " the relic , " knows how to open doors like the raptors from " jurassic park " and even gets to expel a half-digested victim ( a neat effect , admittedly ) a la the giant snake in " anaconda . " 	this monster is equal parts " 20 , 00 leagues under the sea " and " the relic , " knows how to open doors like the raptors from " jurassic park " and even gets to expel a half-digested victim ( a neat effect , admittedly ) a la the giant snake in " anaconda .<br> "	2	-3	 this[0] monster[-1] is[0] equal[0] parts[0] 20[0] 000/00[0] leagues[0] under[0] the[0] sea[0] and[0] the[0] relic[0] knows[0] how[0] to[0] open[0] doors[0] like[1] the[0] raptors[0] from[0] jurassic[0] park[0] and[0] even[0] gets[0] to[0] expel[-1] a[0] half[0] digested[0] victim[-2] a[0] neat[0] effect[0] admittedly[0] a[0] la[0] the[0] giant[0] snake[0] in[0] anaconda[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
some of the attack sequences are straight out of " jaws " and " alien . " 	some of the attack sequences are straight out of " jaws " and " alien .<br> "	1	-3	 some[0] of[0] the[0] attack[-2] sequences[0] are[0] straight[0] out[0] of[0] jaws[0] and[0] alien[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
a scene where the remaining survivors have to travel under water to escape death is right out of " alien resurrection . " 	a scene where the remaining survivors have to travel under water to escape death is right out of " alien resurrection .<br> "	1	-3	 a[0] scene[0] where[0] the[0] remaining[0] survivors[0] have[0] to[0] travel[0] under[0] water[0] to[0] escape[0] death[-2] is[0] right[0] out[0] of[0] alien[-1] resurrection[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
there's even a jet ski chase like " hard rain . " 	there's even a jet ski chase like " hard rain .<br> "	2	-2	 there's[0] even[0] a[0] jet[0] ski[0] chase[-1] like[1] hard[0] rain[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and the list goes on . 	and the list goes on .	1	-1	 and[0] the[0] list[0] goes[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
watching " deep rising " 's cast battle the beast is a murky chore in itself , because none of them have well-developed characters , nor do they seem to project even the slightest sense of fear when facing their enemy . 	watching " deep rising " 's cast battle the beast is a murky chore in itself , because none of them have well-developed characters , nor do they seem to project even the slightest sense of fear when facing their enemy .	1	-4	 watching[0] deep[0] rising[0] 's[0] cast[0] battle[-1] the[0] beast[0] is[0] a[0] murky[-1] chore[-2] in[0] itself[0] because[0] none[0] of[0] them[0] have[0] well[0] developed[0] characters[0] nor[0] do[0] they[0] seem[0] to[0] project[0] even[0] the[0] slightest[0] sense[0] of[0] fear[-3] when[0] facing[0] their[0] enemy[-1] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
williams is affable enough , but his finnegan just isn't believable . 	williams is affable enough , but his finnegan just isn't believable .	3	-1	 williams[0] is[0] affable[2] enough[0] but[0] his[0] finnegan[0] just[0] isn't[0] believable[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
an interesting supporting cast is thoroughly wasted ; pretty famke janssen , best known as " goldeneye " 's killer thighs , is trapped in a forced romantic interest with williams , while kevin j . o'connor , as finnegan's mechanic , provides comic relief with screechy manic shtick that gets old fast . 	an interesting supporting cast is thoroughly wasted ; pretty famke janssen , best known as " goldeneye " 's killer thighs , is trapped in a forced romantic interest with williams , while kevin j .<br> o'connor , as finnegan's mechanic , provides comic relief with screechy manic shtick that gets old fast .	4	-2	 an[0] interesting[1] supporting[1] cast[0] is[0] thoroughly[0] wasted[-1] pretty[2] famke[0] janssen[0] best[1] known[0] as[0] goldeneye[0] 's[0] killer[-1] thighs[0] is[0] trapped[0] in[0] a[0] forced[0] romantic[3] interest[1] with[0] williams[0] while[0] kevin[0] j[0] [[Sentence=-2,4=word max, 1-5]] o'connor[0] as[0] finnegan's[0] mechanic[0] provides[0] comic[0] relief[1] with[0] screechy[0] manic[0] shtick[0] that[0] gets[0] old[0] fast[0] [[Sentence=-1,2=word max, 1-5]][[[4,-2 max of sentences]]]
djimon honsou , who received raves for his performance as a noble slave in december's " amistad , " pops up in a brief part . 	djimon honsou , who received raves for his performance as a noble slave in december's " amistad , " pops up in a brief part .	1	-1	 djimon[0] honsou[0] who[0] received[0] raves[0] for[0] his[0] performance[0] as[0] a[0] noble[0] slave[0] in[0] december's[0] amistad[0] pops[0] up[0] in[0] a[0] brief[0] part[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he needs to stay away from the water . 	he needs to stay away from the water .	1	-1	 he[0] needs[0] to[0] stay[0] away[0] from[0] the[0] water[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the movie's final shot is a groaner , as is the 11th-hour regurgitation of a subplot involving an on-ship saboteur . 	the movie's final shot is a groaner , as is the 11th-hour regurgitation of a subplot involving an on-ship saboteur .	1	-2	 the[0] movie's[0] final[0] shot[-1] is[0] a[0] groaner[0] as[0] is[0] the[0] 11th[0] hour[0] regurgitation[0] of[0] a[0] subplot[0] involving[0] an[0] on[0] ship[0] saboteur[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as if a cast deserving of their snack food-fate isn't bad enough ( when you taunt the monster , you're really asking for it ) , " deep rising " is a slow , stupid slog through a story without a single bright spot . 	as if a cast deserving of their snack food-fate isn't bad enough ( when you taunt the monster , you're really asking for it ) , " deep rising " is a slow , stupid slog through a story without a single bright spot .	2	-2	 as[0] if[0] a[0] cast[0] deserving[0] of[0] their[0] snack[0] food[0] fate[0] isn't[0] bad[-1][NegatedDueToPreviousWord] enough[0] when[0] you[0] taunt[-1] the[0] monster[-1] you're[0] really[0] asking[0] for[0] it[0] deep[0] rising[0] is[0] a[0] slow[0] stupid[-1] slog[0] through[0] a[0] story[0] without[0] a[0] single[0] bright[0] spot[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
and since we all know that the higher the casualty rate is , the closer we are to the end of the movie , rooting for this overgrown squid to swallow the whole ship isn't out of the question . 	and since we all know that the higher the casualty rate is , the closer we are to the end of the movie , rooting for this overgrown squid to swallow the whole ship isn't out of the question .	1	-3	 and[0] since[0] we[0] all[0] know[0] that[0] the[0] higher[0] the[0] casualty[-2] rate[0] is[0] the[0] closer[0] we[0] are[0] to[0] the[0] end[0] of[0] the[0] movie[0] rooting[0] for[0] this[0] overgrown[0] squid[0] to[0] swallow[0] the[0] whole[0] ship[0] isn't[0] out[0] of[0] the[0] question[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
