based on the novel set in 1914 by joseph conrad , victory spins a tale of a pair of lovers , heyst ( william dafoe ) and alma ( irene jacob ) , who seek refuge on heyst's isolated island . 	Translation	Positive	Negative	EmotionRationale
however , their idyllic world begins to crumble upon the arrival of mr jones ( sam neil ) , martin ricardo ( rufus sewell ) and their servant , pedro ( graziano marcelli ) , who have come to steal heyst's rumoured plunder . 	however , their idyllic world begins to crumble upon the arrival of mr jones ( sam neil ) , martin ricardo ( rufus sewell ) and their servant , pedro ( graziano marcelli ) , who have come to steal heyst's rumoured plunder .	1	-3	 however[0] their[0] idyllic[0] world[0] begins[0] to[0] crumble[-1] upon[0] the[0] arrival[0] of[0] mr[0] jones[0] sam[0] neil[0] martin[0] ricardo[0] rufus[0] sewell[0] and[0] their[0] servant[0] pedro[0] graziano[0] marcelli[0] who[0] have[0] come[0] to[0] steal[-2] heyst's[0] rumoured[0] plunder[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
while the novel is largely complex in characterization , the film sadly transposes conrad's characters into lacklustre leads , the most disappointing being heyst himself . 	while the novel is largely complex in characterization , the film sadly transposes conrad's characters into lacklustre leads , the most disappointing being heyst himself .	1	-2	 while[0] the[0] novel[0] is[0] largely[0] complex[0] in[0] characterization[0] the[0] film[0] sadly[-1] transposes[0] conrad's[0] characters[0] into[0] lacklustre[0] leads[0] the[0] most[0] disappointing[-1] being[0] heyst[0] himself[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
conrad's heyst adheres religiously to his late father's ways of detachment and isolation . 	conrad's heyst adheres religiously to his late father's ways of detachment and isolation .	1	-2	 conrad's[0] heyst[0] adheres[0] religiously[0] to[0] his[0] late[0] father's[0] ways[0] of[0] detachment[-1] and[0] isolation[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his ascetic lifestyle is thrown into question when he meets alma , a helpless orchestra girl who charms him with her voice . 	his ascetic lifestyle is thrown into question when he meets alma , a helpless orchestra girl who charms him with her voice .	2	-2	 his[0] ascetic[0] lifestyle[0] is[0] thrown[0] into[0] question[0] when[0] he[0] meets[0] alma[0] a[0] helpless[-1] orchestra[0] girl[0] who[0] charms[1] him[0] with[0] her[0] voice[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
the struggle to embrace the arrival of alma into his solitude , however , is lost in mark peploe's ( director and writer ) diluted version of heyst . 	the struggle to embrace the arrival of alma into his solitude , however , is lost in mark peploe's ( director and writer ) diluted version of heyst .	1	-2	 the[0] struggle[-1] to[0] embrace[0] the[0] arrival[0] of[0] alma[0] into[0] his[0] solitude[0] however[0] is[0] lost[0] in[0] mark[0] peploe's[0] director[0] and[0] writer[0] diluted[0] version[0] of[0] heyst[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
without properly establishing the crucial details of heyst's character , all that is left of conrad's main character is a very shallow treatment of his internal conflict between detachment and human involvement . 	without properly establishing the crucial details of heyst's character , all that is left of conrad's main character is a very shallow treatment of his internal conflict between detachment and human involvement .	1	-3	 without[0] properly[0] establishing[0] the[0] crucial[0] details[0] of[0] heyst's[0] character[0] all[0] that[0] is[0] left[0] of[0] conrad's[0] main[0] character[0] is[0] a[0] very[0] shallow[-1][-1 LastWordBoosterStrength] treatment[0] of[0] his[0] internal[0] conflict[-1] between[0] detachment[-1] and[0] human[0] involvement[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
on the one hand , actualizing the subtext is a mammoth task ( though not impossible ) , but on the other hand , dafoe's flat acting cannot be excused as an attempt at stoicism . 	on the one hand , actualizing the subtext is a mammoth task ( though not impossible ) , but on the other hand , dafoe's flat acting cannot be excused as an attempt at stoicism .	1	-1	 on[0] the[0] one[0] hand[0] actualizing[0] the[0] subtext[0] is[0] a[0] mammoth[0] task[0] though[0] not[0] impossible[0] but[0] on[0] the[0] other[0] hand[0] dafoe's[0] flat[0] acting[0] cannot[0] be[0] excused[0] as[0] an[0] attempt[0] at[0] stoicism[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the end , we are supposed to witness heyst renounce his philosophy and finally come to an understanding of what it is to love another . 	in the end , we are supposed to witness heyst renounce his philosophy and finally come to an understanding of what it is to love another .	3	-2	 in[0] the[0] end[0] we[0] are[0] supposed[0] to[0] witness[0] heyst[0] renounce[-1] his[0] philosophy[0] and[0] finally[0] come[0] to[0] an[0] understanding[0] of[0] what[0] it[0] is[0] to[0] love[2] another[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the final transformation , while perceptible , lacks the cathartic revelation which is undeniable in conrad's novel . 	the final transformation , while perceptible , lacks the cathartic revelation which is undeniable in conrad's novel .	1	-1	 the[0] final[0] transformation[0] while[0] perceptible[0] lacks[0] the[0] cathartic[0] revelation[0] which[0] is[0] undeniable[0] in[0] conrad's[0] novel[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
its absence in the film is unforgivable . 	its absence in the film is unforgivable .	1	-2	 its[0] absence[-1] in[0] the[0] film[0] is[0] unforgivable[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the film seems more concerned about moving the plot along when so much has yet to be said about the relationship between the two complete strangers . 	the film seems more concerned about moving the plot along when so much has yet to be said about the relationship between the two complete strangers .	1	-2	 the[0] film[0] seems[0] more[0] concerned[-1] about[0] moving[0] the[0] plot[0] along[0] when[0] so[0] much[0] has[0] yet[0] to[0] be[0] said[0] about[0] the[0] relationship[0] between[0] the[0] two[0] complete[0] strangers[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
alma is supposed to have overcome great emotional barriers in the relationship , namely heyst's underlying philosophy of detachment , which heyst himself grapples with . 	alma is supposed to have overcome great emotional barriers in the relationship , namely heyst's underlying philosophy of detachment , which heyst himself grapples with .	3	-2	 alma[0] is[0] supposed[0] to[0] have[0] overcome[0] great[2] emotional[-1] barriers[-1] in[0] the[0] relationship[0] namely[0] heyst's[0] underlying[0] philosophy[0] of[0] detachment[-1] which[0] heyst[0] himself[0] grapples[0] with[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the struggle against heyst's ignorance of true human involvement accounts for much of the greatness of alma's love for him . 	the struggle against heyst's ignorance of true human involvement accounts for much of the greatness of alma's love for him .	3	-3	 the[0] struggle[-1] against[-1] heyst's[0] ignorance[-2] of[0] true[1] human[0] involvement[0] accounts[0] for[0] much[0] of[0] the[0] greatness[2] of[0] alma's[0] love[2] for[0] him[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
jacob , fair-skinned , gentle and yet passionate , handles the role with precision , detailing nuances where possible . 	jacob , fair-skinned , gentle and yet passionate , handles the role with precision , detailing nuances where possible .	3	-1	 jacob[0] fair[0] skinned[0] gentle[1] and[0] yet[0] passionate[2] handles[0] the[0] role[0] with[0] precision[0] detailing[0] nuances[0] where[0] possible[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
unfortunately , she is let down by a superficial script . 	unfortunately , she is let down by a superficial script .	1	-2	 unfortunately[-1] she[0] is[0] let[0] down[0] by[0] a[0] superficial[-1] script[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the couple's relationship develops too hastily , leaving all subtlety effaced and replaced with a blatant show-and-tell approach . 	the couple's relationship develops too hastily , leaving all subtlety effaced and replaced with a blatant show-and-tell approach .	1	-2	 the[0] couple's[0] relationship[0] develops[0] too[0] hastily[0] leaving[0] all[0] subtlety[0] effaced[0] and[0] replaced[0] with[0] a[0] blatant[-1] show[0] and[0] tell[0] approach[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all we know of the characters are mostly explained by their lines alone . 	all we know of the characters are mostly explained by their lines alone .	1	-1	 all[0] we[0] know[0] of[0] the[0] characters[0] are[0] mostly[0] explained[0] by[0] their[0] lines[0] alone[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this is unsatisfactory when so much of the turmoil experienced by the two stem from their buried thoughts and emotions . 	this is unsatisfactory when so much of the turmoil experienced by the two stem from their buried thoughts and emotions .	1	-3	 this[0] is[0] unsatisfactory[-1] when[0] so[0] much[0] of[0] the[0] turmoil[-2] experienced[0] by[0] the[0] two[0] stem[0] from[0] their[0] buried[-2] thoughts[0] and[0] emotions[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the sketchy handling of their relationship stands out as sorely as dafoe's american accent ( an inappropriate one since heyst spent most of his life in london ) . 	the sketchy handling of their relationship stands out as sorely as dafoe's american accent ( an inappropriate one since heyst spent most of his life in london ) .	1	-2	 the[0] sketchy[-1] handling[0] of[0] their[0] relationship[0] stands[0] out[0] as[0] sorely[0] as[0] dafoe's[0] american[0] accent[0] an[0] inappropriate[0] one[0] since[0] heyst[0] spent[0] most[0] of[0] his[0] life[0] in[0] london[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the other characters such as schomberg ( jean yanne ) , the owner of a hotel , and mr jones ( sam neill ) , also fall short of conrad's meticulous characterization . 	the other characters such as schomberg ( jean yanne ) , the owner of a hotel , and mr jones ( sam neill ) , also fall short of conrad's meticulous characterization .	1	-1	 the[0] other[0] characters[0] such[0] as[0] schomberg[0] jean[0] yanne[0] the[0] owner[0] of[0] a[0] hotel[0] and[0] mr[0] jones[0] sam[0] neill[0] also[0] fall[0] short[0] of[0] conrad's[0] meticulous[0] characterization[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
while schomberg should have been more menacing and vindictive , mr jones should have been portrayed as something more of an enigma . 	while schomberg should have been more menacing and vindictive , mr jones should have been portrayed as something more of an enigma .	1	-1	 while[0] schomberg[0] should[0] have[0] been[0] more[0] menacing[0] and[0] vindictive[0] mr[0] jones[0] should[0] have[0] been[0] portrayed[0] as[0] something[0] more[0] of[0] an[0] enigma[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sam neil's caricature of a slightly stout , effeminate and soft-spoken gentleman-at-large nullifies the effect intended by conrad who describes mr jones as " an insolent spectre on leave from hades , endowed with skin and bones and a subtle power of terror " . 	sam neil's caricature of a slightly stout , effeminate and soft-spoken gentleman-at-large nullifies the effect intended by conrad who describes mr jones as " an insolent spectre on leave from hades , endowed with skin and bones and a subtle power of terror " .	1	-2	 sam[0] neil's[0] caricature[0] of[0] a[0] slightly[0] stout[0] effeminate[0] and[0] soft[0] spoken[0] gentleman[0] at[0] large[0] nullifies[0] the[0] effect[0] intended[0] by[0] conrad[0] who[0] describes[0] mr[0] jones[0] as[0] an[0] insolent[-1] spectre[0] on[0] leave[0] from[0] hades[0] endowed[0] with[0] skin[0] and[0] bones[0] and[0] a[0] subtle[0] power[0] of[0] terror[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
poor characterization aside , kudos goes to rufus sewell for his excellent portrayal of ricardo , secretary to mr jones , a reckless ruffian capable of murder . 	poor characterization aside , kudos goes to rufus sewell for his excellent portrayal of ricardo , secretary to mr jones , a reckless ruffian capable of murder .	4	-4	 poor[-1] characterization[0] aside[0] kudos[0] goes[0] to[0] rufus[0] sewell[0] for[0] his[0] excellent[3] portrayal[0] of[0] ricardo[0] secretary[0] to[0] mr[0] jones[0] a[0] reckless[-1] ruffian[-1] capable[0] of[0] murder[-3] [[Sentence=-4,4=word max, 1-5]][[[4,-4 max of sentences]]]
