i've always been a kevin kline fan , silverado , fish called wanda , pirates of penzance , and even his hamlet on pbs' great performances . 	Translation	Positive	Negative	EmotionRationale
the minute i saw the trailer for this film , i resolved to see it . 	the minute i saw the trailer for this film , i resolved to see it .	2	-1	 the[0] minute[0] i[0] saw[0] the[0] trailer[0] for[0] this[0] film[0] i[0] resolved[1] to[0] see[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
besides the fact that kline starred , it looked like a hilarious film . 	besides the fact that kline starred , it looked like a hilarious film .	3	-1	 besides[0] the[0] fact[0] that[0] kline[0] starred[0] it[0] looked[0] like[1] a[0] hilarious[2] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
i got sucker punched by the trailer to an extent , however , as i also thought , " wow , if there's this much funny stuff in the trailer , there must be a ton of laughs in the rest of the film . " 	i got sucker punched by the trailer to an extent , however , as i also thought , " wow , if there's this much funny stuff in the trailer , there must be a ton of laughs in the rest of the film .<br> "	3	-2	 i[0] got[0] sucker[-1] punched[-1] by[0] the[0] trailer[0] to[0] an[0] extent[0] however[0] as[0] i[0] also[0] thought[0] wow[2] if[0] there's[0] this[0] much[0] funny[1] stuff[0] in[0] the[0] trailer[0] there[0] must[0] be[0] a[0] ton[0] of[0] laughs[1] in[0] the[0] rest[0] of[0] the[0] film[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 ( oops ) i packed up the wife and headed to les cinemas del diablo ( my name for our local multi-multi-plex . ) 	 ( oops ) i packed up the wife and headed to les cinemas del diablo ( my name for our local multi-multi-plex .<br> )	1	-1	 oops[0] i[0] packed[0] up[0] the[0] wife[0] and[0] headed[0] to[0] les[0] cinemas[0] del[0] diablo[0] my[0] name[0] for[0] our[0] local[0] multi[0] multi[0] plex[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film began . . . . 	the film began .<br> .<br> .<br> .	1	-1	 the[0] film[0] began[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the film concerns an english/drama teacher at a suburban high school , named howard brackett . 	the film concerns an english/drama teacher at a suburban high school , named howard bracket .	1	-2	 the[0] film[0] concerns[-1] an[0] english/drama[0] teacher[0] at[0] a[0] suburban[0] high[0] school[0] named[0] howard[0] brackett/bracket[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he loves poetry and great literary works , but his class is more interested in his famous former student , played by matt dillon . 	he loves poetry and great literary works , but his class is more interested in his famous former student , played by matt dillon .	3	-1	 he[0] loves[2] poetry[0] and[0] great[2] literary[0] works[0] but[0] his[0] class[0] is[0] more[0] interested[1] in[0] his[0] famous[0] former[0] student[0] played[0] by[0] matt[0] dillon[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 ( i'd put in his name , but my wife won't let me take notes during a movie and i've forgotten it . ) 	 ( i'd put in his name , but my wife won't let me take notes during a movie and i've forgotten it .<br> )	1	-1	 i'd[0] put[0] in[0] his[0] name[0] but[0] my[0] wife[0] won't[0] let[0] me[0] take[0] notes[0] during[0] a[0] movie[0] and[0] i've[0] forgotten[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
they continually interrupt his long poetic expositions with fawning questions about him . 	they continually interrupt his long poetic expositions with fawning questions about him .	1	-2	 they[0] continually[0] interrupt[-1] his[0] long[0] poetic[0] expositions[0] with[0] fawning[0] questions[0] about[0] him[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
brackett has been engaged to another teacher ( played by joan cusack ) for three years , and has finally gotten up the gumption to marry her . 	bracket has been engaged to another teacher ( played by joan cusack ) for three years , and has finally gotten up the gumption to marry her .	1	-1	 brackett/bracket[0] has[0] been[0] engaged[0] to[0] another[0] teacher[0] played[0] by[0] joan[0] cusack[0] for[0] three[0] years[0] and[0] has[0] finally[0] gotten[0] up[0] the[0] gumption[0] to[0] marry[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the wedding , however , becomes the big question mark of the film as this famous student of his says during the live oscar broadcast that brackett is a homosexual . 	the wedding , however , becomes the big question mark of the film as this famous student of his says during the live oscar broadcast that bracket is a homosexual .	1	-1	 the[0] wedding[0] however[0] becomes[0] the[0] big[0] question[0] mark[0] of[0] the[0] film[0] as[0] this[0] famous[0] student[0] of[0] his[0] says[0] during[0] the[0] live[0] oscar[0] broadcast[0] that[0] brackett/bracket[0] is[0] a[0] homosexual[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
