a big , busy boxing satire with a surprisingly paltry punch , the great white hype stars samuel l . jackson as a shameless boxing promoter whose plan to boost sagging pay-per-view revenues is to " invent " a white contender ( peter berg ) to challenge his black heavyweight " champ " ( damon wayans ) . 	Translation	Positive	Negative	EmotionRationale
 ( the logic is that people will pay more to see black vs . white than black vs . black . ) 	 ( the logic is that people will pay more to see black vs .<br> white than black vs .<br> black .<br> )	1	-1	 the[0] logic[0] is[0] that[0] people[0] will[0] pay[0] more[0] to[0] see[0] black[0] vs[0] [[Sentence=-1,1=word max, 1-5]] white[0] than[0] black[0] vs[0] [[Sentence=-1,1=word max, 1-5]] black[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he may be right , in an absurdly accurate way , but the film doesn't give us a reason to care . 	he may be right , in an absurdly accurate way , but the film doesn't give us a reason to care .	2	-2	 he[0] may[0] be[0] right[0] in[0] an[0] absurdly[-1] accurate[0] way[0] but[0] the[0] film[0] doesn't[0] give[0] us[0] a[0] reason[0] to[0] care[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
as a scathing sports spoof , hype is just that : unfunny , unfocused , and , at times , just plain pointless . 	as a scathing sports spoof , hype is just that : unfunny , unfocused , and , at times , just plain pointless .	1	-2	 as[0] a[0] scathing[0] sports[0] spoof[0] hype[0] is[0] just[0] that[0] unfunny[0] unfocused[0] and[0] at[0] times[0] just[0] plain[0] pointless[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
as a commentary on race relations , it's even * less * effective . 	as a commentary on race relations , it's even * less * effective .	1	-1	 as[0] a[0] commentary[0] on[0] race[0] relations[0] it's[0] even[0] less[0] effective[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the dialogue is the best of this mess , lines like jon lovitz exclaiming " i cannot make caviar out of fish eggs ! " 	the dialogue is the best of this mess , lines like jon lovitz exclaiming " i cannot make caviar out of fish eggs !<br> "	2	-1	 the[0] dialogue[0] is[0] the[0] best[1] of[0] this[0] mess[0] lines[0] like[1] jon[0] lovitz[0] exclaiming[0] i[0] cannot[0] make[0] caviar[0] out[0] of[0] fish[0] eggs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
writers tony hendra and ron shelton also do good on the street slang , though we never hear enough of it . 	writers tony hendra and ron shelton also do good on the street slang , though we never hear enough of it .	2	-1	 writers[0] tony[0] hendra[0] and[0] ron[0] shelton[0] also[0] do[0] good[1] on[0] the[0] street[0] slang[0] though[0] we[0] never[0] hear[0] enough[0] of[0] it[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the script isn't strong enough , though , to support the aggressive camera work of director reginald hudlin ( house party ) . 	the script isn't strong enough , though , to support the aggressive camera work of director reginald hudlin ( house party ) .	2	-3	 the[0] script[0] isn't[0] strong[0] enough[0] though[0] to[0] support[1] the[0] aggressive[-2] camera[0] work[0] of[0] director[0] reginald[0] hudlin[0] house[0] party[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
he comes across as absolute overkill . 	he comes across as absolute overkill .	1	-1	 he[0] comes[0] across[0] as[0] absolute[0] overkill[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the great white hype * almost * turns around at the end , at the big match , when hudlin attempts an extended gag of rock-concert proportions . 	the great white hype * almost * turns around at the end , at the big match , when hudlin attempts an extended gag of rock-concert proportions .	3	-1	 the[0] great[2] white[0] hype[0] almost[0] turns[0] around[0] at[0] the[0] end[0] at[0] the[0] big[0] match[0] when[0] hudlin[0] attempts[0] an[0] extended[0] gag[0] of[0] rock[1] concert[0] proportions[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
with costumed dwarfs , gangsta rappers , and the " champ " dressed as death , only then do we get a glimpse of the spoof that should've been . 	with costumed dwarfs , gangsta rappers , and the " champ " dressed as death , only then do we get a glimpse of the spoof that should've been .	1	-3	 with[0] costumed[0] dwarfs[0] gangsta[0] rappers[0] and[0] the[0] champ[0] dressed[0] as[0] death[-2] only[0] then[0] do[0] we[0] get[0] a[0] glimpse[0] of[0] the[0] spoof[0] that[0] should've[0] been[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
