i know there were times during this movie that i laughed pretty hard . 	Translation	Positive	Negative	EmotionRationale
the problem is , i can't remember them as i write this review . 	the problem is , i can't remember them as i write this review .	1	-2	 the[0] problem[-1] is[0] i[0] can't[0] remember[0] them[0] as[0] i[0] write[0] this[0] review[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's not a good sign . 	that's not a good sign .	1	-2	 that's[0] not[0] a[0] good[1][NegatedDueToPreviousWord] sign[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
in booty call , jamie foxx is bunz , a character whom i can't really describe , because i don't know that much about him . 	in booty call , jamie fox is bunz , a character whom i can't really describe , because i don't know that much about him .	1	-1	 in[0] booty[0] call[0] jamie[0] foxx/fox[0] is[0] bunz[0] a[0] character[0] whom[0] i[0] can't[0] really[0] describe[0] because[0] i[0] don't[0] know[0] that[0] much[0] about[0] him[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i only know that he likes to shoot dice on the sidewalk , and that he doesn't like relationships , just " booty calls " at three in the morning ( no questions , no commitment ) . 	i only know that he likes to shoot dice on the sidewalk , and that he doesn't like relationships , just " booty calls " at three in the morning ( no questions , no commitment ) .	3	-2	 i[0] only[0] know[0] that[0] he[0] likes[2] to[0] shoot[-1] dice[0] on[0] the[0] sidewalk[0] and[0] that[0] he[0] doesn't[0] like[1] relationships[0] just[0] booty[0] calls[0] at[0] three[0] in[0] the[0] morning[0] no[0] questions[0] no[0] commitment[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
bunz has a best friend named rushon ( tommy davidson ) , who seems to be bunz's direct opposite : on the straight and narrow , and currently in a long-term commitment ( a whole seven weeks , wow ! ) . 	bunz has a best friend named rushon ( tommy davidson ) , who seems to be bunz's direct opposite : on the straight and narrow , and currently in a long-term commitment ( a whole seven weeks , wow !<br> ) .	3	-1	 bunz[0] has[0] a[0] best[1] friend[1] named[0] rushon[0] tommy[0] davidson[0] who[0] seems[0] to[0] be[0] bunz's[0] direct[0] opposite[0] on[0] the[0] straight[0] and[0] narrow[0] and[0] currently[0] in[0] a[0] long[0] term[0] commitment[0] a[0] whole[0] seven[0] weeks[0] wow[2] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
rushon wants to finally sleep with his girlfriend , nikki ( tamala jones ) , but for a reason which is not totally explained , it's going to happen after a double date with bunz and nikki's friend lysterine ( vivica a . fox ) , who have never met . 	rushon wants to finally sleep with his girlfriend , niki ( tamala jones ) , but for a reason which is not totally explained , it's going to happen after a double date with bunz and niki's friend lysterine ( vivica a .<br> fox ) , who have never met .	2	-1	 rushon[0] wants[0] to[0] finally[0] sleep[0] with[0] his[0] girlfriend[0] nikki/niki[0] tamala[0] jones[0] but[0] for[0] a[0] reason[0] which[0] is[0] not[0] totally[0] explained[0] it's[0] going[0] to[0] happen[0] after[0] a[0] double[0] date[0] with[0] bunz[0] and[0] nikki's/niki's[0] friend[1] lysterine[0] vivica[0] a[0] [[Sentence=-1,2=word max, 1-5]] fox[0] who[0] have[0] never[0] met[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
to make a long story short , the two couples pair off and spend the rest of the evening having their attempts to do the deed spoiled by nikki's obsession with safe sex . 	to make a long story short , the two couples pair off and spend the rest of the evening having their attempts to do the deed spoiled by niki's obsession with safe sex .	2	-3	 to[0] make[0] a[0] long[0] story[0] short[0] the[0] two[0] couples[0] pair[0] off[0] and[0] spend[0] the[0] rest[0] of[0] the[0] evening[0] having[0] their[0] attempts[0] to[0] do[0] the[0] deed[0] spoiled[-1] by[0] nikki's/niki's[0] obsession[-2] with[0] safe[1] sex[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
first she wants condoms , so bunz and rushon go out and get them . 	first she wants condoms , so bunz and rushon go out and get them .	1	-1	 first[0] she[0] wants[0] condoms[0] so[0] bunz[0] and[0] rushon[0] go[0] out[0] and[0] get[0] them[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
oh , no , they have to be latex , not lambskin . 	oh , no , they have to be latex , not lambskin .	1	-1	 oh[0] no[0] they[0] have[0] to[0] be[0] latex[0] not[0] lambskin[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
back to the store . 	back to the store .	1	-1	 back[0] to[0] the[0] store[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now they've got to get dental dams , or there'll be no foreplay . 	now they've got to get dental dams , or there'll be no foreplay .	1	-2	 now[0] they've[0] got[0] to[0] get[0] dental[-1] dams[0] or[0] there'll[0] be[0] no[0] foreplay[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
why are both couples stopped each time nikki makes a demand ? 	why are both couples stopped each time niki makes a demand ?	1	-1	 why[0] are[0] both[0] couples[0] stopped[0] each[0] time[0] nikki/niki[0] makes[0] a[0] demand[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nikki phones lysterine , who lives across the hall , and tells her she'd better be making these demands , too . 	niki phones lysterine , who lives across the hall , and tells her she'd better be making these demands , too .	1	-1	 nikki/niki[0] phones[0] lysterine[0] who[0] lives[0] across[0] the[0] hall[0] and[0] tells[0] her[0] she'd[0] better[0] be[0] making[0] these[0] demands[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
talk about coitus interruptus . 	talk about coitus interruptus .	1	-2	 talk[0] about[0] coitus[0] interruptus[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
booty call is a film that does not know whether it wants to be a regular comedy or one of those over-the-top comedies . 	booty call is a film that does not know whether it wants to be a regular comedy or one of those over-the-top comedies .	1	-1	 booty[0] call[0] is[0] a[0] film[0] that[0] does[0] not[0] know[0] whether[0] it[0] wants[0] to[0] be[0] a[0] regular[0] comedy[0] or[0] one[0] of[0] those[0] over[0] the[0] top[0] comedies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the difference between the two is that in the latter , things constantly happen which are so far removed from reality . 	the difference between the two is that in the latter , things constantly happen which are so far removed from reality .	1	-1	 the[0] difference[0] between[0] the[0] two[0] is[0] that[0] in[0] the[0] latter[0] things[0] constantly[0] happen[0] which[0] are[0] so[0] far[0] removed[0] from[0] reality[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in this category , for example , you have ace ventura : private eye on the mild side , and airplane ! 	in this category , for example , you have ace ventura : private eye on the mild side , and airplane !	1	-1	 in[0] this[0] category[0] for[0] example[0] you[0] have[0] ace[0] ventura[0] private[0] eye[0] on[0] the[0] mild[0] side[0] and[0] airplane[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at the extreme . 	at the extreme .	1	-1	 at[0] the[0] extreme[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
