retelling the classic story of joan of arc has been a popular trend this year . 	Translation	Positive	Negative	EmotionRationale
earlier this may , leelee sobieski played the passionate title role in the top-rated miniseries that debuted on cbs . 	earlier this may , leelee sobieski played the passionate title role in the top-rated miniseries that debuted on cbs .	3	-1	 earlier[0] this[0] may[0] leelee[0] sobieski[0] played[0] the[0] passionate[2] title[0] role[0] in[0] the[0] top[0] rated[0] miniseries[0] that[0] debuted[0] on[0] cbs[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
and now , director luc besson has delivered his version of the sweeping epic about the teenage girl supposedly sent by god to rescue france from the clutches of their enemies . 	and now , director luc besson has delivered his version of the sweeping epic about the teenage girl supposedly sent by god to rescue france from the clutches of their enemies .	1	-2	 and[0] now[0] director[0] luc[0] besson[0] has[0] delivered[0] his[0] version[0] of[0] the[0] sweeping[0] epic[0] about[0] the[0] teenage[0] girl[0] supposedly[0] sent[0] by[0] god[0] to[0] rescue[0] france[0] from[0] the[0] clutches[0] of[0] their[0] enemies[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
starring milla jovovich , who is predominantly unconvincing as the heavenly messenger accused of being a witch ,  the messenger : the story of joan of arc' is a disjointed and overblown historical re-enactment that prevails merely as a bloated mistreatment of the famous legend . 	starring milla jovovich , who is predominantly unconvincing as the heavenly messenger accused of being a witch ,  the messenger : the story of joan of arc' is a disjointed and overblown historical re-enactment that prevails merely as a bloated mistreatment of the famous legend .	2	-2	 starring[0] milla[0] jovovich[0] who[0] is[0] predominantly[0] unconvincing[0] as[0] the[0] heavenly[1] messenger[0] accused[-1] of[0] being[0] a[0] witch[0] the[0] messenger[0] the[0] story[0] of[0] joan[0] of[0] arc'[0] is[0] a[0] disjointed[0] and[0] overblown[0] historical[0] re[0] enactment[0] that[0] prevails[0] merely[0] as[0] a[0] bloated[0] mistreatment[0] of[0] the[0] famous[0] legend[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
besson ( who's previous work includes the hyperactive sci-fi  the fifth element' ) perhaps entrusted a bit too much faith in ex-wife jovovich , because in  the messenger' , the actress is drowning in a pool of her own inexperience . 	besson ( who's previous work includes the hyperactive sci-fi  the fifth element' ) perhaps entrusted a bit too much faith in ex-wife jovovich , because in  the messenger' , the actress is drowning in a pool of her own inexperience .	2	-2	 besson[0] who's[0] previous[0] work[0] includes[0] the[0] hyperactive[0] sci[0] fi[0] the[0] fifth[0] element'[0] perhaps[0] entrusted[0] a[0] bit[0] too[0] much[0] faith[1] in[0] ex[0] wife[0] jovovich[0] because[0] in[0] the[0] messenger'[0] the[0] actress[0] is[0] drowning[-1] in[0] a[0] pool[0] of[0] her[0] own[0] inexperience[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
at first , when reports were indicating that jovovich had been chosen for such a demanding role , i was highly doubtful that her marginal talent could carry a film of such a caliber . 	at first , when reports were indicating that jovovich had been chosen for such a demanding role , i was highly doubtful that her marginal talent could carry a film of such a caliber .	2	-2	 at[0] first[0] when[0] reports[0] were[0] indicating[0] that[0] jovovich[0] had[0] been[0] chosen[0] for[0] such[0] a[0] demanding[0] role[0] i[0] was[0] highly[0] doubtful[-1] that[0] her[0] marginal[-1] talent[1] could[0] carry[0] a[0] film[0] of[0] such[0] a[0] caliber[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
after seeing the rousing trailer , my hesitant optimism suddenly skyrocketed - milla jovovich looked superb . 	after seeing the rousing trailer , my hesitant optimism suddenly skyrocketed - milla jovovich looked superb .	2	-1	 after[0] seeing[0] the[0] rousing[0] trailer[0] my[0] hesitant[0] optimism[1] suddenly[0] skyrocketed[0] milla[0] jovovich[0] looked[0] superb[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
with the hopeful propulsion of her stellar performance ,  the messenger' looked like a timeless epic in the making . 	with the hopeful propulsion of her stellar performance ,  the messenger' looked like a timeless epic in the making .	2	-1	 with[0] the[0] hopeful[1] propulsion[0] of[0] her[0] stellar[0] performance[0] the[0] messenger'[0] looked[0] like[1] a[0] timeless[0] epic[0] in[0] the[0] making[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
a timeless epic it is not . 	a timeless epic it is not .	1	-1	 a[0] timeless[0] epic[0] it[0] is[0] not[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
besson is hesitant to abandon his unique and flashy style , and the story behind  the messenger' is not entirely suited to his demands . 	besson is hesitant to abandon his unique and flashy style , and the story behind  the messenger' is not entirely suited to his demands .	1	-2	 besson[0] is[0] hesitant[0] to[0] abandon[-1] his[0] unique[0] and[0] flashy[0] style[0] and[0] the[0] story[0] behind[0] the[0] messenger'[0] is[0] not[0] entirely[0] suited[0] to[0] his[0] demands[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
on the shoulders of besson's choppy and unexciting direction , the film dissipates into an uninspiring hodgepodge of poorly executed battle sequences and bizarre imagery . 	on the shoulders of besson's choppy and unexciting direction , the film dissipates into an uninspiring hodgepodge of poorly executed battle sequences and bizarre imagery .	1	-2	 on[0] the[0] shoulders[0] of[0] besson's[0] choppy[0] and[0] unexciting[0] direction[0] the[0] film[0] dissipates[0] into[0] an[0] uninspiring[0] hodgepodge[0] of[0] poorly[-1] executed[-1] battle[-1] sequences[0] and[0] bizarre[-1] imagery[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
