by starring in amy heckerling's " clueless " two summers ago , alicia silverstone proved she wasn't just another pretty , pouty ingenue , showing a buoyant comedic craftiness that blew all previous jobs -- namely a stint as the aerosmith girl and a silly turn as the lethal lolita of " the crush " -- out of the water . 	Translation	Positive	Negative	EmotionRationale
her only work since that 1995 gem has been in june's " batman & robin , " where she overcame the underwritten role of batgirl . 	her only work since that 1995 gem has been in june's " batman & robin , " where she overcame the underwritten role of batgirl .	1	-1	 her[0] only[0] work[0] since[0] that[0] 1995[0] gem[0] has[0] been[0] in[0] june's[0] batman[0] &[0] robin[0] where[0] she[0] overcame[0] the[0] underwritten[0] role[0] of[0] batgirl[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
now , she's the star and producer of " excess baggage , " a hopelessly phony film that demonstrates how an ill-composed story can drag an otherwise solid performer down to its level . 	now , she's the star and producer of " excess baggage , " a hopelessly phony film that demonstrates how an ill-composed story can drag an otherwise solid performer down to its level .	1	-4	 now[0] she's[0] the[0] star[0] and[0] producer[0] of[0] excess[-1] baggage[0] a[0] hopelessly[-3] phony[0] film[0] that[0] demonstrates[0] how[0] an[0] ill[-1] composed[0] story[0] can[0] drag[-1] an[0] otherwise[0] solid[0] performer[0] down[0] to[0] its[0] level[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
silverstone's emily t . hope is stuck with a billionaire father ( jack thompson ) who neglects her emotionally . 	silverstone's emily t .<br> hope is stuck with a billionaire father ( jack thompson ) who neglects her emotionally .	3	-1	 silverstone's[0] emily[0] t[0] [[Sentence=-1,1=word max, 1-5]] hope[2] is[0] stuck[0] with[0] a[0] billionaire[0] father[0] jack[0] thompson[0] who[0] neglects[0] her[0] emotionally[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in an outlandish plan to gain his affection , she fakes her own kidnapping -- emily uses an electronically disguised voice to call her dad and set a pricey ransom , ties her legs together and mouth shut with duct tape and locks herself in the trunk of her bmw . 	in an outlandish plan to gain his affection , she fakes her own kidnapping - emily uses an electronically disguised voice to call her dad and set a pricey ransom , ties her legs together and mouth shut with duct tape and locks herself in the trunk of her bmw .	3	-2	 in[0] an[0] outlandish[0] plan[0] to[0] gain[0] his[0] affection[2] she[0] fakes[-1] her[0] own[0] kidnapping[0] emily[0] uses[0] an[0] electronically[0] disguised[0] voice[0] to[0] call[0] her[0] dad[0] and[0] set[0] a[0] pricey[0] ransom[0] ties[0] her[0] legs[0] together[0] and[0] mouth[0] shut[0] with[0] duct[0] tape[0] and[0] locks[0] herself[0] in[0] the[0] trunk[0] of[0] her[0] bmw[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
but before the police can " rescue " her , professional auto thief vincent roche ( benicio del toro ) jimmies the locks , hot-wires the engine and makes off with both the car and emily , who's still trapped in the back . 	but before the police can " rescue " her , professional auto thief vincent roche ( benicio del toro ) jimmies the locks , hot-wires the engine and makes off with both the car and emily , who's still trapped in the back .	1	-2	 but[0] before[0] the[0] police[0] can[0] rescue[0] her[0] professional[0] auto[0] thief[-1] vincent[0] roche[0] benicio[0] del[0] toro[0] jimmies[0] the[0] locks[0] hot[0] wires[0] the[0] engine[0] and[0] makes[0] off[0] with[0] both[0] the[0] car[0] and[0] emily[0] who's[0] still[0] trapped[0] in[0] the[0] back[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when vincent discovers emily , the two don't exactly hit it off -- she annoys him , he annoys her , and at the advice of his slimy car salesman partner ( harry connick , jr . ) , he decides to drive her out to the middle of nowhere and leave her there . 	when vincent discovers emily , the two don't exactly hit it off - she annoys him , he annoys her , and at the advice of his slimy car salesman partner ( harry connick , jr .<br> ) , he decides to drive her out to the middle of nowhere and leave her there .	1	-3	 when[0] vincent[0] discovers[0] emily[0] the[0] two[0] don't[0] exactly[0] hit[0] it[0] off[0] she[0] annoys[-2] him[0] he[0] annoys[-2] her[0] and[0] at[0] the[0] advice[0] of[0] his[0] slimy[0] car[0] salesman[0] partner[0] harry[0] connick[0] jr[0] [[Sentence=-3,1=word max, 1-5]] he[0] decides[0] to[0] drive[0] her[0] out[0] to[0] the[0] middle[0] of[0] nowhere[0] and[0] leave[0] her[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
along the way , of course , they get into a whole heap of trouble , and come to realize that being together is the only way to get out of their sticky , felony-studded situation . 	along the way , of course , they get into a whole heap of trouble , and come to realize that being together is the only way to get out of their sticky , felony-studded situation .	1	-2	 along[0] the[0] way[0] of[0] course[0] they[0] get[0] into[0] a[0] whole[0] heap[0] of[0] trouble[-1] and[0] come[0] to[0] realize[0] that[0] being[0] together[0] is[0] the[0] only[0] way[0] to[0] get[0] out[0] of[0] their[0] sticky[0] felony[0] studded[0] situation[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it doesn't help matters that emily and vincent are being trailed by cops , crooks and even her shady uncle ray ( christopher walken ) , who's wise to his niece's ploys for attention and has mafia connections . 	it doesn't help matters that emily and vincent are being trailed by cops , crooks and even her shady uncle ray ( christopher walken ) , who's wise to his niece's ploys for attention and has mafia connections .	1	-2	 it[0] doesn't[0] help[0] matters[0] that[0] emily[0] and[0] vincent[0] are[0] being[0] trailed[0] by[0] cops[0] crooks[0] and[0] even[0] her[0] shady[-1] uncle[0] ray[0] christopher[0] walken[0] who's[0] wise[0] to[0] his[0] niece's[0] ploys[0] for[0] attention[0] and[0] has[0] mafia[0] connections[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
for at least a half-hour , " excess baggage " bounces along fast and efficiently . 	for at least a half-hour , " excess baggage " bounces along fast and efficiently .	1	-2	 for[0] at[0] least[0] a[0] half[0] hour[0] excess[-1] baggage[0] bounces[0] along[0] fast[0] and[0] efficiently[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
during this time , emily and vincent sport engaging personalities as well as a nice role-reversal twist -- she's an awfully aggressive , combative victim and he's quite the aloof , seemingly vulnerable captor . 	during this time , emily and vincent sport engaging personalities as well as a nice role-reversal twist - she's an awfully aggressive , combative victim and he's quite the aloof , seemingly vulnerable captor .	2	-4	 during[0] this[0] time[0] emily[0] and[0] vincent[0] sport[0] engaging[0] personalities[0] as[0] well[0] as[0] a[0] nice[1] role[0] reversal[0] twist[0] she's[0] an[0] awfully[-3] aggressive[-2][-1 MultiplePositiveWords] combative[0] victim[-2] and[0] he's[0] quite[0] the[0] aloof[-1] seemingly[0] vulnerable[-2] captor[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
but once it's past its set-up , the situation suddenly becomes uninvolving as the story tries to be too many things at once . 	but once it's past its set-up , the situation suddenly becomes uninvolving as the story tries to be too many things at once .	1	-1	 but[0] once[0] it's[0] past[0] its[0] set[0] up[0] the[0] situation[0] suddenly[0] becomes[0] uninvolving[0] as[0] the[0] story[0] tries[0] to[0] be[0] too[0] many[0] things[0] at[0] once[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a road movie , a teen comedy , a mob thriller , a drama about family relationships -- you name the cliche and " excess baggage " likely covers its territory . 	a road movie , a teen comedy , a mob thriller , a drama about family relationships - you name the cliche and " excess baggage " likely covers its territory .	2	-2	 a[0] road[0] movie[0] a[0] teen[0] comedy[0] a[0] mob[0] thriller[1] a[0] drama[0] about[0] family[0] relationships[0] you[0] name[0] the[0] cliche[0] and[0] excess[-1] baggage[0] likely[0] covers[0] its[0] territory[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
of course a romance develops between the two leads , but it all seems forced , and thus characterization is manipulated to cause the finally happy outcome . 	of course a romance develops between the two leads , but it all seems forced , and thus characterization is manipulated to cause the finally happy outcome .	4	-2	 of[0] course[0] a[0] romance[3] develops[0] between[0] the[0] two[0] leads[0] but[0] it[0] all[0] seems[0] forced[0] and[0] thus[0] characterization[0] is[0] manipulated[-1] to[0] cause[0] the[0] finally[0] happy[1] outcome[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
