in double jeopardy , the stakes are high . 	Translation	Positive	Negative	EmotionRationale
think of the plot as a rehash of sleeping with the enemy , and then rearrange the details and the gender of the stalker . 	think of the plot as a rehash of sleeping with the enemy , and then rearrange the details and the gender of the stalker .	1	-2	 think[0] of[0] the[0] plot[0] as[0] a[0] rehash[0] of[0] sleeping[0] with[0] the[0] enemy[-1] and[0] then[0] rearrange[0] the[0] details[0] and[0] the[0] gender[0] of[0] the[0] stalker[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the finished product , although able to maintain the viewer's attention , is a predictable and unexciting thriller with an idiotic script . 	the finished product , although able to maintain the viewer's attention , is a predictable and unexciting thriller with an idiotic script .	2	-3	 the[0] finished[0] product[0] although[0] able[0] to[0] maintain[0] the[0] viewer's[0] attention[0] is[0] a[0] predictable[0] and[0] unexciting[0] thriller[1] with[0] an[0] idiotic[-2] script[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
 alex , i'll take homicide for  400 . . . ' 	 alex , i'll take homicide for  400 .<br> .<br> .<br> '	1	-1	 alex[0] i'll[0] take[0] homicide[0] for[0] 400[0] [[Sentence=-1,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
libby parsons ( ashley judd ) is a happily married mom leading a normal life . 	libby parsons ( ashley judd ) is a happily married mom leading a normal life .	3	-1	 libby[0] parsons[0] ashley[0] judd[0] is[0] a[0] happily[2] married[0] mom[0] leading[0] a[0] normal[0] life[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
one night , her husband nick ( bruce greenwood ) takes her out for a romantic escape on a sailboat . 	one night , her husband nick ( bruce greenwood ) takes her out for a romantic escape on a sailboat .	4	-1	 one[0] night[0] her[0] husband[0] nick[0] bruce[0] greenwood[0] takes[0] her[0] out[0] for[0] a[0] romantic[3] escape[0] on[0] a[0] sailboat[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
libby awakens in the middle of the night to find she is covered in blood and nick has strangely disappeared . 	libby awakens in the middle of the night to find she is covered in blood and nick has strangely disappeared .	1	-1	 libby[0] awakens[0] in[0] the[0] middle[0] of[0] the[0] night[0] to[0] find[0] she[0] is[0] covered[0] in[0] blood[0] and[0] nick[0] has[0] strangely[0] disappeared[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
she follows a trail of bloody footprints up to the deck , where she handles a fallen knife ( like any stupid character ) and is spotted by the coast guard , who are responding to a distress signal sent earlier in the evening . 	she follows a trail of bloody footprints up to the deck , where she handles a fallen knife ( like any stupid character ) and is spotted by the coast guard , who are responding to a distress signal sent earlier in the evening .	2	-3	 she[0] follows[0] a[0] trail[0] of[0] bloody[-1] footprints[0] up[0] to[0] the[0] deck[0] where[0] she[0] handles[0] a[0] fallen[0] knife[-1] like[1] any[0] stupid[-1] character[0] and[0] is[0] spotted[0] by[0] the[0] coast[0] guard[0] who[0] are[0] responding[0] to[0] a[0] distress[-2] signal[0] sent[0] earlier[0] in[0] the[0] evening[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nick is presumed dead , and although she pleads her innocence , libby is tried and convicted for the murder of her husband . 	nick is presumed dead , and although she pleads her innocence , libby is tried and convicted for the murder of her husband .	2	-4	 nick[0] is[0] presumed[0] dead[-2] and[0] although[0] she[0] pleads[0] her[0] innocence[1] libby[0] is[0] tried[0] and[0] convicted[-1] for[0] the[0] murder[-3] of[0] her[0] husband[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
now , please don't think i'm spoiling any vital plot details , because the informative trailer has already spilled most of the beans . 	now , please don't think i'm spoiling any vital plot details , because the informative trailer has already spilled most of the beans .	2	-2	 now[0] please[1] don't[0] think[0] i'm[0] spoiling[-1] any[0] vital[0] plot[0] details[0] because[0] the[0] informative[0] trailer[0] has[0] already[0] spilled[-1] most[0] of[0] the[0] beans[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
if you haven't seen this preview , don't read any further . 	if you haven't seen this preview , don't read any further .	1	-1	 if[0] you[0] haven't[0] seen[0] this[0] preview[0] don't[0] read[0] any[0] further[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
