it's almost amusing to watch 21-year old christina ricci get drastically overshadowed in sally potter's follow-up to 1997's the tango lesson , the man who cried . 	Translation	Positive	Negative	EmotionRationale
the gen-y actress , with her cold stare and big , black eyes , has appeared in an impressive range of films ; but she doesn't even come close to being the bold heroine the film , set against the historical backdrop of world war 2 , requires her to be . 	the gen-y actress , with her cold stare and big , black eyes , has appeared in an impressive range of films ; but she doesn't even come close to being the bold heroine the film , set against the historical backdrop of world war 2 , requires her to be .	3	-3	 the[0] gen[0] y[0] actress[0] with[0] her[0] cold[-1] stare[0] and[0] big[0] black[0] eyes[0] has[0] appeared[0] in[0] an[0] impressive[1] range[0] of[0] films[0] but[0] she[0] doesn't[0] even[0] come[0] close[0] to[0] being[0] the[0] bold[0] heroine[2] the[0] film[0] set[0] against[-1] the[0] historical[0] backdrop[0] of[0] world[0] war[-2] 2[0] requires[0] her[0] to[0] be[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
ricci , whose character is shockingly silent and blank , showing only the occasional smile or hint of concern , shares most of her scenes with the astounding cate blanchett : quite an amusing sight to behold . 	ricci , whose character is shockingly silent and blank , showing only the occasional smile or hint of concern , shares most of her scenes with the astounding cate blanchett : quite an amusing sight to behold .	3	-3	 ricci[0] whose[0] character[0] is[0] shockingly[-2] silent[0] and[0] blank[0] showing[0] only[0] the[0] occasional[0] smile[2] or[0] hint[0] of[0] concern[-1] shares[0] most[0] of[0] her[0] scenes[0] with[0] the[0] astounding[0] cate[0] blanchett[0] quite[0] an[0] amusing[1] sight[0] to[0] behold[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
blanchett's lola , a paris dwelling dancer who befriends the aspiring singer suzie , is bold , interesting and layered ? everything our heroine lacks . 	blanchett's lola , a paris dwelling dancer who befriends the aspiring singer suzie , is bold , interesting and layered ?<br> everything our heroine lacks .	3	-1	 blanchett's[0] lola[0] a[0] paris[0] dwelling[0] dancer[0] who[0] befriends[0] the[0] aspiring[0] singer[0] suzie[0] is[0] bold[0] interesting[1] and[0] layered[0] [[Sentence=-1,2=word max, 1-5]] everything[0] our[0] heroine[2] lacks[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
co-star of the upcoming lord of the rings trilogy , blanchett has a good seven inches on ricci , sports twice the makeup and dons a flashy wardrobe . 	co-star of the upcoming lord of the rings trilogy , blanchett has a good seven inches on ricci , sports twice the makeup and dons a flashy wardrobe .	2	-1	 co[0] star[0] of[0] the[0] upcoming[0] lord[0] of[0] the[0] rings[0] trilogy[0] blanchett[0] has[0] a[0] good[1] seven[0] inches[0] on[0] ricci[0] sports[0] twice[0] the[0] makeup[0] and[0] dons[0] a[0] flashy[0] wardrobe[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the actress inhabits the role ? as she always so remarkably does ? with a fervor and life that makes you want her to hold the screen as the film's lead rather than her dull companion . 	the actress inhabits the role ?<br> as she always so remarkably does ?<br> with a fervor and life that makes you want her to hold the screen as the film's lead rather than her dull companion .	1	-2	 the[0] actress[0] inhabits[0] the[0] role[0] [[Sentence=-1,1=word max, 1-5]] as[0] she[0] always[0] so[0] remarkably[0] does[0] [[Sentence=-1,1=word max, 1-5]] with[0] a[0] fervor[0] and[0] life[0] that[0] makes[0] you[0] want[0] her[0] to[0] hold[0] the[0] screen[0] as[0] the[0] film's[0] lead[0] rather[0] than[0] her[0] dull[-1] companion[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
important historical events involving hitler and his nazis scatter themselves across the film ; these landmarks serve as the film's little conflict . 	important historical events involving hitler and his nazis scatter themselves across the film ; these landmarks serve as the film's little conflict .	1	-2	 important[0] historical[0] events[0] involving[0] hitler[0] and[0] his[0] nazis[-1] scatter[0] themselves[0] across[0] the[0] film[0] these[0] landmarks[0] serve[0] as[0] the[0] film's[0] little[0] conflict[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
obviously , the tables are turned in the life of suzie by these events , whose jewish origin is unknown among her parisian colleagues . 	obviously , the tables are turned in the life of suzie by these events , whose jewish origin is unknown among her parisian colleagues .	1	-1	 obviously[0] the[0] tables[0] are[0] turned[0] in[0] the[0] life[0] of[0] suzie[0] by[0] these[0] events[0] whose[0] jewish[0] origin[0] is[0] unknown[0] among[0] her[0] parisian[0] colleagues[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the man who cried has many aspirations , none of which come full circle by the film's close . 	the man who cried has many aspirations , none of which come full circle by the film's close .	1	-4	 the[0] man[0] who[0] cried[-3] has[0] many[0] aspirations[0] none[0] of[0] which[0] come[0] full[0] circle[0] by[0] the[0] film's[0] close[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
there are forced messages here and there : " go forward ; always go forward , " lola preaches to suzie ; there's romance between suzie and a fellow target of hitler's nazis , the gypsy cesar ( johnny depp , who , like ricci , barely gets to speak ) ; lola struggles with her character that desires above all things wealth and men who have it ; and at the core of all these devices lies suzie's desire to travel to america , where her father journeyed after leaving her and her mother years ago . 	there are forced messages here and there : " go forward ; always go forward , " lola preaches to suzie ; there's romance between suzie and a fellow target of hitler's nazis , the gypsy cesar ( johnny dep , who , like ricci , barely gets to speak ) ; lola struggles with her character that desires above all things wealth and men who have it ; and at the core of all these devices lies suzie's desire to travel to america , where her father journeyed after leaving her and her mother years ago .	4	-3	 there[0] are[0] forced[0] messages[0] here[0] and[0] there[0] go[0] forward[0] always[0] go[0] forward[0] lola[0] preaches[0] to[0] suzie[0] there's[0] romance[3] between[0] suzie[0] and[0] a[0] fellow[0] target[0] of[0] hitler's[0] nazis[-1] the[0] gypsy[0] cesar[0] johnny[0] depp/dep[0] who[0] like[1] ricci[0] barely[0] gets[0] to[0] speak[0] lola[0] struggles[-1] with[0] her[0] character[0] that[0] desires[0] above[0] all[0] things[0] wealth[0] and[0] men[0] who[0] have[0] it[0] and[0] at[0] the[0] core[0] of[0] all[0] these[0] devices[0] lies[-2] suzie's[0] desire[0] to[0] travel[0] to[0] america[0] where[0] her[0] father[0] journeyed[0] after[0] leaving[0] her[0] and[0] her[0] mother[0] years[0] ago[0] [[Sentence=-3,4=word max, 1-5]][[[4,-3 max of sentences]]]
the film's main problem is that potter isn't skilled enough to tell the epic-sized story of suzie . 	the film's main problem is that potter isn't skilled enough to tell the epic-sized story of suzie .	1	-2	 the[0] film's[0] main[0] problem[-1] is[0] that[0] potter[0] isn't[0] skilled[0] enough[0] to[0] tell[0] the[0] epic[0] sized[0] story[0] of[0] suzie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
