as any reasonable human being would , i must admit that occasionally i am befuddled by certain things . 	Translation	Positive	Negative	EmotionRationale
i am befuddled by fight club . 	i am befuddled by fight club .	1	-3	 i[0] am[0] befuddled[0] by[0] fight[-2] club[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
now sometimes our favorite films are panned by critics and do not achieve critical success until much later , sometimes as much as ten or twenty years later . 	now sometimes our favorite films are panned by critics and do not achieve critical success until much later , sometimes as much as ten or twenty years later .	3	-1	 now[0] sometimes[0] our[0] favorite[1] films[0] are[0] panned[0] by[0] critics[0] and[0] do[0] not[0] achieve[0] critical[-1][NegatedDueToPreviousWord] success[2] until[0] much[0] later[0] sometimes[0] as[0] much[0] as[0] ten[0] or[0] twenty[0] years[0] later[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
perhaps it is because these films are way ahead of their time . 	perhaps it is because these films are way ahead of their time .	1	-1	 perhaps[0] it[0] is[0] because[0] these[0] films[0] are[0] way[0] ahead[0] of[0] their[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
perhaps it is because they are so new and complex that only after years of allowing them to sink in do we truly appreciate and understand them . 	perhaps it is because they are so new and complex that only after years of allowing them to sink in do we truly appreciate and understand them .	2	-1	 perhaps[0] it[0] is[0] because[0] they[0] are[0] so[0] new[0] and[0] complex[0] that[0] only[0] after[0] years[0] of[0] allowing[0] them[0] to[0] sink[0] in[0] do[0] we[0] truly[1] appreciate[1] and[0] understand[0] them[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
fight club is either garbage or brilliant , but , at least right now , i must lean toward the former . 	fight club is either garbage or brilliant , but , at least right now , i must lean toward the former .	2	-3	 fight[-2] club[0] is[0] either[0] garbage[-2] or[0] brilliant[1] but[0] at[0] least[0] right[0] now[0] i[0] must[0] lean[0] toward[0] the[0] former[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
maybe i am subconsciously affected by word of mouth that has been slowly leaking throughout the media for weeks that this film is pure gold . 	maybe i am subconsciously affected by word of mouth that has been slowly leaking throughout the media for weeks that this film is pure gold .	1	-2	 maybe[0] i[0] am[0] subconsciously[0] affected[0] by[0] word[0] of[0] mouth[0] that[0] has[0] been[0] slowly[0] leaking[-1] throughout[0] the[0] media[0] for[0] weeks[0] that[0] this[0] film[0] is[0] pure[0] gold[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
but if it is , i sure don ? t see it . 	but if it is , i sure don ?<br> t see it .	1	-1	 but[0] if[0] it[0] is[0] i[0] sure[0] don[0] [[Sentence=-1,1=word max, 1-5]] t[0] see[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
edward norton plays jack , a field examiner for a major automobile manufacturer . 	edward norton plays jack , a field examiner for a major automobile manufacturer .	2	-1	 edward[0] norton[0] plays[1] jack[0] a[0] field[0] examiner[0] for[0] a[0] major[0] automobile[0] manufacturer[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
his insomnia , coupled with his compulsive desires to fill his world with ikea furniture to ? complete ? himself , make him a loser at the game of life . 	his insomnia , coupled with his compulsive desires to fill his world with ikea furniture to ?<br> complete ?<br> himself , make him a loser at the game of life .	1	-3	 his[0] insomnia[0] coupled[0] with[0] his[0] compulsive[0] desires[0] to[0] fill[0] his[0] world[0] with[0] ikea[0] furniture[0] to[0] [[Sentence=-1,1=word max, 1-5]] complete[0] [[Sentence=-1,1=word max, 1-5]] himself[0] make[0] him[0] a[0] loser[-2] at[0] the[0] game[0] of[0] life[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but when all of his worldly possessions are blown out his 15th story window , he seeks comfort in a stranger , tyler ( pitt ) whom he met on a flight home . 	but when all of his worldly possessions are blown out his 15th story window , he seeks comfort in a stranger , tyler ( pit ) whom he met on a flight home .	2	-1	 but[0] when[0] all[0] of[0] his[0] worldly[0] possessions[0] are[0] blown[0] out[0] his[0] 15th[0] story[0] window[0] he[0] seeks[0] comfort[1] in[0] a[0] stranger[0] tyler[0] pitt/pit[0] whom[0] he[0] met[0] on[0] a[0] flight[0] home[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
once jack is sucked into tyler ? s world , he can ? t get out , literally . 	once jack is sucked into tyler ?<br> s world , he can ?<br> t get out , literally .	1	-2	 once[0] jack[0] is[0] sucked[-1] into[0] tyler[0] [[Sentence=-2,1=word max, 1-5]] s[0] world[0] he[0] can[0] [[Sentence=-1,1=word max, 1-5]] t[0] get[0] out[0] literally[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
they begin fight club , an organization based on brutal and bloody fistfights that signify nothing other than to provide those that join a sense of belonging . 	they begin fight club , an organization based on brutal and bloody fistfights that signify nothing other than to provide those that join a sense of belonging .	1	-3	 they[0] begin[0] fight[-2] club[0] an[0] organization[0] based[0] on[0] brutal[-2] and[0] bloody[-1] fistfights[0] that[0] signify[0] nothing[0] other[0] than[0] to[0] provide[0] those[0] that[0] join[0] a[0] sense[0] of[0] belonging[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
as the fight club grows , things get out of control and take on cult status , beginning with one future soldier who proves his worth by standing still outside tyler ? s house for three days . 	as the fight club grows , things get out of control and take on cult status , beginning with one future soldier who proves his worth by standing still outside tyler ?<br> s house for three days .	1	-3	 as[0] the[0] fight[-2] club[0] grows[0] things[0] get[0] out[0] of[0] control[0] and[0] take[0] on[0] cult[0] status[0] beginning[0] with[0] one[0] future[0] soldier[0] who[0] proves[0] his[0] worth[0] by[0] standing[0] still[0] outside[0] tyler[0] [[Sentence=-3,1=word max, 1-5]] s[0] house[0] for[0] three[0] days[0] [[Sentence=-1,1=word max, 1-5]][[[1,-3 max of sentences]]]
i dare not even begin to bring up the last quarter of the film , since that contains the twist that ? explains ? the pointless journey . 	i dare not even begin to bring up the last quarter of the film , since that contains the twist that ?<br> explains ?<br> the pointless journey .	1	-2	 i[0] dare[0] not[0] even[0] begin[0] to[0] bring[0] up[0] the[0] last[0] quarter[0] of[0] the[0] film[0] since[0] that[0] contains[0] the[0] twist[0] that[0] [[Sentence=-1,1=word max, 1-5]] explains[0] [[Sentence=-1,1=word max, 1-5]] the[0] pointless[-1] journey[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
suffice it to say i was truly disappointed in fincher , who ? s previous two films , se7en and the game put him in a very slim category of truly brilliant young filmmakers of the next generation . 	suffice it to say i was truly disappointed in fincher , who ?<br> s previous two films , se7en and the game put him in a very slim category of truly brilliant young filmmakers of the next generation .	2	-2	 suffice[0] it[0] to[0] say[0] i[0] was[0] truly[1] disappointed[-1] in[0] fincher[0] who[0] [[Sentence=-2,2=word max, 1-5]] s[0] previous[0] two[0] films[0] se7en[0] and[0] the[0] game[0] put[0] him[0] in[0] a[0] very[0] slim[0] category[0] of[0] truly[1] brilliant[1] young[0] filmmakers[0] of[0] the[0] next[0] generation[0] [[Sentence=-1,2=word max, 1-5]][[[2,-2 max of sentences]]]
this is not to imply by any means that he is no longer a genius or capable of bringing more masterpieces to the table . 	this is not to imply by any means that he is no longer a genius or capable of bringing more masterpieces to the table .	1	-1	 this[0] is[0] not[0] to[0] imply[0] by[0] any[0] means[0] that[0] he[0] is[0] no[0] longer[0] a[0] genius[0] or[0] capable[0] of[0] bringing[0] more[0] masterpieces[0] to[0] the[0] table[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but with fight club , he has allowed his unique talent for extraordinary vision to be distorted by silly digital experiments and self-referencing film elements , such as talking to the audience about what they are seeing , telling them that the little blips in the right hand corner are signifiers that the projectionist is changing reels and that a slightly altered recurring line is good ? flashback humor ? . 	but with fight club , he has allowed his unique talent for extraordinary vision to be distorted by silly digital experiments and self-referencing film elements , such as talking to the audience about what they are seeing , telling them that the little blips in the right hand corner are signifiers that the projectionist is changing reels and that a slightly altered recurring line is good ?<br> flashback humor ?<br> .	3	-3	 but[0] with[0] fight[-2] club[0] he[0] has[0] allowed[0] his[0] unique[0] talent[1] for[0] extraordinary[0] vision[0] to[0] be[0] distorted[-1] by[0] silly[-1] digital[0] experiments[0] and[0] self[0] referencing[0] film[0] elements[0] such[0] as[0] talking[0] to[0] the[0] audience[0] about[0] what[0] they[0] are[0] seeing[0] telling[0] them[0] that[0] the[0] little[0] blips[0] in[0] the[0] right[0] hand[0] corner[0] are[0] signifiers[0] that[0] the[0] projectionist[0] is[0] changing[0] reels[0] and[0] that[0] a[0] slightly[0] altered[0] recurring[0] line[0] is[0] good[1] [[Sentence=-3,2=word max, 1-5]] flashback[0] humor[2] [[Sentence=-1,3=word max, 1-5]][[[3,-3 max of sentences]]]
now , throughout the film ? s coarsely woven texture and over-extended plot lines , fight club is obviously trying to make various social comments about the state of the world today . 	now , throughout the film ?<br> s coarsely woven texture and over-extended plot lines , fight club is obviously trying to make various social comments about the state of the world today .	1	-3	 now[0] throughout[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]] s[0] coarsely[-1] woven[0] texture[0] and[0] over[0] extended[0] plot[0] lines[0] fight[-2] club[0] is[0] obviously[0] trying[0] to[0] make[0] various[0] social[0] comments[0] about[0] the[0] state[0] of[0] the[0] world[0] today[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
advertisements , inter-office politics , corporations , you name it , it ? s addressed . 	advertisements , inter-office politics , corporations , you name it , it ?<br> s addressed .	1	-1	 advertisements[0] inter[0] office[0] politics[0] corporations[0] you[0] name[0] it[0] it[0] [[Sentence=-1,1=word max, 1-5]] s[0] addressed[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 ( though the media are suspiciously absent from the institutions that are referenced . ) 	 ( though the media are suspiciously absent from the institutions that are referenced .<br> )	1	-2	 though[0] the[0] media[0] are[0] suspiciously[-1] absent[-1] from[0] the[0] institutions[0] that[0] are[0] referenced[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
all of them play an important role . 	all of them play an important role .	1	-1	 all[0] of[0] them[0] play[0] an[0] important[0] role[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
how so ? 	how so ?	1	-1	 how[0] so[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , i can kinda just tell . 	well , i can kinda just tell .	1	-1	 well[0] i[0] can[0] kinda[0] just[0] tell[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i can ? t really put my finger on it . 	i can ?<br> t really put my finger on it .	1	-1	 i[0] can[0] [[Sentence=-1,1=word max, 1-5]] t[0] really[0] put[0] my[0] finger[0] on[0] it[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
to say that starbucks and barnes & noble are taking over their respective markets and kicking out the small business owner is no big news . 	to say that starbucks and barnes & noble are taking over their respective markets and kicking out the small business owner is no big news .	3	-2	 to[0] say[0] that[0] starbucks[0] and[0] barnes[0] &[0] noble[0] are[0] taking[0] over[0] their[0] respective[2] markets[0] and[0] kicking[-1] out[0] the[0] small[0] business[0] owner[0] is[0] no[0] big[0] news[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
is that bad for the world ? 	is that bad for the world ?	1	-2	 is[0] that[0] bad[-1] for[0] the[0] world[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
probably . 	probably .	1	-1	 probably[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
not much room for social commentary there . 	not much room for social commentary there .	1	-1	 not[0] much[0] room[0] for[0] social[0] commentary[0] there[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
we all know that inter-office politics are just that . . . politics . 	we all know that inter-office politics are just that .<br> .<br> .<br> politics .	1	-1	 we[0] all[0] know[0] that[0] inter[0] office[0] politics[0] are[0] just[0] that[0] [[Sentence=-1,1=word max, 1-5]] politics[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
so what was the point of all this ? 	so what was the point of all this ?	1	-1	 so[0] what[0] was[0] the[0] point[0] of[0] all[0] this[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
