way of the gun is brimming with surprises , some good , most bad . 	Translation	Positive	Negative	EmotionRationale
one of the good ones is ryan phillippe's surprisingly halfway decent performance . 	one of the good ones is ryan phillippe's surprisingly halfway decent performance .	2	-1	 one[0] of[0] the[0] good[1] ones[0] is[0] ryan[0] phillippe's[0] surprisingly[0] halfway[0] decent[0] performance[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
after the actor gained much attention by posing and preening through teen swill like i know what you did last summer , he hinted at a bit growth in last year's cruel intentions with his amusingly contemptuous john malkovich meets james spader performance , though his acting in that film faltered around the third act mark , precisely when the screenplay made his character grow a heart ( presumably to appeal to his training bra wearing fans ) and start bellyaching about how he'd fallen for his " target " . 	after the actor gained much attention by posing and preening through teen swill like i know what you did last summer , he hinted at a bit growth in last year's cruel intentions with his amusingly contemptuous john malkovich meets james spader performance , though his acting in that film faltered around the third act mark , precisely when the screenplay made his character grow a heart ( presumably to appeal to his training bra wearing fans ) and start bellyaching about how he'd fallen for his " target " .	2	-4	 after[0] the[0] actor[0] gained[0] much[0] attention[0] by[0] posing[0] and[0] preening[0] through[0] teen[0] swill[0] like[1] i[0] know[0] what[0] you[0] did[0] last[0] summer[0] he[0] hinted[0] at[0] a[0] bit[0] growth[0] in[0] last[0] year's[0] cruel[-3] intentions[0] with[0] his[0] amusingly[1] contemptuous[-3] john[0] malkovich[0] meets[0] james[0] spader[0] performance[0] though[0] his[0] acting[0] in[0] that[0] film[0] faltered[-1] around[0] the[0] third[0] act[0] mark[0] precisely[0] when[0] the[0] screenplay[0] made[0] his[0] character[0] grow[0] a[0] heart[0] presumably[0] to[0] appeal[0] to[0] his[0] training[0] bra[0] wearing[0] fans[0] and[0] start[0] bellyaching[0] about[0] how[0] he'd[0] fallen[0] for[0] his[0] target[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
it was a dramatic shift that neither phillippe nor the film's director could negotiate . 	it was a dramatic shift that neither phillippe nor the film's director could negotiate .	1	-1	 it[0] was[0] a[0] dramatic[0] shift[0] that[0] neither[0] phillippe[0] nor[0] the[0] film's[0] director[0] could[0] negotiate[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but he seems to be trying and that shouldn't be overlooked ( or probably over praised ) seeing as how , at this point , he really isn't required to do much but look pretty . 	but he seems to be trying and that shouldn't be overlooked ( or probably over praised ) seeing as how , at this point , he really isn't required to do much but look pretty .	3	-2	 but[0] he[0] seems[0] to[0] be[0] trying[0] and[0] that[0] shouldn't[0] be[0] overlooked[-1] or[0] probably[0] over[0] praised[2] seeing[0] as[0] how[0] at[0] this[0] point[0] he[0] really[0] isn't[0] required[0] to[0] do[0] much[0] but[0] look[0] pretty[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
here , phillippe has procured a five day growth of beard , his hair askew and his affect altered to sound something like james cagney in all his " look here , see " glory . 	here , phillippe has procured a five day growth of beard , his hair askew and his affect altered to sound something like james cagney in all his " look here , see " glory .	2	-1	 here[0] phillippe[0] has[0] procured[0] a[0] five[0] day[0] growth[0] of[0] beard[0] his[0] hair[0] askew[0] and[0] his[0] affect[0] altered[0] to[0] sound[0] something[0] like[1] james[0] cagney[0] in[0] all[0] his[0] look[0] here[0] see[0] glory[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
it's tough to believe a pretty boy like phillippe as a hard ass , but his performance actually helps with the illusion . 	it's tough to believe a pretty boy like phillippe as a hard ass , but his performance actually helps with the illusion .	3	-2	 it's[0] tough[-1] to[0] believe[0] a[0] pretty[2] boy[0] like[1] phillippe[0] as[0] a[0] hard[0] ass[0] but[0] his[0] performance[0] actually[0] helps[0] with[0] the[0] illusion[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
unlike ben affleck's puppy dog approach in reindeer games , phillippe is believable and not too bad at that . 	unlike ben affleck's puppy dog approach in reindeer games , phillippe is believable and not too bad at that .	2	-1	 unlike[0] ben[0] affleck's[0] puppy[0] dog[0] approach[0] in[0] reindeer[0] games[0] phillippe[0] is[0] believable[0] and[0] not[0] too[0] bad[-1][NegatedDueToPreviousWord] at[0] that[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
as for the plot , well , that's one of the bad surprises ; phillippe and the great benicio del torro play two moronic ( and not even remotely likeable ) criminals ( introduced to us in the parking lot of a rave where they stupidly pick a fight with about twenty people ) who hatch a scheme to kidnap a surrogate mother ( juliette lewis ) after overhearing that she's carrying the baby of painter ( scott wilson ) , a very well connected wealthy man . 	as for the plot , well , that's one of the bad surprises ; phillippe and the great benicio del torro play two moronic ( and not even remotely likeable ) criminals ( introduced to us in the parking lot of a rave where they stupidly pick a fight with about twenty people ) who hatch a scheme to kidnap a surrogate mother ( juliette lewis ) after overhearing that she's carrying the baby of painter ( scot wilson ) , a very well connected wealthy man .	3	-3	 as[0] for[0] the[0] plot[0] well[0] that's[0] one[0] of[0] the[0] bad[-1] surprises[0] phillippe[0] and[0] the[0] great[2] benicio[0] del[0] torro[0] play[0] two[0] moronic[-2] and[0] not[0] even[0] remotely[0] likeable[2] criminals[-1] introduced[0] to[0] us[0] in[0] the[0] parking[0] lot[0] of[0] a[0] rave[0] where[0] they[0] stupidly[-1] pick[0] a[0] fight[-2] with[0] about[0] twenty[0] people[0] who[0] hatch[0] a[0] scheme[0] to[0] kidnap[-1] a[0] surrogate[0] mother[0] juliette[0] lewis[0] after[0] overhearing[0] that[0] she's[0] carrying[0] the[0] baby[1] of[0] painter[0] scott/scot[0] wilson[0] a[0] very[0] well[0] connected[0] wealthy[0] man[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
the kidnapping devolves into a laborious shoot out where much damage is done and many are killed . 	the kidnapping devolves into a laborious shoot out where much damage is done and many are killed .	1	-4	 the[0] kidnapping[0] devolves[0] into[0] a[0] laborious[0] shoot[-1] out[0] where[0] much[0] damage[0] is[0] done[0] and[0] many[0] are[0] killed[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
but the anti-heroes escape with the woman while an aging hit man ( james caan ) and two scheming bodyguards ( taye diggs and nicky katt ) remain in pursuit . 	but the anti-heroes escape with the woman while an aging hit man ( james can ) and two scheming bodyguards ( taye digs and nicky katt ) remain in pursuit .	3	-1	 but[0] the[0] anti[0] heroes[2] escape[0] with[0] the[0] woman[0] while[0] an[0] aging[0] hit[0] man[0] james[0] caan/can[0] and[0] two[0] scheming[0] bodyguards[0] taye[0] diggs/digs[0] and[0] nicky[0] katt[0] remain[0] in[0] pursuit[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
