the u . s . army utilizes a number of books known as field manuals which stipulate the specific way in which almost every action imaginable must be done . 	Translation	Positive	Negative	EmotionRationale
one particular field manual is known as the fm 22-5 , which among other things , covers the practice of saluting . 	one particular field manual is known as the fm 22-5 , which among other things , covers the practice of saluting .	1	-1	 one[0] particular[0] field[0] manual[0] is[0] known[0] as[0] the[0] fm[0] 22[0] -5[0] which[0] among[0] other[0] things[0] covers[0] the[0] practice[0] of[0] saluting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
under the " saluting " section is a sub-section which covers how a salute is rendered by a military work detail in the presence of a superior officer . 	under the " saluting " section is a sub-section which covers how a salute is rendered by a military work detail in the presence of a superior officer .	3	-1	 under[0] the[0] saluting[0] section[0] is[0] a[0] sub[0] section[0] which[0] covers[0] how[0] a[0] salute[0] is[0] rendered[0] by[0] a[0] military[0] work[0] detail[0] in[0] the[0] presence[0] of[0] a[0] superior[2] officer[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the salute is rendered by the highest-ranking individual present when the superior officer comes within six paces of the detail , and is dropped when the officer passes six paces from the detail . 	the salute is rendered by the highest-ranking individual present when the superior officer comes within six paces of the detail , and is dropped when the officer passes six paces from the detail .	3	-1	 the[0] salute[0] is[0] rendered[0] by[0] the[0] highest[0] ranking[0] individual[0] present[0] when[0] the[0] superior[2] officer[0] comes[0] within[0] six[0] paces[0] of[0] the[0] detail[0] and[0] is[0] dropped[0] when[0] the[0] officer[0] passes[0] six[0] paces[0] from[0] the[0] detail[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
in any event , the salute is rendered only by the man ( or woman ) in charge , rather than by the whole group . 	in any event , the salute is rendered only by the man ( or woman ) in charge , rather than by the whole group .	1	-2	 in[0] any[0] event[0] the[0] salute[0] is[0] rendered[0] only[0] by[0] the[0] man[0] or[0] woman[0] in[0] charge[-1] rather[0] than[0] by[0] the[0] whole[0] group[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
almost at the very beginning of the general's daughter , we see a general's motorcade passing a work detail . 	almost at the very beginning of the general's daughter , we see a general's motorcade passing a work detail .	1	-1	 almost[0] at[0] the[0] very[0] beginning[0] of[0] the[0] general's[0] daughter[0] we[0] see[0] a[0] general's[0] motorcade[0] passing[0] a[0] work[0] detail[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
everyone salutes . 	everyone salutes .	1	-1	 everyone[0] salutes[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it looked impressive , but it just wasn't right . 	it looked impressive , but it just wasn't right .	2	-1	 it[0] looked[0] impressive[1] but[0] it[0] just[0] wasn't[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
that little bit showed me that someone either didn't do the appropriate research , or made the conscious decision to go with style over substance for the scene . 	that little bit showed me that someone either didn't do the appropriate research , or made the conscious decision to go with style over substance for the scene .	1	-1	 that[0] little[0] bit[0] showed[0] me[0] that[0] someone[0] either[0] didn't[0] do[0] the[0] appropriate[0] research[0] or[0] made[0] the[0] conscious[0] decision[0] to[0] go[0] with[0] style[0] over[0] substance[0] for[0] the[0] scene[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in fact , this would serve as a metaphor for the rest of the picture , as it seems director simon west tried so hard to craft a film with atmosphere and flash that he forgot a coherent story and good characterization are also crucial to a good movie . 	in fact , this would serve as a metaphor for the rest of the picture , as it seems director simon west tried so hard to craft a film with atmosphere and flash that he forgot a coherent story and good characterization are also crucial to a good movie .	2	-1	 in[0] fact[0] this[0] would[0] serve[0] as[0] a[0] metaphor[0] for[0] the[0] rest[0] of[0] the[0] picture[0] as[0] it[0] seems[0] director[0] simon[0] west[0] tried[0] so[0] hard[0] to[0] craft[0] a[0] film[0] with[0] atmosphere[0] and[0] flash[0] that[0] he[0] forgot[0] a[0] coherent[0] story[0] and[0] good[1] characterization[0] are[0] also[0] crucial[0] to[0] a[0] good[1] movie[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
what results is a film that looks good , but like that one scene , just isn't right . 	what results is a film that looks good , but like that one scene , just isn't right .	2	-1	 what[0] results[0] is[0] a[0] film[0] that[0] looks[0] good[1] but[0] like[1] that[0] one[0] scene[0] just[0] isn't[0] right[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the first fifteen minutes of the film is a good example . 	the first fifteen minutes of the film is a good example .	2	-1	 the[0] first[0] fifteen[0] minutes[0] of[0] the[0] film[0] is[0] a[0] good[1] example[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
paul brenner ( john travolta ) is an agent for the army's criminal investigation division , undercover at a georgia army base to investigate an illegal arms sale . 	paul brenner ( john travolta ) is an agent for the army's criminal investigation division , undercover at a georgia army base to investigate an illegal arms sale .	1	-2	 paul[0] brenner[0] john[0] travolta[0] is[0] an[0] agent[0] for[0] the[0] army's[0] criminal[-1] investigation[0] division[-1] undercover[0] at[0] a[0] georgia[0] army[0] base[0] to[0] investigate[0] an[0] illegal[-1] arms[0] sale[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
prior to the transaction , the buyer gets a whiff that brenner isn't the unscrupulous supply sergeant he's supposed to be , and later that night attempts to kill him by shooting up the houseboat on which brenner is living . 	prior to the transaction , the buyer gets a whiff that brenner isn't the unscrupulous supply sergeant he's supposed to be , and later that night attempts to kill him by shooting up the houseboat on which brenner is living .	2	-2	 prior[0] to[0] the[0] transaction[0] the[0] buyer[0] gets[0] a[0] whiff[0] that[0] brenner[0] isn't[0] the[0] unscrupulous[-1][NegatedDueToPreviousWord] supply[0] sergeant[0] he's[0] supposed[0] to[0] be[0] and[0] later[0] that[0] night[0] attempts[0] to[0] kill[-1] him[0] by[0] shooting[-1] up[0] the[0] houseboat[0] on[0] which[0] brenner[0] is[0] living[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
so ensues a cat and mouse action sequence which ends like a certain scene in raiders of the lost ark ( we'll just say that it involves propellers ) . 	so ensues a cat and mouse action sequence which ends like a certain scene in raiders of the lost ark ( we'll just say that it involves propellers ) .	2	-1	 so[0] ensues[0] a[0] cat[0] and[0] mouse[0] action[0] sequence[0] which[0] ends[0] like[1] a[0] certain[0] scene[0] in[0] raiders[0] of[0] the[0] lost[0] ark[0] we'll[0] just[0] say[0] that[0] it[0] involves[0] propellers[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
brenner then receives new orders when the commanding general's daughter , captain elisabeth campbell ( leslie stefanson ) , is found naked , bound , and dead on one of the base's training ranges . 	brenner then receives new orders when the commanding general's daughter , captain elisabeth campbell ( leslie stefanson ) , is found naked , bound , and dead on one of the base's training ranges .	1	-3	 brenner[0] then[0] receives[0] new[0] orders[0] when[0] the[0] commanding[0] general's[0] daughter[0] captain[0] elisabeth[0] campbell[0] leslie[0] stefanson[0] is[0] found[0] naked[0] bound[0] and[0] dead[-2] on[0] one[0] of[0] the[0] base's[0] training[0] ranges[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
he is teamed with rape investigator sarah sunhill ( madeleine stowe ) to uncover the truth about the peculiarly gruesome murder . 	he is teamed with rape investigator sarah sunhill ( madeleine stowe ) to uncover the truth about the peculiarly gruesome murder .	2	-4	 he[0] is[0] teamed[0] with[0] rape[-3] investigator[0] sarah[0] sunhill[0] madeleine[0] stowe[0] to[0] uncover[0] the[0] truth[1] about[0] the[0] peculiarly[0] gruesome[0] murder[-3] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
what i want to know is why the whole action scene with the arms buyer was even necessary . 	what i want to know is why the whole action scene with the arms buyer was even necessary .	1	-1	 what[0] i[0] want[0] to[0] know[0] is[0] why[0] the[0] whole[0] action[0] scene[0] with[0] the[0] arms[0] buyer[0] was[0] even[0] necessary[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it gives no insight into brenner , other than the fact that he's a little cocky . 	it gives no insight into brenner , other than the fact that he's a little cocky .	1	-2	 it[0] gives[0] no[0] insight[0] into[0] brenner[0] other[0] than[0] the[0] fact[0] that[0] he's[0] a[0] little[0] cocky[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
does the arms subplot turn up later ? 	does the arms subplot turn up later ?	1	-1	 does[0] the[0] arms[0] subplot[0] turn[0] up[0] later[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
no , so why add this extra running time to the film ? 	no , so why add this extra running time to the film ?	1	-1	 no[0] so[0] why[0] add[0] this[0] extra[0] running[0] time[0] to[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the answer : it looked cool . 	the answer : it looked cool .	2	-1	 the[0] answer[0] it[0] looked[0] cool[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
or how about the " atmosphere " ? 	or how about the " atmosphere " ?	1	-1	 or[0] how[0] about[0] the[0] atmosphere[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the beginning of the general's daughter presents us with imagery of the deep south - thick trees , dirt roads , sultry colors over water - all backed up with bayouesque music . 	the beginning of the general's daughter presents us with imagery of the deep south - thick trees , dirt roads , sultry colors over water - all backed up with bayouesque music .	1	-2	 the[0] beginning[0] of[0] the[0] general's[0] daughter[0] presents[0] us[0] with[0] imagery[0] of[0] the[0] deep[0] south[0] thick[0] trees[0] dirt[-1] roads[0] sultry[0] colors[0] over[0] water[0] all[0] backed[0] up[0] with[0] bayouesque[0] music[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
nice immersion in the setting , but it soon doesn't matter , for when the film's plot shifts over to the murder investigation , so does the entire mood . 	nice immersion in the setting , but it soon doesn't matter , for when the film's plot shifts over to the murder investigation , so does the entire mood .	2	-4	 nice[1] immersion[0] in[0] the[0] setting[0] but[0] it[0] soon[0] doesn't[0] matter[0] for[0] when[0] the[0] film's[0] plot[0] shifts[0] over[0] to[0] the[0] murder[-3] investigation[0] so[0] does[0] the[0] entire[0] mood[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
no attention is paid to the location of the story , and the music is altered to fit a very generic thriller theme . 	no attention is paid to the location of the story , and the music is altered to fit a very generic thriller theme .	2	-1	 no[0] attention[0] is[0] paid[0] to[0] the[0] location[0] of[0] the[0] story[0] and[0] the[0] music[0] is[0] altered[0] to[0] fit[0] a[0] very[0] generic[0] thriller[1] theme[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
did the filmmakers start out thinking they were making a different movie ? 	did the filmmakers start out thinking they were making a different movie ?	1	-1	 did[0] the[0] filmmakers[0] start[0] out[0] thinking[0] they[0] were[0] making[0] a[0] different[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
instead of creating a cohesive atmospheric theme for the entire film , we get the distraction of one of theme followed by another , just because the director thought he should show off some of the countryside . 	instead of creating a cohesive atmospheric theme for the entire film , we get the distraction of one of theme followed by another , just because the director thought he should show off some of the countryside .	1	-2	 instead[0] of[0] creating[0] a[0] cohesive[0] atmospheric[0] theme[0] for[0] the[0] entire[0] film[0] we[0] get[0] the[0] distraction[-1] of[0] one[0] of[0] theme[0] followed[0] by[0] another[0] just[0] because[0] the[0] director[0] thought[0] he[0] should[0] show[0] off[0] some[0] of[0] the[0] countryside[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
