an attempt at florida film noir , palmetto fails at the most fundamental levels . 	Translation	Positive	Negative	EmotionRationale
it's slow moving , uninvolving , and plain just uninteresting . 	it's slow moving , uninvolving , and plain just uninteresting .	1	-1	 it's[0] slow[0] moving[0] uninvolving[0] and[0] plain[0] just[0] uninteresting[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
harry barber ( woody harrelson ) is an ex-newspaper man , just out of jail after being framed for a crime . 	harry barber ( woody harrelson ) is an ex-newspaper man , just out of jail after being framed for a crime .	1	-2	 harry[0] barber[0] woody[0] harrelson[0] is[0] an[0] ex[0] newspaper[0] man[0] just[0] out[0] of[0] jail[-1] after[0] being[0] framed[0] for[0] a[0] crime[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
his luck hasn't been the best , but things are looking up when a mysterious woman , rhea malroux ( elisabeth shue ) , approaches him with a proposition . 	his luck hasn't been the best , but things are looking up when a mysterious woman , rhea malroux ( elisabeth shue ) , approaches him with a proposition .	3	-1	 his[0] luck[2] hasn't[0] been[0] the[0] best[1] but[0] things[0] are[0] looking[0] up[0] when[0] a[0] mysterious[0] woman[0] rhea[0] malroux[0] elisabeth[0] shue[0] approaches[0] him[0] with[0] a[0] proposition[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
she wants harry to help her and her stepdaughter , odette ( chloe sevigny ) , pull off a fake kidnapping scheme to get  500 , 000 out of her stingy , but rich , husband felix ( rolf hoppe ) . 	she wants harry to help her and her stepdaughter , odette ( chloe sevigny ) , pull off a fake kidnapping scheme to get  500 , 00 out of her stingy , but rich , husband felix ( rolf hope ) .	3	-2	 she[0] wants[0] harry[0] to[0] help[0] her[0] and[0] her[0] stepdaughter[0] odette[0] chloe[0] sevigny[0] pull[0] off[0] a[0] fake[-1] kidnapping[0] scheme[0] to[0] get[0] 500[0] 000/00[0] out[0] of[0] her[0] stingy[-1] but[0] rich[0] husband[0] felix[0] rolf[0] hoppe/hope[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
at first , all harry is expected to do is provide a threatening voice on the phone , and to collect the money ( of which he gets to keep 10% ) . 	at first , all harry is expected to do is provide a threatening voice on the phone , and to collect the money ( of which he gets to keep 10% ) .	1	-3	 at[0] first[0] all[0] harry[0] is[0] expected[0] to[0] do[0] is[0] provide[0] a[0] threatening[-2] voice[0] on[0] the[0] phone[0] and[0] to[0] collect[0] the[0] money[0] of[0] which[0] he[0] gets[0] to[0] keep[0] 10%[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
but , as the deed is carried out , things are not what they seem , and harry gets caught in the ensuing storm . 	but , as the deed is carried out , things are not what they seem , and harry gets caught in the ensuing storm .	1	-2	 but[0] as[0] the[0] deed[0] is[0] carried[0] out[0] things[0] are[0] not[0] what[0] they[0] seem[0] and[0] harry[0] gets[0] caught[0] in[0] the[0] ensuing[0] storm[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
palmetto pulls out all the stops to achieve a film noir film , but the effect never quite comes together . 	palmetto pulls out all the stops to achieve a film noir film , but the effect never quite comes together .	1	-1	 palmetto[0] pulls[0] out[0] all[0] the[0] stops[0] to[0] achieve[0] a[0] film[0] noir[0] film[0] but[0] the[0] effect[0] never[0] quite[0] comes[0] together[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
it's got the sultry florida heat , seductive women , and even curvier plot twists , but the whole thing smells of paint-by-numbers . 	it's got the sultry florida heat , seductive women , and even curvier plot twists , but the whole thing smells of paint-by-numbers .	1	-1	 it's[0] got[0] the[0] sultry[0] florida[0] heat[0] seductive[0] women[0] and[0] even[0] curvier[0] plot[0] twists[0] but[0] the[0] whole[0] thing[0] smells[0] of[0] paint[0] by[0] numbers[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sure , the right ingredients are there , but the end result is much too artificial . 	sure , the right ingredients are there , but the end result is much too artificial .	1	-1	 sure[0] the[0] right[0] ingredients[0] are[0] there[0] but[0] the[0] end[0] result[0] is[0] much[0] too[0] artificial[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a lot of the problems lie with the script , which , though providing some genuine surprises , is packed full of leaden dialogue and bland situations . 	a lot of the problems lie with the script , which , though providing some genuine surprises , is packed full of leaden dialogue and bland situations .	1	-2	 a[0] lot[0] of[0] the[0] problems[-1] lie[0] with[0] the[0] script[0] which[0] though[0] providing[0] some[0] genuine[0] surprises[0] is[0] packed[0] full[0] of[0] leaden[0] dialogue[0] and[0] bland[-1] situations[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
