this film is worth seeing for those who want to see what mick jagger looks like when sporting an abe lincoln beard . 	Translation	Positive	Negative	EmotionRationale
the rock and roller is asked to carry the film as the action antihero of australian legend . . . ned 	the rock and roller is asked to carry the film as the action antihero of australian legend .<br> .<br> .<br> ned	2	-1	 the[0] rock[1] and[0] roller[0] is[0] asked[0] to[0] carry[0] the[0] film[0] as[0] the[0] action[0] antihero[0] of[0] australian[0] legend[0] [[Sentence=-1,2=word max, 1-5]] ned[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
kelly , the so-called robin hood of the aussies . 	kelly , the so-called robin hood of the aussies .	1	-1	 kelly[0] the[0] so[0] called[0] robin[0] hood[0] of[0] the[0] aussies[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but he fails to be convincing , in my opinion he is better suited to play gene kelly than ned kelly . 	but he fails to be convincing , in my opinion he is better suited to play gene kelly than ned kelly .	1	-3	 but[0] he[0] fails[-2] to[0] be[0] convincing[0] in[0] my[0] opinion[0] he[0] is[0] better[0] suited[0] to[0] play[0] gene[0] kelly[0] than[0] ned[0] kelly[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
the film opens to a b/w prologue of ned kelly bravely going to his execution . 	the film opens to a b/w prologue of ned kelly bravely going to his execution .	3	-1	 the[0] film[0] opens[0] to[0] a[0] b/w[0] prologue[0] of[0] ned[0] kelly[0] bravely[2] going[0] to[0] his[0] execution[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
then it goes to technicolor and ned is seen in what goes for flashback , coming home from jail after a 3-year sentence to see his mom and reacquaint himself with the large kelly family . 	then it goes to technicolor and ned is seen in what goes for flashback , coming home from jail after a 3-year sentence to see his mom and reacquaint himself with the large kelly family .	1	-2	 then[0] it[0] goes[0] to[0] technicolor[0] and[0] ned[0] is[0] seen[0] in[0] what[0] goes[0] for[0] flashback[0] coming[0] home[0] from[0] jail[-1] after[0] a[0] 3[0] year[0] sentence[0] to[0] see[0] his[0] mom[0] and[0] reacquaint[0] himself[0] with[0] the[0] large[0] kelly[0] family[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
this scene is set in 1871 . 	this scene is set in 1871 .	1	-1	 this[0] scene[0] is[0] set[0] in[0] 1871[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in the background we hear the booming voice of waylon jennings , as he sings shel silverstein's lyrics , which tells -- of ned's hatred for the british rule and hope for ireland to be a republic . 	in the background we hear the booming voice of waylon jennings , as he sings shel silverstein's lyrics , which tells - of ned's hatred for the british rule and hope for ireland to be a republic .	3	-4	 in[0] the[0] background[0] we[0] hear[0] the[0] booming[0] voice[0] of[0] waylon[0] jennings[0] as[0] he[0] sings[0] shel[0] silverstein's[0] lyrics[0] which[0] tells[0] of[0] ned's[0] hatred[-3] for[0] the[0] british[0] rule[0] and[0] hope[2] for[0] ireland[0] to[0] be[0] a[0] republic[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
ned says a debt must be paid . . . 	ned says a debt must be paid .<br> .<br> .	1	-1	 ned[0] says[0] a[0] debt[0] must[0] be[0] paid[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
as he hears voices from his dead father , his class-divided country , and his conscience , all telling him to get revenge . 	as he hears voices from his dead father , his class-divided country , and his conscience , all telling him to get revenge .	1	-3	 as[0] he[0] hears[0] voices[0] from[0] his[0] dead[-2] father[0] his[0] class[0] divided[0] country[0] and[0] his[0] conscience[0] all[0] telling[0] him[0] to[0] get[0] revenge[-1] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
so begins ned's romp through australia's outback , seeking justice for all the wrongs his people have suffered . 	so begins ned's romp through australia's outback , seeking justice for all the wrongs his people have suffered .	1	-4	 so[0] begins[0] ned's[0] romp[0] through[0] australia's[0] outback[0] seeking[0] justice[0] for[0] all[0] the[0] wrongs[-2] his[0] people[0] have[0] suffered[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
