synopsis : easily-angered , chainsmoking architect david encounters his homicidal first wife diedre five years after their divorce . 	Translation	Positive	Negative	EmotionRationale
diedre easily cons david's not-so-bright new wife molly into believing she's a child psychologist so that she can influence molly and david's quick-tempered son , michael . 	diedre easily cons david's not-so-bright new wife molly into believing she's a child psychologist so that she can influence molly and david's quick-tempered son , michael .	1	-1	 diedre[0] easily[0] cons[0] david's[0] not[0] so[0] bright[0] new[0] wife[0] molly[0] into[0] believing[0] she's[0] a[0] child[0] psychologist[0] so[0] that[0] she[0] can[0] influence[0] molly[0] and[0] david's[0] quick[0] tempered[0] son[0] michael[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
diedre , at the same time , murders a bunch of people . 	diedre , at the same time , murders a bunch of people .	1	-4	 diedre[0] at[0] the[0] same[0] time[0] murders[-3] a[0] bunch[0] of[0] people[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
comments : the ex is a very bad movie . 	comments : the ex is a very bad movie .	1	-3	 comments[0] the[0] ex[0] is[0] a[0] very[0] bad[-1][-1 LastWordBoosterStrength] movie[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
i haven't seen a turkey of this magnitude in quite a while . 	i haven't seen a turkey of this magnitude in quite a while .	1	-1	 i[0] haven't[0] seen[0] a[0] turkey[0] of[0] this[0] magnitude[0] in[0] quite[0] a[0] while[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i kept vacillating , however , between giving the ex one star for its sheer awfulness and three stars for its campy humor ( ultimately , i decided to split the difference and give it two stars ) . 	i kept vacillating , however , between giving the ex one star for its sheer awfulness and three stars for its campy humor ( ultimately , i decided to split the difference and give it two stars ) .	3	-4	 i[0] kept[0] vacillating[0] however[0] between[0] giving[0] the[0] ex[0] one[0] star[0] for[0] its[0] sheer[0] awfulness[-3] and[0] three[0] stars[0] for[0] its[0] campy[0] humor[2] ultimately[0] i[0] decided[0] to[0] split[0] the[0] difference[0] and[0] give[0] it[0] two[0] stars[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
as summarized briefly in the synopsis , this is yet another spurned-psycho-lover-gets-her-revenge type movie . 	as summarized briefly in the synopsis , this is yet another spurned-psycho-lover-gets-her-revenge type movie .	4	-2	 as[0] summarized[0] briefly[0] in[0] the[0] synopsis[0] this[0] is[0] yet[0] another[0] spurned[0] psycho[0] lover[3] gets[0] her[0] revenge[-1] type[0] movie[0] [[Sentence=-2,4=word max, 1-5]][[[4,-2 max of sentences]]]
i'm not sure how many films have been produced since fatal attraction which use this tired storyline , but it seems like 10 , 000 , 000 , 000 . 	i'm not sure how many films have been produced since fatal attraction which use this tired storyline , but it seems like 10 , 00 , 00 , 00 .	2	-3	 i'm[0] not[0] sure[0] how[0] many[0] films[0] have[0] been[0] produced[0] since[0] fatal[-2] attraction[1] which[0] use[0] this[0] tired[-1] storyline[0] but[0] it[0] seems[0] like[1] 10[0] 000/00[0] 000/00[0] 000/00[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the ex , however , though following many of the standard cliches of this thriller subgenre , differs slightly from the norm in that , at least , it doesn't take itself too seriously like so many other duds do ( malicious and stalked are two examples which come to mind ) . 	the ex , however , though following many of the standard cliches of this thriller subgenre , differs slightly from the norm in that , at least , it doesn't take itself too seriously like so many other duds do ( malicious and stalked are two examples which come to mind ) .	2	-4	 the[0] ex[0] however[0] though[0] following[0] many[0] of[0] the[0] standard[0] cliches[0] of[0] this[0] thriller[1] subgenre[0] differs[0] slightly[0] from[0] the[0] norm[0] in[0] that[0] at[0] least[0] it[0] doesn't[0] take[0] itself[0] too[0] seriously[0] like[1] so[0] many[0] other[0] duds[0] do[0] malicious[-3] and[0] stalked[0] are[0] two[0] examples[0] which[0] come[0] to[0] mind[0] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
those involved in the movie realize they're in a turkey , apparently , and turn in hammy performances which compliment the ludicrous dialogue contained within the script . 	those involved in the movie realize they're in a turkey , apparently , and turn in hammy performances which compliment the ludicrous dialogue contained within the script .	2	-3	 those[0] involved[0] in[0] the[0] movie[0] realize[0] they're[0] in[0] a[0] turkey[0] apparently[0] and[0] turn[0] in[0] hammy[0] performances[0] which[0] compliment[1] the[0] ludicrous[-2] dialogue[0] contained[0] within[0] the[0] script[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
the ex's storyline , as i said , incorporates many cliches predominant in films of its nature ; however , the plot is so overwrought and unbelievable that , after a while , the viewer must accept that logic does not operate in the realm of the movie . 	the ex's storyline , as i said , incorporates many cliches predominant in films of its nature ; however , the plot is so overwrought and unbelievable that , after a while , the viewer must accept that logic does not operate in the realm of the movie .	1	-2	 the[0] ex's[0] storyline[0] as[0] i[0] said[0] incorporates[0] many[0] cliches[0] predominant[0] in[0] films[0] of[0] its[0] nature[0] however[0] the[0] plot[0] is[0] so[0] overwrought[0] and[0] unbelievable[-1] that[0] after[0] a[0] while[0] the[0] viewer[0] must[0] accept[0] that[0] logic[0] does[0] not[0] operate[0] in[0] the[0] realm[0] of[0] the[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
diedre , david's first wife , kills and kills and kills , for example , without ever having to worry about police investigations and the like ( it's not as though she's bright enough not to leave fingerprints at the scene of the crime ) . 	diedre , david's first wife , kills and kills and kills , for example , without ever having to worry about police investigations and the like ( it's not as though she's bright enough not to leave fingerprints at the scene of the crime ) .	2	-4	 diedre[0] david's[0] first[0] wife[0] kills[0] and[0] kills[0] and[0] kills[0] for[0] example[0] without[0] ever[0] having[0] to[0] worry[-3] about[0] police[0] investigations[0] and[0] the[0] like[1] it's[0] not[0] as[0] though[0] she's[0] bright[0] enough[0] not[0] to[0] leave[0] fingerprints[0] at[0] the[0] scene[0] of[0] the[0] crime[-1] [[Sentence=-4,2=word max, 1-5]][[[2,-4 max of sentences]]]
david and his new wife molly have an incredibly difficult time understanding why michael , their son , has emotional problems , specifically his inability to control his anger . 	david and his new wife molly have an incredibly difficult time understanding why michael , their son , has emotional problems , specifically his inability to control his anger .	1	-4	 david[0] and[0] his[0] new[0] wife[0] molly[0] have[0] an[0] incredibly[0] difficult[-1][-2 LastWordBoosterStrength] time[0] understanding[0] why[0] michael[0] their[0] son[0] has[0] emotional[-1] problems[-1] specifically[0] his[0] inability[-1] to[0] control[0] his[0] anger[-3] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
though david smokes like tomorrow will never come and blows up at people every other minute in the movie , the connection between him and his son is not made . 	though david smokes like tomorrow will never come and blows up at people every other minute in the movie , the connection between him and his son is not made .	2	-1	 though[0] david[0] smokes[0] like[1] tomorrow[0] will[0] never[0] come[0] and[0] blows[0] up[0] at[0] people[0] every[0] other[0] minute[0] in[0] the[0] movie[0] the[0] connection[0] between[0] him[0] and[0] his[0] son[0] is[0] not[0] made[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
molly is easily swayed by diedre into believing she's a child psychologist and allows the demented woman to spend time with her son . 	molly is easily swayed by diedre into believing she's a child psychologist and allows the demented woman to spend time with her son .	1	-1	 molly[0] is[0] easily[0] swayed[0] by[0] diedre[0] into[0] believing[0] she's[0] a[0] child[0] psychologist[0] and[0] allows[0] the[0] demented[0] woman[0] to[0] spend[0] time[0] with[0] her[0] son[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
time and time again , things do not add up in this movie . 	time and time again , things do not add up in this movie .	1	-1	 time[0] and[0] time[0] again[0] things[0] do[0] not[0] add[0] up[0] in[0] this[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if a viewer can't accept this fact , then he will definately not like the ex . 	if a viewer can't accept this fact , then he will definately not like the ex .	1	-2	 if[0] a[0] viewer[0] can't[0] accept[0] this[0] fact[0] then[0] he[0] will[0] definately[0] not[0] like[1][NegatedDueToPreviousWord] the[0] ex[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if , on the other hand , he can appreciate the movie for its campiness , then he'll probably like it much better . 	if , on the other hand , he can appreciate the movie for its campiness , then he'll probably like it much better .	2	-1	 if[0] on[0] the[0] other[0] hand[0] he[0] can[0] appreciate[1] the[0] movie[0] for[0] its[0] campiness[0] then[0] he'll[0] probably[0] like[1] it[0] much[0] better[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
i don't mean to necessarily suggest , however , that the ex is a memorable exercise in camp . 	i don't mean to necessarily suggest , however , that the ex is a memorable exercise in camp .	1	-1	 i[0] don't[0] mean[0] to[0] necessarily[0] suggest[0] however[0] that[0] the[0] ex[0] is[0] a[0] memorable[0] exercise[0] in[0] camp[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
even when viewed from an it's-so-bad-it's-good angle , this movie isn't all that successful . 	even when viewed from an it's-so-bad-it's-good angle , this movie isn't all that successful .	3	-2	 even[0] when[0] viewed[0] from[0] an[0] it's[0] so[0] bad[-1] it's[0] good[1] angle[0] this[0] movie[0] isn't[0] all[0] that[0] successful[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the ex does have its moments , though , almost all of which involve yancy butler ( the psychotic diedre ) and nick mancuso ( david ) . 	the ex does have its moments , though , almost all of which involve yancy butler ( the psychotic diedre ) and nick mancuso ( david ) .	1	-1	 the[0] ex[0] does[0] have[0] its[0] moments[0] though[0] almost[0] all[0] of[0] which[0] involve[0] yancy[0] butler[0] the[0] psychotic[0] diedre[0] and[0] nick[0] mancuso[0] david[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
these two actors turn in decidedly hammy performances which , oftentimes , elicit chuckles from the audience . 	these two actors turn in decidedly hammy performances which , oftentimes , elicit chuckles from the audience .	3	-1	 these[0] two[0] actors[0] turn[0] in[0] decidedly[0] hammy[0] performances[0] which[0] oftentimes[0] elicit[0] chuckles[2] from[0] the[0] audience[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the truly awful lines written for them help this humor along . 	the truly awful lines written for them help this humor along .	3	-4	 the[0] truly[1] awful[-3] lines[0] written[0] for[0] them[0] help[0] this[0] humor[2] along[0] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
butler gets the larger portion of bad dialogue ; every time her character kills someone , she has a punchline that's unbelievably inane . 	butler gets the larger portion of bad dialogue ; every time her character kills someone , she has a punchline that's unbelievably inane .	1	-2	 butler[0] gets[0] the[0] larger[0] portion[0] of[0] bad[-1] dialogue[0] every[0] time[0] her[0] character[0] kills[0] someone[0] she[0] has[0] a[0] punchline[-1] that's[0] unbelievably[-1] inane[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
when she murders a tenant of an apartment she wishes to use to spy on david , for example , diedre whacks the elderly lady with a crowbar and states " i'm so sorry , your lease is terminated . " 	when she murders a tenant of an apartment she wishes to use to spy on david , for example , diedre whacks the elderly lady with a crowbar and states " i'm so sorry , your lease is terminated .<br> "	1	-4	 when[0] she[0] murders[-3] a[0] tenant[0] of[0] an[0] apartment[0] she[0] wishes[0] to[0] use[0] to[0] spy[0] on[0] david[0] for[0] example[0] diedre[0] whacks[0] the[0] elderly[0] lady[0] with[0] a[0] crowbar[0] and[0] states[0] i'm[0] so[0] sorry[-1] your[0] lease[0] is[0] terminated[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
or how about when diedre takes out her therapist in another ridiculous scene ? 	or how about when diedre takes out her therapist in another ridiculous scene ?	1	-3	 or[0] how[0] about[0] when[0] diedre[0] takes[0] out[0] her[0] therapist[0] in[0] another[0] ridiculous[-2] scene[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( diedre's therapist wishes to have her recommitted , so she decides to visit diedre , alone , in her new apartment -- never realizing , of course , that it's not her's . 	 ( diedre's therapist wishes to have her recommitted , so she decides to visit diedre , alone , in her new apartment - never realizing , of course , that it's not her's .	1	-1	 diedre's[0] therapist[0] wishes[0] to[0] have[0] her[0] recommitted[0] so[0] she[0] decides[0] to[0] visit[0] diedre[0] alone[0] in[0] her[0] new[0] apartment[0] never[0] realizing[0] of[0] course[0] that[0] it's[0] not[0] her's[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
therapists typically are catatonically brain-dead in these movies ) . 	therapists typically are catatonically brain-dead in these movies ) .	1	-3	 therapists[0] typically[0] are[0] catatonically[0] brain[0] dead[-2] in[0] these[0] movies[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
having successfully snuffed the woman out , diedre looks at the body and says : " what was it that you always said to me at the end of each session , dr . jones ? 	having successfully snuffed the woman out , diedre looks at the body and says : " what was it that you always said to me at the end of each session , dr .<br> jones ?	3	-1	 having[0] successfully[2] snuffed[0] the[0] woman[0] out[0] diedre[0] looks[0] at[0] the[0] body[0] and[0] says[0] what[0] was[0] it[0] that[0] you[0] always[0] said[0] to[0] me[0] at[0] the[0] end[0] of[0] each[0] session[0] dr[0] [[Sentence=-1,3=word max, 1-5]] jones[0] [[Sentence=-1,1=word max, 1-5]][[[3,-1 max of sentences]]]
oh , that's right . 	oh , that's right .	1	-1	 oh[0] that's[0] right[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
'i'm sorry , but your time is up ! ' " 	'i'm sorry , but your time is up !<br> ' "	1	-2	 'i'm[0] sorry[-1] but[0] your[0] time[0] is[0] up[0] [[Sentence=-2,1=word max, 1-5]] '[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
this is what passes for humor in the film . 	this is what passes for humor in the film .	3	-1	 this[0] is[0] what[0] passes[0] for[0] humor[2] in[0] the[0] film[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the audience doesn't necessarily laugh but groan ( the type of groan that suggests the audience can't believe they're watching this crap -- although watching it they are ) . 	the audience doesn't necessarily laugh but groan ( the type of groan that suggests the audience can't believe they're watching this crap - although watching it they are ) .	2	-3	 the[0] audience[0] doesn't[0] necessarily[0] laugh[1] but[0] groan[0] the[0] type[0] of[0] groan[0] that[0] suggests[0] the[0] audience[0] can't[0] believe[0] they're[0] watching[0] this[0] crap[-2] although[0] watching[0] it[0] they[0] are[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
nick mancuso's chainsmoking , nervous-wreck character does not have the cheesy lines that butler's character delivers , but his ridiculously overdone performance provides for some better comic relief . 	nick mancuso's chainsmoking , nervous-wreck character does not have the cheesy lines that butler's character delivers , but his ridiculously overdone performance provides for some better comic relief .	2	-3	 nick[0] mancuso's[0] chainsmoking[0] nervous[-2] wreck[-1] character[0] does[0] not[0] have[0] the[0] cheesy[0] lines[0] that[0] butler's[0] character[0] delivers[0] but[0] his[0] ridiculously[-2] overdone[0] performance[0] provides[0] for[0] some[0] better[0] comic[0] relief[1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
in between drags off his cigarette , for instance , in one of the movie's best scenes , david tries to explain to his lawyer what a creep his ex-wife is . 	in between drags off his cigarette , for instance , in one of the movie's best scenes , david tries to explain to his lawyer what a creep his ex-wife is .	2	-1	 in[0] between[0] drags[0] off[0] his[0] cigarette[0] for[0] instance[0] in[0] one[0] of[0] the[0] movie's[0] best[1] scenes[0] david[0] tries[0] to[0] explain[0] to[0] his[0] lawyer[0] what[0] a[0] creep[0] his[0] ex[0] wife[0] is[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
in exaggerated exasperation , he nearly shouts " the woman is a cuckoo-bird ! " 	in exaggerated exasperation , he nearly shouts " the woman is a cuckoo-bird !<br> "	1	-2	 in[0] exaggerated[-1] exasperation[-1] he[0] nearly[0] shouts[0] the[0] woman[0] is[0] a[0] cuckoo[0] bird[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( trust me , it is funny in context . ) 	 ( trust me , it is funny in context .<br> )	2	-1	 trust[1] me[0] it[0] is[0] funny[1] in[0] context[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
and so , the movie continues until its painfully obvious conclusion . 	and so , the movie continues until its painfully obvious conclusion .	1	-4	 and[0] so[0] the[0] movie[0] continues[0] until[0] its[0] painfully[-3] obvious[0] conclusion[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
i won't reveal the ending specifically ( though anyone remotely familiar with thrillers of this type could probably guess the ending just from this film review ) , but i will say that the ex has one of the biggest fire hazards appearing recently in film . 	i won't reveal the ending specifically ( though anyone remotely familiar with thrillers of this type could probably guess the ending just from this film review ) , but i will say that the ex has one of the biggest fire hazards appearing recently in film .	2	-1	 i[0] won't[0] reveal[0] the[0] ending[0] specifically[0] though[0] anyone[0] remotely[0] familiar[0] with[0] thrillers[1] of[0] this[0] type[0] could[0] probably[0] guess[0] the[0] ending[0] just[0] from[0] this[0] film[0] review[0] but[0] i[0] will[0] say[0] that[0] the[0] ex[0] has[0] one[0] of[0] the[0] biggest[0] fire[0] hazards[0] appearing[0] recently[0] in[0] film[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
molly and david own a cabin that becomes engulfed by flames in approximately three seconds ! 	molly and david own a cabin that becomes engulfed by flames in approximately three seconds !	1	-2	 molly[0] and[0] david[0] own[0] a[0] cabin[0] that[0] becomes[0] engulfed[-1] by[0] flames[0] in[0] approximately[0] three[0] seconds[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
molly , at one point in the film , not-so-brilliantly observes , after discovering diedre has moved into an apartment across from her family's to spy upon them , that " she's crazy . " 	molly , at one point in the film , not-so-brilliantly observes , after discovering diedre has moved into an apartment across from her family's to spy upon them , that " she's crazy .<br> "	1	-2	 molly[0] at[0] one[0] point[0] in[0] the[0] film[0] not[0] so[0] brilliantly[1][NegatedDueToPreviousWord] observes[0] after[0] discovering[0] diedre[0] has[0] moved[0] into[0] an[0] apartment[0] across[0] from[0] her[0] family's[0] to[0] spy[0] upon[0] them[0] that[0] she's[0] crazy[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
you'd be pretty crazy too if you'd rented this turkey . 	you'd be pretty crazy too if you'd rented this turkey .	3	-2	 you'd[0] be[0] pretty[2] crazy[-1] too[0] if[0] you'd[0] rented[0] this[0] turkey[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
i'd avoid it unless it's on tv and you come across it . 	i'd avoid it unless it's on tv and you come across it .	1	-2	 i'd[0] avoid[-1] it[0] unless[0] it's[0] on[0] tv[0] and[0] you[0] come[0] across[0] it[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
if you do , you may want to watch it , groan at the bad punchlines and stupid plot , and feel good that you didn't spend money renting it . 	if you do , you may want to watch it , groan at the bad punchlines and stupid plot , and feel good that you didn't spend money renting it .	2	-2	 if[0] you[0] do[0] you[0] may[0] want[0] to[0] watch[0] it[0] groan[0] at[0] the[0] bad[-1] punchlines[-1] and[0] stupid[-1] plot[0] and[0] feel[0] good[1] that[0] you[0] didn't[0] spend[0] money[0] renting[0] it[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
