well , what are you going to expect ? 	Translation	Positive	Negative	EmotionRationale
it's a movie about a big snake that eats people . 	it's a movie about a big snake that eats people .	1	-1	 it's[0] a[0] movie[0] about[0] a[0] big[0] snake[0] that[0] eats[0] people[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that's what i should have been thinking when i viewed this film , because maybe then i would have enjoyed myself more . 	that's what i should have been thinking when i viewed this film , because maybe then i would have enjoyed myself more .	3	-1	 that's[0] what[0] i[0] should[0] have[0] been[0] thinking[0] when[0] i[0] viewed[0] this[0] film[0] because[0] maybe[0] then[0] i[0] would[0] have[0] enjoyed[2] myself[0] more[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
instead , i ended up wishing a giant snake would come along and eat me , too . 	instead , i ended up wishing a giant snake would come along and eat me , too .	1	-1	 instead[0] i[0] ended[0] up[0] wishing[0] a[0] giant[0] snake[0] would[0] come[0] along[0] and[0] eat[0] me[0] too[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
anaconda is about a documentary film crew sailing down a south american river . 	anaconda is about a documentary film crew sailing down a south american river .	1	-1	 anaconda[0] is[0] about[0] a[0] documentary[0] film[0] crew[0] sailing[0] down[0] a[0] south[0] american[0] river[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
led by anthropologists dr . steven cale ( eric stolz ) and terri flores ( jennifer lopez ) , the crew is attempting to locate a lost tribe of natives . 	led by anthropologists dr .<br> steven cale ( eric stolz ) and terri flores ( jennifer lopez ) , the crew is attempting to locate a lost tribe of natives .	1	-1	 led[0] by[0] anthropologists[0] dr[0] [[Sentence=-1,1=word max, 1-5]] steven[0] cale[0] eric[0] stolz[0] and[0] terri[0] flores[0] jennifer[0] lopez[0] the[0] crew[0] is[0] attempting[0] to[0] locate[0] a[0] lost[0] tribe[0] of[0] natives[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
along the way , they find poacher paul sarone ( jon voight ) , and become unwillingly embroiled in his quest to capture the elusive anaconda . 	along the way , they find poacher paul sarone ( jon voight ) , and become unwillingly embroiled in his quest to capture the elusive anaconda .	1	-2	 along[0] the[0] way[0] they[0] find[0] poacher[0] paul[0] sarone[0] jon[0] voight[0] and[0] become[0] unwillingly[-1] embroiled[0] in[0] his[0] quest[0] to[0] capture[-1] the[0] elusive[0] anaconda[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
to simply say that this is the world's largest snake wouldn't be doing it justice , since the anaconda in this movie is at least two feet wide . 	to simply say that this is the world's largest snake wouldn't be doing it justice , since the anaconda in this movie is at least two feet wide .	1	-1	 to[0] simply[0] say[0] that[0] this[0] is[0] the[0] world's[0] largest[0] snake[0] wouldn't[0] be[0] doing[0] it[0] justice[0] since[0] the[0] anaconda[0] in[0] this[0] movie[0] is[0] at[0] least[0] two[0] feet[0] wide[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
if this isn't a good reason to avoid picking up hitchhikers , i don't know what is . 	if this isn't a good reason to avoid picking up hitchikers , i don't know what is .	1	-2	 if[0] this[0] isn't[0] a[0] good[1][NegatedDueToPreviousWord] reason[0] to[0] avoid[-1] picking[0] up[0] hitchhikers/hitchikers[0] i[0] don't[0] know[0] what[0] is[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
at the beginning of anaconda , we find that flores and cale have had some kind of relationship in the past , but that seems to be more or less over now . 	at the beginning of anaconda , we find that flores and cale have had some kind of relationship in the past , but that seems to be more or less over now .	1	-1	 at[0] the[0] beginning[0] of[0] anaconda[0] we[0] find[0] that[0] flores[0] and[0] cale[0] have[0] had[0] some[0] kind[1][-1 LastWordBoosterStrength] of[0] relationship[0] in[0] the[0] past[0] but[0] that[0] seems[0] to[0] be[0] more[0] or[0] less[0] over[0] now[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
i expected that fact to play a key part somewhere down the line , but it ended up being a set-up for nothing . 	i expected that fact to play a key part somewhere down the line , but it ended up being a set-up for nothing .	1	-1	 i[0] expected[0] that[0] fact[0] to[0] play[0] a[0] key[0] part[0] somewhere[0] down[0] the[0] line[0] but[0] it[0] ended[0] up[0] being[0] a[0] set[0] up[0] for[0] nothing[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
