1989's " major league " was a delightful surprise . 	Translation	Positive	Negative	EmotionRationale
i didn't expect much of it when i decided to watch it on cable , but it proved to be fresh and funny . 	i didn't expect much of it when i decided to watch it on cable , but it proved to be fresh and funny .	2	-1	 i[0] didn't[0] expect[0] much[0] of[0] it[0] when[0] i[0] decided[0] to[0] watch[0] it[0] on[0] cable[0] but[0] it[0] proved[0] to[0] be[0] fresh[0] and[0] funny[1] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
however , when the appeal of a movie is its freshness , the sequels are virtually guaranteed to be stale . 	however , when the appeal of a movie is its freshness , the sequels are virtually guaranteed to be stale .	1	-2	 however[0] when[0] the[0] appeal[0] of[0] a[0] movie[0] is[0] its[0] freshness[0] the[0] sequels[0] are[0] virtually[0] guaranteed[0] to[0] be[0] stale[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
that's certainly true of " major league ii " and the most recent entry , " major league : back to the minors . " 	that's certainly true of " major league i " and the most recent entry , " major league : back to the minors .<br> "	2	-1	 that's[0] certainly[0] true[1] of[0] major[0] league[0] ii/i[0] and[0] the[0] most[0] recent[0] entry[0] major[0] league[0] back[0] to[0] the[0] minors[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the title is , of course , a contradiction . 	the title is , of course , a contradiction .	1	-2	 the[0] title[0] is[0] of[0] course[0] a[0] contradiction[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
shouldn't it be " minor league ? " 	shouldn't it be " minor league ?<br> "	1	-1	 shouldn't[0] it[0] be[0] minor[0] league[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
that contradiction suggests the lengths to which writer/director john warren has gone to squeeze a third movie out of the formula established by the first movie . 	that contradiction suggests the lengths to which writer/director john warren has gone to squeeze a third movie out of the formula established by the first movie .	1	-2	 that[0] contradiction[-1] suggests[0] the[0] lengths[0] to[0] which[0] writer/director[0] john[0] warren[0] has[0] gone[0] to[0] squeeze[0] a[0] third[0] movie[0] out[0] of[0] the[0] formula[0] established[0] by[0] the[0] first[0] movie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
original stars charlie sheen and tom berenger ( who returned for " major league ii " ) are not around , leaving corbin bernsen the only original headliner to make the third movie . 	original stars charlie sheen and tom berenger ( who returned for " major league i " ) are not around , leaving corbin bernsen the only original headliner to make the third movie .	1	-1	 original[0] stars[0] charlie[0] sheen[0] and[0] tom[0] berenger[0] who[0] returned[0] for[0] major[0] league[0] ii/i[0] are[0] not[0] around[0] leaving[0] corbin[0] bernsen[0] the[0] only[0] original[0] headliner[0] to[0] make[0] the[0] third[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the other veterans who return ( dennis haysbert as voodoo-inspired batter cerrano and takaaki ishibashi as tanaka , who was introduced in " league ii " ) seem to be around just to lend legitimacy to the enterprise . 	the other veterans who return ( dennis haysbert as voodoo-inspired batter cerrano and takaki ishibashi as tanaka , who was introduced in " league i " ) seem to be around just to lend legitimacy to the enterprise .	3	-1	 the[0] other[0] veterans[0] who[0] return[0] dennis[0] haysbert[0] as[0] voodoo[0] inspired[2] batter[0] cerrano[0] and[0] takaaki/takaki[0] ishibashi[0] as[0] tanaka[0] who[0] was[0] introduced[0] in[0] league[0] ii/i[0] seem[0] to[0] be[0] around[0] just[0] to[0] lend[0] legitimacy[0] to[0] the[0] enterprise[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
the only returning cast member who produces any laughs is bob uecker as radio announcer harry doyle , inexplicably broadcasting the games of a minor league team far from his home turf . 	the only returning cast member who produces any laughs is bob uecker as radio announcer harry doyle , inexplicably broadcasting the games of a minor league team far from his home turf .	2	-1	 the[0] only[0] returning[0] cast[0] member[0] who[0] produces[0] any[0] laughs[1] is[0] bob[0] uecker[0] as[0] radio[0] announcer[0] harry[0] doyle[0] inexplicably[0] broadcasting[0] the[0] games[0] of[0] a[0] minor[0] league[0] team[0] far[0] from[0] his[0] home[0] turf[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the protagonist this time around is retiring pitcher gus cantrell ( scott bakula ) , who is hired by minnesota twins owner roger dorn ( bernsen ) to manage the twins' aaa team , the buzz . 	the protagonist this time around is retiring pitcher gus cantrell ( scot bakula ) , who is hired by minnesota twins owner roger dorn ( bernsen ) to manage the twins' a team , the buz .	2	-1	 the[0] protagonist[0] this[0] time[0] around[0] is[0] retiring[0] pitcher[0] gus[0] cantrell[0] scott/scot[0] bakula[0] who[0] is[0] hired[0] by[0] minnesota[0] twins[0] owner[0] roger[0] dorn[0] bernsen[0] to[0] manage[0] the[0] twins'[0] aaa/a[0][+0.6 MultipleLetters] team[0] the[0] buzz/buz[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
you can write the movie from here : he finds a group of misfits who need to learn how to play together as a team in order to win . 	you can write the movie from here : he finds a group of misfits who need to learn how to play together as a team in order to win .	1	-1	 you[0] can[0] write[0] the[0] movie[0] from[0] here[0] he[0] finds[0] a[0] group[0] of[0] misfits[0] who[0] need[0] to[0] learn[0] how[0] to[0] play[0] together[0] as[0] a[0] team[0] in[0] order[0] to[0] win[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's a future superstar whose ego keeps him from growing ( walton goggins ) , an ex-ballet dancer ( kenneth johnson ) , a broken-down old timer ( thom barry ) , twin outfielders both named juan ( the difilippo triplets ) , and a couple pitchers with throwing problems ( judson mills and peter mackenzie ) . 	there's a future superstar whose ego keeps him from growing ( walton goggins ) , an ex-ballet dancer ( kenneth johnson ) , a broken-down old timer ( thom barry ) , twin outfielders both named juan ( the difilippo triplets ) , and a couple pitchers with throwing problems ( judson mills and peter mackenzie ) .	1	-2	 there's[0] a[0] future[0] superstar[0] whose[0] ego[0] keeps[0] him[0] from[0] growing[0] walton[0] goggins[0] an[0] ex[0] ballet[0] dancer[0] kenneth[0] johnson[0] a[0] broken[-1] down[0] old[0] timer[0] thom[0] barry[0] twin[0] outfielders[0] both[0] named[0] juan[0] the[0] difilippo[0] triplets[0] and[0] a[0] couple[0] pitchers[0] with[0] throwing[0] problems[-1] judson[0] mills[0] and[0] peter[0] mackenzie[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
along the way , gus picks up cerrano and tanaka ( gus is supposedly an old teammate of theirs , even though he wasn't in either of the preceding films ) . 	along the way , gus picks up cerrano and tanaka ( gus is supposedly an old teammate of theirs , even though he wasn't in either of the preceding films ) .	1	-1	 along[0] the[0] way[0] gus[0] picks[0] up[0] cerrano[0] and[0] tanaka[0] gus[0] is[0] supposedly[0] an[0] old[0] teammate[0] of[0] theirs[0] even[0] though[0] he[0] wasn't[0] in[0] either[0] of[0] the[0] preceding[0] films[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
sum total : none . 	sum total : none .	1	-1	 sum[0] total[0] none[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the entire enterprise is artificial , and the cast is not ready for the hollywood majors . 	the entire enterprise is artificial , and the cast is not ready for the hollywood majors .	1	-1	 the[0] entire[0] enterprise[0] is[0] artificial[0] and[0] the[0] cast[0] is[0] not[0] ready[0] for[0] the[0] hollywood[0] majors[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gus' antagonist is twins manager leonard huff ( ted mcginley ) . 	gus' antagonist is twins manager leonard huff ( ted mcginley ) .	1	-2	 gus'[0] antagonist[-1] is[0] twins[0] manager[0] leonard[0] huff[0] ted[0] mcginley[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
leonard is a slimy , sniveling little egotist , and the twins are lazy , spoiled , and full of themselves . 	leonard is a slimy , sniveling little egotist , and the twins are lazy , spoiled , and full of themselves .	1	-3	 leonard[0] is[0] a[0] slimy[0] sniveling[0] little[0] egotist[-2] and[0] the[0] twins[0] are[0] lazy[-1] spoiled[-1] and[0] full[0] of[0] themselves[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
 ( even watching the first movie i wondered why any real-life team would lend itself to being caricatured in this manner ) . 	 ( even watching the first movie i wondered why any real-life team would lend itself to being caricatured in this manner ) .	1	-1	 even[0] watching[0] the[0] first[0] movie[0] i[0] wondered[0] why[0] any[0] real[0] life[0] team[0] would[0] lend[0] itself[0] to[0] being[0] caricatured[0] in[0] this[0] manner[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
gus challenges leonard to a match , the buzz vs . the twins . 	gus challenges leonard to a match , the buz vs .<br> the twins .	1	-2	 gus[0] challenges[-1] leonard[0] to[0] a[0] match[0] the[0] buzz/buz[0] vs[0] [[Sentence=-2,1=word max, 1-5]] the[0] twins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
 ( wanna guess who wins ? ) 	 ( wanna guess who wins ?<br> )	1	-1	 wanna[0] guess[0] who[0] wins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " back to the minors " is a movie that has no reason to exist . 	 " back to the minors " is a movie that has no reason to exist .	1	-1	 back[0] to[0] the[0] minors[0] is[0] a[0] movie[0] that[0] has[0] no[0] reason[0] to[0] exist[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
there's hardly a laugh in it , the cast is weak , and the first movie left no room for even one sequel . 	there's hardly a laugh in it , the cast is weak , and the first movie left no room for even one sequel .	2	-2	 there's[0] hardly[0] a[0] laugh[1] in[0] it[0] the[0] cast[0] is[0] weak[-1] and[0] the[0] first[0] movie[0] left[0] no[0] room[0] for[0] even[0] one[0] sequel[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
