let's get this one over with as quickly as possible . 	Translation	Positive	Negative	EmotionRationale
if there was a possibility to receive a refund , this review would not be forthcoming . 	if there was a possibility to receive a refund , this review would not be forthcoming .	1	-1	 if[0] there[0] was[0] a[0] possibility[0] to[0] receive[0] a[0] refund[0] this[0] review[0] would[0] not[0] be[0] forthcoming[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
but as it is , " godzilla " is without a doubt the loudest , longest , and ultimately most amateurishly written film ever released through a major studio . 	but as it is , " godzilla " is without a doubt the loudest , longest , and ultimately most amateurishly written film ever released through a major studio .	1	-2	 but[0] as[0] it[0] is[0] godzilla[0] is[0] without[0] a[0] doubt[-1] the[0] loudest[0] longest[0] and[0] ultimately[0] most[0] amateurishly[0] written[0] film[0] ever[0] released[0] through[0] a[0] major[0] studio[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
producer dean devlin and director roland emmerich should be ashamed of themselves , and as penance be forced to return to film school to watch " last year at merienbad " until they can grasp the idea of content and plot . 	producer dean devlin and director roland emmerich should be ashamed of themselves , and as penance be forced to return to film school to watch " last year at merienbad " until they can grasp the idea of content and plot .	1	-2	 producer[0] dean[0] devlin[0] and[0] director[0] roland[0] emmerich[0] should[0] be[0] ashamed[-1] of[0] themselves[0] and[0] as[0] penance[0] be[0] forced[0] to[0] return[0] to[0] film[0] school[0] to[0] watch[0] last[0] year[0] at[0] merienbad[0] until[0] they[0] can[0] grasp[0] the[0] idea[0] of[0] content[0] and[0] plot[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
no amount of hype , no amount of money can hide the fact that these filmmakers are the 90s equivalent to william beaudine ( billy the kid vs . 	no amount of hype , no amount of money can hide the fact that these filmmakers are the 90s equivalent to william beaudine ( billy the kid vs .	1	-1	 no[0] amount[0] of[0] hype[0] no[0] amount[0] of[0] money[0] can[0] hide[0] the[0] fact[0] that[0] these[0] filmmakers[0] are[0] the[0] 90s[0] equivalent[0] to[0] william[0] beaudine[0] billy[0] the[0] kid[0] vs[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
dracula ) . 	dracula ) .	1	-1	 dracula[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " godzilla " opens with stock footage of the bikini atoll nuclear tests interspersed with footage of iguanas playfully swimming and nuzzling their eggs . 	 " godzilla " opens with stock footage of the bikini atoll nuclear tests interspersed with footage of iguanas playfully swimming and nuzling their eggs .	2	-1	 godzilla[0] opens[0] with[0] stock[0] footage[0] of[0] the[0] bikini[0] atoll[0] nuclear[0] tests[0] interspersed[0] with[0] footage[0] of[0] iguanas[0] playfully[1] swimming[0] and[0] nuzzling/nuzling[0] their[0] eggs[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
we are then introduced to the crew of a japanese fish canning ship ( a questionable enterprise considering that tuna processing is supposed to be supervised to eliminate the netting of dolphins ) . 	we are then introduced to the crew of a japanese fish canning ship ( a questionable enterprise considering that tuna processing is supposed to be supervised to eliminate the netting of dolphins ) .	1	-2	 we[0] are[0] then[0] introduced[0] to[0] the[0] crew[0] of[0] a[0] japanese[0] fish[0] canning[0] ship[0] a[0] questionable[-1] enterprise[0] considering[0] that[0] tuna[0] processing[0] is[0] supposed[0] to[0] be[0] supervised[0] to[0] eliminate[-1] the[0] netting[0] of[0] dolphins[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
well , the ship is attacked and sunk by an unseen creature . 	well , the ship is attacked and sunk by an unseen creature .	1	-3	 well[0] the[0] ship[0] is[0] attacked[-2] and[0] sunk[0] by[0] an[0] unseen[0] creature[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
later , a group of frenchmen led by philippe roache ( jean reno ) interview the sole survivor . 	later , a group of frenchmen led by philippe roache ( jean reno ) interview the sole survivor .	1	-1	 later[0] a[0] group[0] of[0] frenchmen[0] led[0] by[0] philippe[0] roache[0] jean[0] reno[0] interview[0] the[0] sole[0] survivor[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a state of shock , the only thing the man can utter is the word " gojira " ( the japanese name of the famed beast ) . 	in a state of shock , the only thing the man can utter is the word " gojira " ( the japanese name of the famed beast ) .	1	-3	 in[0] a[0] state[0] of[0] shock[-2] the[0] only[0] thing[0] the[0] man[0] can[0] utter[0] is[0] the[0] word[0] gojira[0] the[0] japanese[0] name[0] of[0] the[0] famed[0] beast[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
we are then introduced to dr . nick tatopoulos ( matthew broderick , with a moniker obviously taken from the effects designer of the film ) . 	we are then introduced to dr .<br> nick tatopoulos ( matthew broderick , with a moniker obviously taken from the effects designer of the film ) .	1	-1	 we[0] are[0] then[0] introduced[0] to[0] dr[0] [[Sentence=-1,1=word max, 1-5]] nick[0] tatopoulos[0] matthew[0] broderick[0] with[0] a[0] moniker[0] obviously[0] taken[0] from[0] the[0] effects[0] designer[0] of[0] the[0] film[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he is currently studying the effects that the chernobyl disaster has had on the local earthworm population . 	he is currently studying the effects that the chernobyl disaster has had on the local earthworm population .	1	-2	 he[0] is[0] currently[0] studying[0] the[0] effects[0] that[0] the[0] chernobyl[0] disaster[-1] has[0] had[0] on[0] the[0] local[0] earthworm[0] population[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
he is immediately drafted by the u . s . military and taken to panama where he is shown the huge footprints of a creature . 	he is immediately drafted by the you .<br> s .<br> military and taken to panama where he is shown the huge footprints of a creature .	1	-1	 he[0] is[0] immediately[0] drafted[0] by[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] military[0] and[0] taken[0] to[0] panama[0] where[0] he[0] is[0] shown[0] the[0] huge[0] footprints[0] of[0] a[0] creature[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
in a short amount of time , another fishing boat ( loaded with canned tuna from the u . s . and korea for some reason ) is found grounded in jamaica . 	in a short amount of time , another fishing boat ( loaded with canned tuna from the you .<br> s .<br> and korea for some reason ) is found grounded in jamaica .	1	-1	 in[0] a[0] short[0] amount[0] of[0] time[0] another[0] fishing[0] boat[0] loaded[0] with[0] canned[0] tuna[0] from[0] the[0] u[0] [[Sentence=-1,1=word max, 1-5]] s[0] [[Sentence=-1,1=word max, 1-5]] and[0] korea[0] for[0] some[0] reason[0] is[0] found[0] grounded[0] in[0] jamaica[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
well , it seems that whatever is eating these ships is headed for new york . 	well , it seems that whatever is eating these ships is headed for new york .	1	-1	 well[0] it[0] seems[0] that[0] whatever[0] is[0] eating[0] these[0] ships[0] is[0] headed[0] for[0] new[0] york[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
when the beast finally appears , he tears up one building , stomps a couple of trucks and makes life hell for the incumbent mayor ebert ( thumbs up for new york ) . 	when the beast finally appears , he tears up one building , stomps a couple of trucks and makes life hell for the incumbent mayor ebert ( thumbs up for new york ) .	1	-4	 when[0] the[0] beast[0] finally[0] appears[0] he[0] tears[-3] up[0] one[0] building[0] stomps[0] a[0] couple[0] of[0] trucks[0] and[0] makes[0] life[0] hell[-1] for[0] the[0] incumbent[0] mayor[0] ebert[0] thumbs[0] up[0] for[0] new[0] york[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
the military , with dr . tatopoulos's help , have two tons of fresh fish dumped in the middle of new york to lure the beast out of its hiding place in the new york subway system . 	the military , with dr .<br> tatopoulos's help , have two tons of fresh fish dumped in the middle of new york to lure the beast out of its hiding place in the new york subway system .	1	-2	 the[0] military[0] with[0] dr[0] [[Sentence=-1,1=word max, 1-5]] tatopoulos's[0] help[0] have[0] two[0] tons[0] of[0] fresh[0] fish[0] dumped[-1] in[0] the[0] middle[0] of[0] new[0] york[0] to[0] lure[-1] the[0] beast[0] out[0] of[0] its[0] hiding[0] place[0] in[0] the[0] new[0] york[0] subway[0] system[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
it finally comes crashing through the city streets and has a cute face to face with dr . tatopoulos who snaps the beast's picture . 	it finally comes crashing through the city streets and has a cute face to face with dr .<br> tatopoulos who snaps the beast's picture .	2	-1	 it[0] finally[0] comes[0] crashing[0] through[0] the[0] city[0] streets[0] and[0] has[0] a[0] cute[1] face[0] to[0] face[0] with[0] dr[0] [[Sentence=-1,2=word max, 1-5]] tatopoulos[0] who[0] snaps[0] the[0] beast's[0] picture[0] [[Sentence=-1,1=word max, 1-5]][[[2,-1 max of sentences]]]
