kate ( jennifer aniston ) is having some problems . 	Translation	Positive	Negative	EmotionRationale
it appears the twenty-eight year old is not happy with her slow progression up the company ladder , and her love life apparently leaves something to be desired . 	it appears the twenty-eight year old is not happy with her slow progression up the company ladder , and her love life apparently leaves something to be desired .	3	-2	 it[0] appears[0] the[0] twenty[0] eight[0] year[0] old[0] is[0] not[0] happy[1][NegatedDueToPreviousWord] with[0] her[0] slow[0] progression[0] up[0] the[0] company[0] ladder[0] and[0] her[0] love[2] life[0] apparently[0] leaves[0] something[0] to[0] be[0] desired[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
she learns that her problems are related , as the owner of her advertising agency , mr . mercer ( kevin dunn ) , explains to her that her single status does not bode well with the company . 	she learns that her problems are related , as the owner of her advertising agency , mr .<br> mercer ( kevin dun ) , explains to her that her single status does not bode well with the company .	1	-2	 she[0] learns[0] that[0] her[0] problems[-1] are[0] related[0] as[0] the[0] owner[0] of[0] her[0] advertising[0] agency[0] mr[0] [[Sentence=-2,1=word max, 1-5]] mercer[0] kevin[0] dunn/dun[0] explains[0] to[0] her[0] that[0] her[0] single[0] status[0] does[0] not[0] bode[0] well[0] with[0] the[0] company[0] [[Sentence=-1,1=word max, 1-5]][[[1,-2 max of sentences]]]
her freedom would make her more likely to leave the company , taking clients with her . 	her freedom would make her more likely to leave the company , taking clients with her .	1	-1	 her[0] freedom[0] would[0] make[0] her[0] more[0] likely[0] to[0] leave[0] the[0] company[0] taking[0] clients[0] with[0] her[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
a solution presents itself in nick ( jay mohr ) , a wedding videographer who kate meets through a coincidence and gets photographed with . 	a solution presents itself in nick ( jay mohr ) , a wedding videographer who kate meets through a coincidence and gets photographed with .	1	-1	 a[0] solution[0] presents[0] itself[0] in[0] nick[0] jay[0] mohr[0] a[0] wedding[0] videographer[0] who[0] kate[0] meets[0] through[0] a[0] coincidence[0] and[0] gets[0] photographed[0] with[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kate's boss , darcy ( illeana douglas ) , uses the photograph to fabricate a wedding engagement between kate and nick . 	kate's boss , darcy ( illeana douglas ) , uses the photograph to fabricate a wedding engagement between kate and nick .	1	-2	 kate's[0] boss[0] darcy[0] illeana[0] douglas[0] uses[0] the[0] photograph[0] to[0] fabricate[-1] a[0] wedding[0] engagement[0] between[0] kate[0] and[0] nick[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
kate is at first repulsed by the idea , but after getting immediate positive results , she pursues it . 	kate is at first repulsed by the idea , but after getting immediate positive results , she pursues it .	3	-1	 kate[0] is[0] at[0] first[0] repulsed[0] by[0] the[0] idea[0] but[0] after[0] getting[0] immediate[0] positive[2] results[0] she[0] pursues[0] it[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
her first task is to convince nick to go along with her plan . 	her first task is to convince nick to go along with her plan .	1	-1	 her[0] first[0] task[0] is[0] to[0] convince[0] nick[0] to[0] go[0] along[0] with[0] her[0] plan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the actual plan consists of nick pretending to be her fianc ? . 	the actual plan consists of nick pretending to be her fianc ?<br> .	1	-1	 the[0] actual[0] plan[0] consists[0] of[0] nick[0] pretending[0] to[0] be[0] her[0] fianc[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
at a dinner with kate's bosses he will provoke a fight and they will break up . 	at a dinner with kate's bosses he will provoke a fight and they will break up .	1	-3	 at[0] a[0] dinner[0] with[0] kate's[0] bosses[0] he[0] will[0] provoke[-1] a[0] fight[-2] and[0] they[0] will[0] break[0] up[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she meets nick to propose the plan . 	she meets nick to propose the plan .	1	-1	 she[0] meets[0] nick[0] to[0] propose[0] the[0] plan[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
he accepts . 	he accepts .	1	-1	 he[0] accepts[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
kate's new status brings unexpected results in other areas . 	kate's new status brings unexpected results in other areas .	1	-1	 kate's[0] new[0] status[0] brings[0] unexpected[0] results[0] in[0] other[0] areas[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the office bad boy , sam ( kevin bacon ) , who wouldn't give kate the time of day , now does . 	the office bad boy , sam ( kevin bacon ) , who wouldn't give kate the time of day , now does .	1	-2	 the[0] office[0] bad[-1] boy[0] sam[0] kevin[0] bacon[0] who[0] wouldn't[0] give[0] kate[0] the[0] time[0] of[0] day[0] now[0] does[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
now that she is engaged , he pursues an affair with her , as doing so would destroy her good girl image , hence sam's sudden interest . 	now that she is engaged , he pursues an affair with her , as doing so would destroy her good girl image , hence sam's sudden interest .	2	-2	 now[0] that[0] she[0] is[0] engaged[0] he[0] pursues[0] an[0] affair[0] with[0] her[0] as[0] doing[0] so[0] would[0] destroy[-2][--1 LastWordBoosterStrength] her[0] good[1] girl[0] image[0] hence[0] sam's[0] sudden[0] interest[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
things start to fall apart for kate , as it becomes apparent that nick really likes her , and does not wish to break up with her . 	things start to fall apart for kate , as it becomes apparent that nick really likes her , and does not wish to break up with her .	4	-1	 things[0] start[0] to[0] fall[0] apart[0] for[0] kate[0] as[0] it[0] becomes[0] apparent[0] that[0] nick[0] really[0] likes[2][1 LastWordBoosterStrength] her[0] and[0] does[0] not[0] wish[0] to[0] break[0] up[0] with[0] her[0] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
