 " we are grateful that we have the songs of grace chan to comfort us . " 	Translation	Positive	Negative	EmotionRationale
starring lee kang-sheng , yang kuei-mei directed by tsai ming-liang written by tsai and yang ping-ying cinematography by liao peng-jung 	starring lee kang-sheng , yang kuei-mei directed by tsai ming-liang written by tsai and yang ping-ying cinematography by liao peng-jung	1	-1	 starring[0] lee[0] kang[0] sheng[0] yang[0] kuei[0] mei[0] directed[0] by[0] tsai[0] ming[0] liang[0] written[0] by[0] tsai[0] and[0] yang[0] ping[0] ying[0] cinematography[0] by[0] liao[0] peng[0] jung[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
taiwan , 24/12/99 . 	taiwan , 24/12/99 .	1	-1	 taiwan[0] 24/12/99[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the millenium approaches . 	the millenium approaches .	1	-1	 the[0] millenium[0] approaches[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
an incessant downpour batters an unnamed city . 	an incessant downpour batters an unnamed city .	1	-2	 an[0] incessant[-1] downpour[0] batters[0] an[0] unnamed[0] city[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
sectors of the city are being sealed , quarantined due to the onset of a mysterious virus . 	sectors of the city are being sealed , quarantined due to the onset of a mysterious virus .	1	-1	 sectors[0] of[0] the[0] city[0] are[0] being[0] sealed[0] quarantined[0] due[0] to[0] the[0] onset[0] of[0] a[0] mysterious[0] virus[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
the virus causes people to act like insects : they crawl about on all fours , hide from bright lights , huddle in damp corners . 	the virus causes people to act like insects : they crawl about on all fours , hide from bright lights , huddle in damp corners .	2	-1	 the[0] virus[0] causes[0] people[0] to[0] act[0] like[1] insects[0] they[0] crawl[0] about[0] on[0] all[0] fours[0] hide[0] from[0] bright[0] lights[0] huddle[0] in[0] damp[0] corners[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the water supply to the quarantined zones will be cut off in a week's time . 	the water supply to the quarantined zones will be cut off in a week's time .	1	-1	 the[0] water[0] supply[0] to[0] the[0] quarantined[0] zones[0] will[0] be[0] cut[0] off[0] in[0] a[0] week's[0] time[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
residents are advised to evacuate the area , asap . 	residents are advised to evacuate the area , asap .	1	-1	 residents[0] are[0] advised[0] to[0] evacuate[0] the[0] area[0] asap[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
this premise--kafka by way of cronenberg--is the background for the hole , which could have been a great movie , but , sadly , ends up as a waste of good ideas . 	this premise-kafka by way of cronenberg-is the background for the hole , which could have been a great movie , but , sadly , ends up as a waste of good ideas .	3	-2	 this[0] premise[0] kafka[0] by[0] way[0] of[0] cronenberg[0] is[0] the[0] background[0] for[0] the[0] hole[0] which[0] could[0] have[0] been[0] a[0] great[2] movie[0] but[0] sadly[-1] ends[0] up[0] as[0] a[0] waste[-1] of[0] good[1] ideas[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
the quick sketch above suggests a dark , absurd , hallucinatory near-future parable of life in the late 20th century ; in execution , however , it is nothing like that . 	the quick sketch above suggests a dark , absurd , hallucinatory near-future parable of life in the late 20th century ; in execution , however , it is nothing like that .	2	-2	 the[0] quick[0] sketch[0] above[0] suggests[0] a[0] dark[0] absurd[-1] hallucinatory[0] near[0] future[0] parable[0] of[0] life[0] in[0] the[0] late[0] 20th[0] century[0] in[0] execution[0] however[0] it[0] is[0] nothing[0] like[1] that[0] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
