synopsis : original " jurassic park " survivor alan grant ( neill ) is tricked by paul and amanda kirby ( macy and leoni ) into leading an expedition to an island overrun by dinosaur , to rescue their stranded son . 	Translation	Positive	Negative	EmotionRationale
grant's team is picked off one by one as they encounter dinosaurs both new and familiar , and grant grows to realise that some breeds are more intelligent than he previously thought . 	grant's team is picked off one by one as they encounter dinosaurs both new and familiar , and grant grows to realise that some breeds are more intelligent than he previously thought .	2	-1	 grant's[0] team[0] is[0] picked[0] off[0] one[0] by[0] one[0] as[0] they[0] encounter[0] dinosaurs[0] both[0] new[0] and[0] familiar[0] and[0] grant[0] grows[0] to[0] realise[0] that[0] some[0] breeds[0] are[0] more[0] intelligent[1] than[0] he[0] previously[0] thought[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
review : there is one reason why " jurassic park iii " is better than its immediate predecessor , " the lost world : jurassic park " . 	review : there is one reason why " jurassic park i " is better than its immediate predecessor , " the lost world : jurassic park " .	2	-1	 review[0] there[0] is[0] one[0] reason[0] why[0] jurassic[0] park[0] iii/i[0][+0.6 MultipleLetters] is[0] better[0] than[0] its[0] immediate[0] predecessor[0] the[0] lost[0] world[0] jurassic[0] park[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
the latter wasted 129 minutes of my life ; the former , only 94 . 	the latter wasted 129 minutes of my life ; the former , only 94 .	1	-2	 the[0] latter[0] wasted[-1] 129[0] minutes[0] of[0] my[0] life[0] the[0] former[0] only[0] 94[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
the first " park " was a marvellous film , full of awe-inspiring sights , interesting characters , and genuine thrills . 	the first " park " was a marvellous film , full of awe-inspiring sights , interesting characters , and genuine thrills .	4	-1	 the[0] first[0] park[0] was[0] a[0] marvellous[0] film[0] full[0] of[0] awe[0] inspiring[2] sights[0] interesting[1] characters[0] and[0] genuine[0] thrills[3] [[Sentence=-1,4=word max, 1-5]][[[4,-1 max of sentences]]]
its two successors have been pale imitations , amounting to hundred-million-dollar b-grade horror movies . 	its two successors have been pale imitations , amounting to hundred-million-dollar b-grade horror movies .	1	-4	 its[0] two[0] successors[0] have[0] been[0] pale[0] imitations[0] amounting[0] to[0] hundred[0] million[0] dollar[0] b[0] grade[0] horror[-3] movies[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
at least this third entry realises it ; whereas " the lost world " tried to justify its existence with a ludicrous and overextended plot , " jurassic park iii " simply sticks its characters on an island with a bunch of dinosaurs and lets the mayhem begin . 	at least this third entry realises it ; whereas " the lost world " tried to justify its existence with a ludicrous and overextended plot , " jurassic park i " simply sticks its characters on an island with a bunch of dinosaurs and lets the mayhem begin .	2	-3	 at[0] least[0] this[0] third[0] entry[0] realises[0] it[0] whereas[0] the[0] lost[0] world[0] tried[0] to[0] justify[0] its[0] existence[0] with[0] a[0] ludicrous[-2] and[0] overextended[0] plot[0] jurassic[0] park[0] iii/i[0][+0.6 MultipleLetters] simply[0] sticks[0] its[0] characters[0] on[0] an[0] island[0] with[0] a[0] bunch[0] of[0] dinosaurs[0] and[0] lets[0] the[0] mayhem[0] begin[0] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
there is a desperate sense of deja vu presiding over this movie ; the computer-animated dinos are no longer novel or exciting , and even the first-time presence of aerial lizards scarcely improves the situation . 	there is a desperate sense of deja vu presiding over this movie ; the computer-animated dinos are no longer novel or exciting , and even the first-time presence of aerial lizards scarcely improves the situation .	3	-3	 there[0] is[0] a[0] desperate[-2] sense[0] of[0] deja[0] vu[0] presiding[0] over[0] this[0] movie[0] the[0] computer[0] animated[0] dinos[0] are[0] no[0] longer[0] novel[0] or[0] exciting[2] and[0] even[0] the[0] first[0] time[0] presence[0] of[0] aerial[0] lizards[0] scarcely[0] improves[1] the[0] situation[0] [[Sentence=-3,3=word max, 1-5]][[[3,-3 max of sentences]]]
remember that wondrous first trolley ride through the park in the original movie ? 	remember that wondrous first trolley ride through the park in the original movie ?	1	-1	 remember[0] that[0] wondrous[0] first[0] trolley[0] ride[0] through[0] the[0] park[0] in[0] the[0] original[0] movie[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
nothing in this rehash even comes close . 	nothing in this rehash even comes close .	1	-1	 nothing[0] in[0] this[0] rehash[0] even[0] comes[0] close[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
add in execrable dialogue from screenwriters buchman , payne and taylor , and phoned-in performances by the normally capable macy and leoni , and it is difficult to recommend the film to anyone but dino enthusiasts . 	add in execrable dialogue from screenwriters buchman , payne and taylor , and phoned-in performances by the normally capable macy and leoni , and it is difficult to recommend the film to anyone but dino enthusiasts .	3	-2	 add[0] in[0] execrable[0] dialogue[0] from[0] screenwriters[0] buchman[0] payne[0] and[0] taylor[0] and[0] phoned[0] in[0] performances[0] by[0] the[0] normally[0] capable[0] macy[0] and[0] leoni[0] and[0] it[0] is[0] difficult[-1] to[0] recommend[0] the[0] film[0] to[0] anyone[0] but[0] dino[0] enthusiasts[2] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
