susan granger's review of " glitter " ( 20th century-fox ) 	Translation	Positive	Negative	EmotionRationale
there's less here than meets the eye . 	there's less here than meets the eye .	1	-1	 there's[0] less[0] here[0] than[0] meets[0] the[0] eye[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
or , put it this way , if you thought madonna was awful in " shanghai surprise , " mariah carey's worse in this reworking of " a star is born . " 	or , put it this way , if you thought madonna was awful in " shanghai surprise , " mariah carey's worse in this reworking of " a star is born .<br> "	1	-4	 or[0] put[0] it[0] this[0] way[0] if[0] you[0] thought[0] madonna[0] was[0] awful[-3] in[0] shanghai[0] surprise[0] mariah[0] carey's[0] worse[-2] in[0] this[0] reworking[0] of[0] a[0] star[0] is[0] born[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
she plays billie frank who , despite being abandoned by her singer/alcoholic mother ( valerie pettiford ) , believes she's destined for greatness because everyone tells her she is . 	she plays billie frank who , despite being abandoned by her singer/alcoholic mother ( valerie pettiford ) , believes she's destined for greatness because everyone tells her she is .	3	-2	 she[0] plays[1] billie[0] frank[0] who[0] despite[0] being[0] abandoned[-1] by[0] her[0] singer/alcoholic[0] mother[0] valerie[0] pettiford[0] believes[0] she's[0] destined[0] for[0] greatness[2] because[0] everyone[0] tells[0] her[0] she[0] is[0] [[Sentence=-2,3=word max, 1-5]][[[3,-2 max of sentences]]]
 " you've got this amazing gift , and you gotta use it , " her roommate says . 	 " you've got this amazing gift , and you gotta use it , " her roommate says .	3	-1	 you've[0] got[0] this[0] amazing[2] gift[0] and[0] you[0] gotta[0] use[0] it[0] her[0] roommate[0] says[0] [[Sentence=-1,3=word max, 1-5]][[[3,-1 max of sentences]]]
 " your voice - it's incredible , " says another singer . 	 " your voice - it's incredible , " says another singer .	1	-1	 your[0] voice[0] it's[0] incredible[0] says[0] another[0] singer[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
 " i ain't never met anyone like you , " proclaims julian " dice " black ( max beesley ) , the hot new york dj who becomes her svengali-like producer/lover . 	 " i ain't never met anyone like you , " proclaims julian " dice " black ( max beesley ) , the hot new york dj who becomes her svengali-like producer/lover .	2	-1	 i[0] ain't[0] never[0] met[0] anyone[0] like[1] you[0] proclaims[0] julian[0] dice[0] black[0] max[0] beesley[0] the[0] hot[0] new[0] york[0] dj[0] who[0] becomes[0] her[0] svengali[0] like[1] producer/lover[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
problem is : her signature song , " i didn't mean to turn you on " is wretched . 	problem is : her signature song , " i didn't mean to turn you on " is wretched .	1	-3	 problem[-1] is[0] her[0] signature[0] song[0] i[0] didn't[0] mean[0] to[0] turn[0] you[0] on[0] is[0] wretched[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
and when she fumes out of filming her first music video because the director wants to " exploit " her by having her wear a bikini , the audience bursts into laughter . 	and when she fumes out of filming her first music video because the director wants to " exploit " her by having her wear a bikini , the audience bursts into laughter .	2	-2	 and[0] when[0] she[0] fumes[-1] out[0] of[0] filming[0] her[0] first[0] music[0] video[0] because[0] the[0] director[0] wants[0] to[0] exploit[0] her[0] by[0] having[0] her[0] wear[0] a[0] bikini[0] the[0] audience[0] bursts[0] into[0] laughter[1] [[Sentence=-2,2=word max, 1-5]][[[2,-2 max of sentences]]]
exploit mariah carey , who chooses to wear as little as the law will allow ? 	exploit mariah carey , who chooses to wear as little as the law will allow ?	1	-1	 exploit[0] mariah[0] carey[0] who[0] chooses[0] to[0] wear[0] as[0] little[0] as[0] the[0] law[0] will[0] allow[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
come on ! 	come on !	1	-1	 come[0] on[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
writer kate lanier's script is fatuous and director vondie curtis-hall doesn't have a clue how to handle the glitzy pop diva and , as a result of their incompetence , whispery-voice'd ms . carey seems to be embarrassed on-screen . 	writer kate lanier's script is fatuous and director vondie curtis-hall doesn't have a clue how to handle the glitzy pop diva and , as a result of their incompetence , whispery-voice'd ms .<br> carey seems to be embarrassed on-screen .	1	-3	 writer[0] kate[0] lanier's[0] script[0] is[0] fatuous[0] and[0] director[0] vondie[0] curtis[0] hall[0] doesn't[0] have[0] a[0] clue[0] how[0] to[0] handle[0] the[0] glitzy[0] pop[0] diva[0] and[0] as[0] a[0] result[0] of[0] their[0] incompetence[-2] whispery[0] voice'd[0] ms[0] [[Sentence=-3,1=word max, 1-5]] carey[0] seems[0] to[0] be[0] embarrassed[-2] on[0] screen[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
she almost cringes when the camera comes in for a close-up , pursing her lips and averting her glassy eyes . 	she almost cringes when the camera comes in for a close-up , pursing her lips and averting her glassy eyes .	1	-2	 she[0] almost[0] cringes[0] when[0] the[0] camera[0] comes[0] in[0] for[0] a[0] close[0] up[0] pursing[0] her[0] lips[0] and[0] averting[-1] her[0] glassy[0] eyes[0] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
talented british musician max beesley appears equally inept , and as cinematographer geoffrey simpson pans around the manhattan skyline , there's an audible audience groan when the twin towers of the world trade center come into view . 	talented british musician max beesley appears equally inept , and as cinematographer geoffrey simpson pans around the manhattan skyline , there's an audible audience groan when the twin towers of the world trade center come into view .	2	-1	 talented[1] british[0] musician[0] max[0] beesley[0] appears[0] equally[0] inept[0] and[0] as[0] cinematographer[0] geoffrey[0] simpson[0] pans[0] around[0] the[0] manhattan[0] skyline[0] there's[0] an[0] audible[0] audience[0] groan[0] when[0] the[0] twin[0] towers[0] of[0] the[0] world[0] trade[0] center[0] come[0] into[0] view[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
perhaps one of the reasons ms . carey suffered her highly-publicized nervous breakdown this summer is because she saw a preview of this clunker . 	perhaps one of the reasons ms .<br> carey suffered her highly-publicized nervous breakdown this summer is because she saw a preview of this clunker .	1	-4	 perhaps[0] one[0] of[0] the[0] reasons[0] ms[0] [[Sentence=-1,1=word max, 1-5]] carey[0] suffered[-3] her[0] highly[0] publicized[0] nervous[-2] breakdown[-1] this[0] summer[0] is[0] because[0] she[0] saw[0] a[0] preview[0] of[0] this[0] clunker[0] [[Sentence=-4,1=word max, 1-5]][[[1,-4 max of sentences]]]
on the granger movie gauge of 1 to 10 , " glitter " is a pathetic 1 . 	on the granger movie gauge of 1 to 10 , " glitter " is a pathetic 1 .	1	-3	 on[0] the[0] granger[0] movie[0] gauge[0] of[0] 1[0] to[0] 10[0] glitter[0] is[0] a[0] pathetic[-2] 1[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
right now , it's tops on my list of the worst of 2001 . 	right now , it's tops on my list of the worst of 2001 .	1	-3	 right[0] now[0] it's[0] tops[0] on[0] my[0] list[0] of[0] the[0] worst[-2] of[0] 2001[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
