this is the worst movie i've seen since the " so bad i walked out on it " " jingle all the way " . 	Translation	Positive	Negative	EmotionRationale
it is crap on toast made of crap baked in a an oven fueled by crap . 	it is crap on toast made of crap baked in a an oven fueled by crap .	1	-3	 it[0] is[0] crap[-2] on[0] toast[0] made[0] of[0] crap[-2] baked[0] in[0] a[0] an[0] oven[0] fueled[0] by[0] crap[-2] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it is crap through and through . 	it is crap through and through .	1	-3	 it[0] is[0] crap[-2] through[0] and[0] through[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
nothing works in this film , as to be expected from joel schumacher , who has made only one watchable film in his entire career ( that being " cousins " ) . 	nothing works in this film , as to be expected from joel schumacher , who has made only one watchable film in his entire career ( that being " cousins " ) .	1	-1	 nothing[0] works[0] in[0] this[0] film[0] as[0] to[0] be[0] expected[0] from[0] joel[0] schumacher[0] who[0] has[0] made[0] only[0] one[0] watchable[0] film[0] in[0] his[0] entire[0] career[0] that[0] being[0] cousins[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
here's a man who admits he's a medicore director , a rather charmingly self-effacing statement . 	here's a man who admits he's a medicore director , a rather charmingly self-effacing statement .	2	-1	 here's[0] a[0] man[0] who[0] admits[0] he's[0] a[0] medicore[0] director[0] a[0] rather[0] charmingly[1] self[0] effacing[0] statement[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
but truth be told , he is much worse than mediocre . 	but truth be told , he is much worse than mediocre .	2	-3	 but[0] truth[1] be[0] told[0] he[0] is[0] much[0] worse[-2] than[0] mediocre[-1] [[Sentence=-3,2=word max, 1-5]][[[2,-3 max of sentences]]]
not all scorn should be heaped on schumacher though -- akiva goldsman should not be allowed to write ever again . 	not all scorn should be heaped on schumacher though - akiva goldsman should not be allowed to write ever again .	2	-1	 not[0] all[0] scorn[-1][NegatedDueToPreviousWord] should[0] be[0] heaped[0] on[0] schumacher[0] though[0] akiva[0] goldsman[0] should[0] not[0] be[0] allowed[0] to[0] write[0] ever[0] again[0] [[Sentence=-1,2=word max, 1-5]][[[2,-1 max of sentences]]]
there is no plot anywhere , and the " dialogue " is unrelentingly shallow , preposterous , and boring . 	there is no plot anywhere , and the " dialogue " is unrelentingly shallow , preposterous , and boring .	1	-2	 there[0] is[0] no[0] plot[0] anywhere[0] and[0] the[0] dialogue[0] is[0] unrelentingly[0] shallow[-1] preposterous[-1] and[0] boring[-1] [[Sentence=-2,1=word max, 1-5]][[[1,-2 max of sentences]]]
they set up mr . freeze as a tragic figure trying to cure his cryogenically frozen wife , then completely sabotage his character by giving him the lamest one-liners . 	they set up mr .<br> freeze as a tragic figure trying to cure his cryogenically frozen wife , then completely sabotage his character by giving him the lamest one-liners .	1	-3	 they[0] set[0] up[0] mr[0] [[Sentence=-1,1=word max, 1-5]] freeze[0] as[0] a[0] tragic[-2] figure[0] trying[0] to[0] cure[0] his[0] cryogenically[0] frozen[0] wife[0] then[0] completely[0] sabotage[-1][-1 LastWordBoosterStrength] his[0] character[0] by[0] giving[0] him[0] the[0] lamest[-2] one[0] liners[0] [[Sentence=-3,1=word max, 1-5]][[[1,-3 max of sentences]]]
it turns him into a stock maniacal villain who thoroughly enjoys his villainy instead of a brooding scientist who has spent much of his life to bringing his wife from the brink of death . 	it turns him into a stock maniacal villain who thoroughly enjoys his villainy instead of a brooding scientist who has spent much of his life to bringing his wife from the brink of death .	3	-4	 it[0] turns[0] him[0] into[0] a[0] stock[0] maniacal[-2] villain[-2][-1 MultiplePositiveWords] who[0] thoroughly[0] enjoys[2] his[0] villainy[-2] instead[0] of[0] a[0] brooding[-1] scientist[0] who[0] has[0] spent[0] much[0] of[0] his[0] life[0] to[0] bringing[0] his[0] wife[0] from[0] the[0] brink[0] of[0] death[-2] [[Sentence=-4,3=word max, 1-5]][[[3,-4 max of sentences]]]
but that's par for course -- nothing in this film makes any sense , including half of arnold schwarzenegger's lines . 	but that's par for course - nothing in this film makes any sense , including half of arnold schwarzenegger's lines .	1	-1	 but[0] that's[0] par[0] for[0] course[0] nothing[0] in[0] this[0] film[0] makes[0] any[0] sense[0] including[0] half[0] of[0] arnold[0] schwarzenegger's[0] lines[0] [[Sentence=-1,1=word max, 1-5]][[[1,-1 max of sentences]]]
